ID,seed,repre,gmean_inv_val,fpr_diff_val,gmean_inv_test,fpr_diff_test
8D59QSPETO2C9E28S3QY,100,"[8, 21, 32, 57, 67, 113, 129, 171, 206]",1.0,1.0,1.0,1.0
J2NCX1W4VDT7OQL774EP,100,"[3, 20, 42, 90, 161]",1.0,1.0,1.0,1.0
XVQP6J27YH8OG4GD4PB2,100,"[9, 19, 47, 107, 125, 142, 174, 197]",1.0,1.0,1.0,1.0
JJ0G1KLMXJGH9P0G9ZTL,100,"[58, 123, 168, 198]",1.0,1.0,1.0,1.0
RKXH0VN73DDBF3RXW08V,100,"[10, 119]",1.0,1.0,1.0,1.0
EU8FLLDP8ZZW94CJZIRU,100,"[4, 10, 23]",1.0,1.0,1.0,1.0
Y8DLOBKTV0KF5NPH5KPW,100,"[159, 175]",1.0,1.0,1.0,1.0
5WYXXKQDGRG7UKJBIB70,100,"[110, 139, 152, 202]",1.0,1.0,1.0,1.0
2ADF1ZN9NJSKF8CU3UH0,100,"[30, 152, 198]",1.0,1.0,1.0,1.0
24REXAO2C0ZE6NU8WSPF,100,"[4, 111]",1.0,1.0,1.0,1.0
B5ESYUDLPB5QO70H5578,100,"[107, 163, 198]",1.0,1.0,1.0,1.0
TGZXE55XBU86DFCSK1WB,100,"[15, 18, 115, 157]",1.0,1.0,1.0,1.0
V9235Q9GE2TU3Z4HXE2Z,100,[181],1.0,1.0,1.0,1.0
PNA1I17REXEMNF7CSWTA,100,"[29, 179, 184]",1.0,1.0,1.0,1.0
AU2Y9V5L7NLE74ZQ5FBD,100,[],1.0,1.0,1.0,1.0
31376QDZ8PWUCTQH3NKJ,100,"[4, 74, 175]",1.0,1.0,1.0,1.0
LMEXPCT5ZB5MGBHNLISP,100,"[1, 206]",1.0,1.0,1.0,1.0
7VIK4X035U2XPRA1YOIT,100,[],1.0,1.0,1.0,1.0
WLKDJWL7U8D983M7MWD0,100,[175],1.0,1.0,1.0,1.0
86PQT9Q4ZA1D8Q605J32,100,"[18, 98, 115, 128]",1.0,1.0,1.0,1.0
TL4B137X5T93K7V5PD1L,100,[168],1.0,1.0,1.0,1.0
0YZ48WCFN5D6PSROO3WO,100,"[10, 107]",1.0,1.0,1.0,1.0
H3OGSQM4T5EVFKL51M0S,100,[35],1.0,1.0,1.0,1.0
MA0CZ56NEPBPK5X4M6CG,100,"[8, 103, 135]",1.0,1.0,1.0,1.0
MIEYKZP3TVA69642S3X6,100,"[103, 171, 208]",1.0,1.0,1.0,1.0
2Z3MFAVSCI1W6PF2CB4W,100,"[152, 164]",1.0,1.0,1.0,1.0
06CZW0HTDUXKWR0UXO3F,100,[],1.0,1.0,1.0,1.0
KSHV6LIZ4LYMXY7ZRYHO,100,[93],1.0,1.0,1.0,1.0
GEUBK8V89KHWCVK7AF8Y,100,[61],1.0,1.0,1.0,1.0
P0P0L8QD1ADPAGRNDTM0,100,"[42, 54, 80, 96]",1.0,1.0,1.0,1.0
WLT0O7PWTKVT5XQO7G87,100,"[38, 120, 152]",1.0,1.0,1.0,1.0
RHZBO4VC8JHZ930L5CV3,100,"[4, 10, 86, 133]",1.0,1.0,1.0,1.0
PXJDTA9C47CRMV2RB9G3,100,"[80, 86, 125, 181]",1.0,1.0,1.0,1.0
SXE790C7EJVV8AFCSU24,100,"[125, 181]",1.0,1.0,1.0,1.0
VD6ENZVY19XJ5G49A29M,100,"[87, 171]",1.0,1.0,1.0,1.0
CTP4J9V39ANKX8I327QZ,100,[],1.0,1.0,1.0,1.0
9C1DHGRFG4CNKGAN8D18,100,"[4, 194]",1.0,1.0,1.0,1.0
IYFWKRD5WF9BI58J7XR1,100,"[15, 20, 208]",1.0,1.0,1.0,1.0
BF7LYGTWXIKZPBV1P0UR,100,"[61, 105]",1.0,1.0,1.0,1.0
TRS3J635CTA9XL4MM5TC,100,"[15, 147, 208]",1.0,1.0,1.0,1.0
4DZBDKF2RXE67Z4TLS4O,100,"[15, 38]",1.0,1.0,1.0,1.0
RX3MJJER9NM775VWISG5,100,"[15, 98, 175]",1.0,1.0,1.0,1.0
J0LLB5BRQT8K391YOL9O,100,[35],1.0,1.0,1.0,1.0
64SIOK0CGIKTL9FSWWNP,100,[98],1.0,1.0,1.0,1.0
M7ACOQ7SQKDLL8OSBS6R,100,[],1.0,1.0,1.0,1.0
Z9BPB2H49NTZWIU09GLA,100,"[35, 80, 98, 147]",1.0,1.0,1.0,1.0
T2UVQF34I905EEN91BY3,100,[135],1.0,1.0,1.0,1.0
42N2LAMQVJ6NIJIK8MGC,100,"[179, 188, 201]",1.0,1.0,1.0,1.0
BYJ0KRTI5LW029MVGVGK,100,"[4, 158, 194]",1.0,1.0,1.0,1.0
U5IQL6LIU84VD0DHNZ47,100,"[15, 194]",1.0,1.0,1.0,1.0
