,Position,Oral,Written,Race,Combine
0,0,89.52,95,0,0
1,0,80.0,95,0,0
2,0,82.38,87,0,0
3,0,88.57,76,0,0
4,0,76.19,84,0,0
5,0,76.19,82,1,0
6,0,76.19,82,0,0
7,0,70.0,84,1,0
8,0,73.81,81,0,0
9,0,84.29,72,0,0
10,0,87.62,69,0,0
11,0,80.0,74,0,0
12,0,79.05,74,1,0
13,0,73.81,77,0,0
14,0,76.67,74,0,0
15,0,82.38,70,1,0
16,0,73.33,74,0,0
17,0,70.0,76,0,0
18,0,68.57,74,1,0
19,0,82.38,64,0,0
20,0,56.67,81,0,0
21,0,70.95,70,1,0
22,0,62.38,75,0,1
23,0,78.57,64,0,1
24,0,71.43,68,0,1
25,0,71.43,68,0,1
26,0,59.05,76,0,1
27,0,60.48,75,1,1
28,0,57.14,75,0,1
29,0,52.38,77,1,1
30,0,67.14,65,1,1
31,0,55.24,68,0,1
32,0,58.57,65,1,1
33,0,48.57,69,0,1
34,0,67.62,56,1,1
35,0,57.14,61,1,1
36,0,70.48,50,1,1
37,0,42.86,67,1,1
38,0,53.81,58,0,1
39,0,60.0,53,1,1
40,0,54.76,49,1,1
41,1,88.75,91,0,0
42,1,87.5,87,0,0
43,1,77.5,91,0,0
44,1,85.0,84,0,0
45,1,80.0,87,0,0
46,1,73.75,91,0,0
47,1,80.83,84,0,0
48,1,73.33,89,0,0
49,1,63.75,95,0,0
50,1,68.33,91,0,0
51,1,69.58,86,0,0
52,1,73.75,81,0,0
53,1,58.75,89,0,0
54,1,77.5,76,1,0
55,1,61.25,86,1,0
56,1,80.42,73,1,0
57,1,74.17,77,0,0
58,1,63.33,83,0,0
59,1,87.5,66,0,0
60,1,65.83,80,1,0
61,1,78.33,70,0,0
62,1,70.83,74,1,0
63,1,66.67,76,0,0
64,1,92.08,59,1,0
65,1,72.5,72,0,0
66,1,73.33,71,0,0
67,1,55.0,82,1,0
68,1,69.17,72,1,0
69,1,65.83,74,0,0
70,1,58.33,79,0,0
71,1,53.75,82,1,0
72,1,77.5,66,0,0
73,1,73.75,68,0,0
74,1,71.67,69,0,0
75,1,64.58,73,0,1
76,1,70.83,68,1,1
77,1,73.75,66,0,1
78,1,58.75,76,0,1
79,1,51.25,80,0,1
80,1,62.5,72,1,1
81,1,51.67,79,0,1
82,1,70.83,65,1,1
83,1,64.58,69,0,1
84,1,79.17,59,0,1
85,1,56.25,73,1,1
86,1,55.0,73,0,1
87,1,66.25,65,1,1
88,1,50.42,75,0,1
89,1,57.5,70,1,1
90,1,69.17,60,1,1
91,1,51.67,71,1,1
92,1,71.67,57,0,1
93,1,50.42,71,1,1
94,1,56.25,66,0,1
95,1,56.67,64,1,1
96,1,56.25,64,1,1
97,1,42.5,73,1,1
98,1,51.25,67,1,1
99,1,55.0,64,1,1
100,1,51.25,66,1,1
101,1,49.58,67,0,1
102,1,60.0,60,0,1
103,1,46.25,68,1,1
104,1,60.83,58,1,1
105,1,57.92,58,0,1
106,1,51.25,62,0,1
107,1,44.58,66,0,1
108,1,44.17,66,1,1
109,1,45.42,65,0,1
110,1,55.83,58,1,1
111,1,54.58,58,0,1
112,1,58.75,55,1,1
113,1,40.83,64,1,1
114,1,52.08,56,1,1
115,1,48.33,58,1,1
116,1,52.92,49,1,1
117,1,45.83,46,1,1
