id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
BOWJGEWQH1,106,crossover,0.35001826176128026,0.0003049784226912128,0.0939952904238619,722,18,722,0.3488759517912431,0.007886136955680398,0.09701912260967371,722,1,18,15,722,8,5
Z3H2OGID89,106,inicialization,0.5891802988159709,1,0.018018018018018056,3,2,3,0.5700882995642647,0.00015484565667574723,0.009705488621151281,3,0,28,6,3,6,4
T6S9AWMWQP,106,mutation,0.34236795064049896,0.0011611720460807731,0.08808446455505281,818,17,818,0.33780846071580306,0.00045971612143833746,0.13191975622143215,818,1,17,8,818,8,7
YX5PX4FXWC,106,mutation,0.4365710738189241,6.352294134441897e-05,0.09914978744686176,355,13,355,0.4043956402524431,0.003791886666092023,0.07176403207331039,355,0,13,18,545,8,5
3MXXN2JBW7,106,crossover,0.2983333000780207,0.000673479786726848,0.11259416368024566,472,13,472,0.2826765065611502,0.01413723490394652,0.08835765488991298,472,0,13,7,472,6,5
WX16Q3QK5K,106,crossover,0.3829166840321536,0.0008821492338313627,0.08806106174527228,516,15,516,0.3729250623027286,0.0027567540570815445,0.11336727238992039,516,1,15,18,707,8,6
9Z2N3X3AXB,106,crossover,0.34568097839763257,0.00021208465900475482,0.0976177208135971,673,19,673,0.34181107568459845,0.005691493844065601,0.09872520436746124,673,1,19,15,673,8,6
MJP18DGFXT,106,crossover,0.30688136623843787,0.0008459479876888401,0.11251942286348504,273,16,273,0.29270523534223325,0.013744624994865798,0.0788012675185491,273,0,16,8,273,6,2
51DXN71ZFE,106,crossover,0.47864171329904004,0.0016963357508479968,0.02432096573761766,199,11,199,0.4637896886236117,0.0016093920929212777,0.08954496208017337,199,1,11,24,745,9,5
P27OCU0ME2,106,mutation,0.4120831988418745,0.010720008633655683,4.781028877420823e-05,579,15,579,0.40918261484993335,0.007638538172154048,0.17565198466914123,579,1,15,9,831,9,8
RA2KTJK5MC,106,crossover,0.22723646761088423,0.06045676410038537,0.010897909513668647,635,19,635,0.22683015227538694,0.06400814222043272,0.016608332007545634,635,1,19,10,635,4,7
DZS0NOKUOU,106,crossover,0.3499452177942868,0.0005635099635391966,0.09509305785587963,710,18,710,0.3488759517912431,0.007886136955680398,0.09701912260967371,710,1,18,15,710,8,5
XEGK0BX3Z2,106,crossover,0.4606777242076733,0.00022677007017577432,0.06103872925218634,205,11,205,0.4437825803441715,0.0020507889897217572,0.057671005261700325,205,0,11,10,879,9,7
YEOE5O9SGJ,106,inicialization,0.4814753750248456,0.00462522147649173,0.0371116401147531,39,6,39,0.4621789867983864,0.0017374338314426934,0.022570532915360486,39,1,6,25,2159,7,10
5QM1UGE6QP,106,crossover,0.18945734163916816,0.06176649786412647,0.05849973107435802,283,15,283,0.1938453264663863,0.052463174019714176,0.09060127186150646,283,0,15,10,283,3,5
TFNCM8BWXP,106,crossover,0.39027410390317696,0.004918929699912162,0.04765329607101754,479,14,479,0.3877454017527996,0.002365301151662162,0.1366666666666666,479,1,14,12,611,8,6
IDM5W3Y95Y,106,mutation,0.19226746502057968,0.06851666418494602,0.03848490820113637,432,15,432,0.20082907138804107,0.05804976619848512,0.08455893249868107,432,0,15,14,432,3,6
TO8R9J6MLC,106,crossover,0.1776759759168116,0.07074713907699118,0.06975648075412416,107,8,107,0.19147301996374178,0.09048424267071925,0.0799822753960342,107,0,8,18,284,2,5
G2UA7677KA,106,mutation,0.32319650882374207,0.019343418681755528,0.015183978661536202,826,16,826,0.30888335413580115,0.012520515121170098,0.11446798266730862,826,0,16,5,826,7,7
YV1TLOSN9J,106,crossover,0.20911899223453356,0.06554235614102913,0.01987875788692317,550,20,550,0.21466185719822894,0.0716796549969349,0.025122189638318693,550,1,20,17,550,4,8
R0CRUWSSAL,106,crossover,0.4577233286295297,0.004139919865467974,0.025046889653016602,351,13,351,0.44542189733323834,0.0012960369346422147,0.11478144811478153,351,1,13,15,813,9,8
J7IHHZV64J,106,crossover,0.20198419914916677,0.08847584557231439,0.06407550176114324,16,4,16,0.21659379374585042,0.10329246603567546,0.0809753160746538,16,0,4,26,230,2,6
31K8J2NXUI,106,mutation,0.3957897898196404,6.352294134441897e-05,0.07072463768115944,367,13,367,0.38805343125833713,0.0030213222276408574,0.09009840098400979,367,1,13,18,508,8,5
ZBVU6EGVJ8,106,crossover,0.191736795142049,0.06880354198456598,0.044413407821229045,396,13,396,0.19887577140378276,0.05577586833606868,0.08317546045842117,396,0,13,21,500,3,7
8FV2JPZBY4,106,crossover,0.29987489378430177,0.0005590701880688886,0.10941595889692779,284,26,284,0.2863957636210269,0.016978064560418636,0.05248823649754497,284,0,26,5,284,6,6
N0IR4MXADK,106,mutation,0.48063279498509304,0.0019548672916959806,0.01690945444158809,194,11,194,0.4637896886236117,0.0016093920929212777,0.08954496208017337,194,1,11,27,735,9,6
57ZCUV2VDS,106,crossover,0.3422936461321143,0.0009026405052327893,0.08910592025775277,786,17,786,0.3376959292273054,7.443390221275464e-05,0.133338986883763,786,1,17,8,786,8,7
54NMIGPZIE,106,crossover,0.21537714996274526,0.07875581098304825,5.8993569700849235e-05,700,20,700,0.21949963045131138,0.07680537405060618,0.023615824932880836,700,1,20,11,700,4,7
OD54R9MUPG,106,mutation,0.4411448622308667,0.0005204782935962042,0.04409270774448848,198,11,198,0.4212513009263539,0.0009741970828466683,0.06330559634524402,198,0,11,26,855,8,5
FVY718VOB9,106,crossover,0.252584682600289,0.04143881511272249,0.00935457825549424,846,18,846,0.25051925824196963,0.023715682548277425,0.08782880349890654,846,1,18,11,853,5,6
MGOGW6V8RG,106,crossover,0.3925683041221433,0.0033677404548242626,0.05429438225755834,473,14,473,0.38769441665063786,0.00017065804004736881,0.12181804945521613,473,1,14,13,591,8,7
XTYU436H79,106,crossover,0.3480077169318462,0.0005351637047672289,0.09745179063360876,628,19,628,0.34269426054444585,0.004766083748938693,0.10265663907396194,628,1,19,15,628,8,6
CIKUYEDMUH,106,crossover,0.2045545096471303,0.08942151774749016,0.05574509604900835,16,4,16,0.21717619253949105,0.10324734289288323,0.07187333498427845,16,0,4,22,307,3,6
6ALSV0K0B2,106,crossover,0.1860783999218497,0.06199668314620249,0.05688681722689082,193,12,193,0.18927636500767542,0.05661835983546637,0.08240011504592659,193,0,12,13,193,3,5
HP7OWC9FGL,106,crossover,0.3250332367569243,0.019141579658451487,0.0008536490726267498,851,16,851,0.31176948391463477,0.013094774605080899,0.10160575858250276,851,0,16,7,854,7,7
9Y3N5BQS97,106,mutation,0.20946985453819866,0.06505363931810514,0.02347668609915654,568,20,568,0.21694743199331556,0.07040675813551947,0.02388255973954012,568,1,20,20,568,4,7
VNT90KWLZH,106,mutation,0.47805527441419904,0.0019548672916959806,0.02213717986458641,203,11,203,0.4633608681239888,0.0014167509833084863,0.08812415654520922,203,1,11,23,707,9,6
QGY50V0TKN,106,mutation,0.29722079418522973,0.0007892554701449048,0.10868681943767267,283,23,283,0.28122620601500903,0.01890447565654655,0.04245647139548847,283,0,23,6,283,6,6
K62UFM10WP,106,crossover,0.4623305981525634,0.004742021723479855,0.0005638690088917153,277,12,277,0.45072197838136374,0.0027993703586075003,0.11602907255081163,277,1,12,15,634,9,6
LQQ52XWR85,106,mutation,0.40082501327344044,0.0001666623407315937,0.07286096256684493,336,12,336,0.3923624805240036,0.0010571156785758977,0.10472203235361133,336,1,12,8,471,8,7
5QWRF5S2KC,106,crossover,0.17798657990299427,0.07074713907699118,0.06954923186266476,108,8,108,0.19147301996374178,0.09048424267071925,0.0799822753960342,108,0,8,17,285,2,6
BXVNIR52TH,106,mutation,0.18111453105511333,0.06587807147082247,0.0515280258774683,382,15,382,0.1957148007568681,0.061524633861370526,0.09537014709428498,382,1,15,22,382,3,8
FOHJOZJB2P,106,mutation,0.22585724500372595,0.06146254400500534,0.007200303170659783,623,19,623,0.22379157055191345,0.06046501134152839,0.025382200592064974,623,1,19,9,623,4,7
AA293GGLFZ,106,mutation,0.3485071366015071,0.004203442806812389,0.07101500649887749,709,18,709,0.3443421907805363,0.0056159029381915165,0.11043917428043737,709,1,18,12,709,8,5
W4W1W135UZ,106,crossover,0.3931757697180607,0.005694524322456113,0.03594771241830064,463,14,463,0.39212663898815814,0.0020239850715674246,0.11059743046154635,463,1,14,15,536,8,5
1D3CZ7642V,106,crossover,0.46988031451851453,0.000687140634327797,0.0531420488987675,146,10,146,0.44831628767738974,0.0039735362409221014,0.018218840424391813,146,0,10,11,725,9,6
PNKEMS4ACS,106,mutation,0.3541682787864635,0.0002482859051472705,0.09763622340184197,599,19,599,0.34799753783607246,0.004803879201875735,0.10040556451964588,599,1,19,16,599,8,4
971X9QAP41,106,mutation,0.22689851758107815,0.1109499890030177,0.056890091484368244,8,3,8,0.237477360613633,0.11646283154663045,0.08141112618724555,8,1,3,21,242,2,6
M6PHCJCIW9,106,crossover,0.20775858649772738,0.06508198557687711,0.02165310888141858,483,20,483,0.21485899748004067,0.07191009155948475,0.029755419765367108,483,1,20,12,483,4,7
8MIX2R4ENK,106,crossover,0.4843549218664449,0.00117927266915203,0.029963943802063908,117,9,117,0.46719444541942967,0.0005059962678918561,0.044975490196078494,117,1,9,22,883,9,4
LU81WLQETE,106,mutation,0.3268742168498051,0.018911394376375477,0.0003201280512205029,810,16,810,0.31311591766136326,0.009359002616563777,0.11902086159013114,810,0,16,9,813,7,6
DLDZ3D0GXH,106,mutation,0.298575799232065,0.0008176017289168724,0.10611991301646473,283,24,283,0.28543290404053134,0.017170705670031428,0.04782554047259935,283,0,24,5,283,6,7
G3NPIDBR9E,106,mutation,0.46538545660700115,0.004483490182631871,0.0037567084078712343,268,12,268,0.4540056504294605,0.0021458561238950364,0.1034103410341034,268,1,12,19,638,9,5
W6TK18ZLS5,106,mutation,0.39972054231448906,0.0001666623407315937,0.07024813532881591,340,12,340,0.39015621773951004,0.0004791923497375235,0.10573610271266043,340,1,12,7,505,8,7
84RF0VXSEZ,106,crossover,0.4699380523268306,0.0004286090934798141,0.05084404132023179,149,10,149,0.44831628767738974,0.0039735362409221014,0.018218840424391813,149,0,10,10,730,9,6
TGNN3HV8MC,106,mutation,0.2002425495519815,0.07770358419658505,0.025924853631860034,596,18,596,0.2017386337849728,0.06450931763973566,0.07048816221676624,596,0,18,9,596,3,7
S0W1WHV4QL,106,crossover,0.25217412760234137,0.04143881511272249,0.009617808702667263,822,18,822,0.24990467778465386,0.023715682548277425,0.0882279523726317,822,1,18,11,822,5,6
GZUM3BTKHB,106,mutation,0.3501643743265159,0.00021208465900475482,0.09180877830584289,740,18,740,0.3488759517912431,0.007886136955680398,0.09701912260967371,740,1,18,15,740,8,6
2OZO3ZOVLH,106,crossover,0.18486558176244872,0.06438357474327852,0.052595792336613045,381,14,381,0.1967817485584491,0.05378119402392181,0.09439441587634362,381,1,14,15,381,3,6
N49M71JB2W,106,crossover,0.395415614627873,0.0038848035365202267,0.050107237478447364,460,14,460,0.38998319160082084,0.00044506074172804763,0.11863009592326146,460,1,14,14,460,8,4
JPUEK7WGHY,106,mutation,0.22670012582562715,0.06029010175965377,0.0008427836648695619,667,17,667,0.21918555788376204,0.03961349135689339,0.09329802486485161,667,0,17,9,667,4,5
QL7RZB0C7X,106,crossover,0.17655430077245948,0.06610825675289847,0.05789850233711724,169,10,169,0.18775800175359925,0.07535333445562689,0.0735785426122037,169,0,10,30,949,3,8
BHOX3PQ322,106,crossover,0.4803501769062708,0.0022417450913159356,0.009413067552602405,152,10,152,0.4676716171903327,0.0033431620794364004,0.10279720279720284,152,1,10,24,871,9,5
ANL9R4ALP4,106,crossover,0.3567746993190607,0.0011294105754085654,0.09365259981200214,540,19,540,0.3462553968388844,0.004917265560686869,0.09162848063090234,540,1,19,15,540,8,5
OJL03ZSXG5,106,crossover,0.29722079418522973,0.0007892554701449048,0.10868681943767267,283,24,283,0.2827981852366176,0.018519193437320967,0.04280107695814772,283,0,24,6,283,6,7
0G1TLD7X4C,106,mutation,0.19930435650397504,0.07862432532488911,0.027529325513196423,548,16,548,0.2011495056641458,0.06162336484047137,0.07276236631554533,548,0,16,8,548,3,6
