id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
KN2FZMYMYR,105,crossover,0.3938295674902603,0.017196528069919392,0.10440700726362695,672,22,672,0.41627021165027833,0.016132803366845916,0.1280788728611556,672,1,22,7,672,,3
OV2GMZ4EB0,105,mutation,0.5448217084704607,0.02275985816942401,0.15422077922077926,153,10,153,0.5977976561060414,0.004442366144493809,0.21291925465838513,153,1,10,23,397,8,4
2ZNUG97OF8,105,crossover,0.46963858276064596,0.00023180542081269184,0.15934065934065933,317,14,317,0.5170034150949189,0.006838905775075982,0.1077290490664351,317,0,14,10,317,9,4
A5QN6V7L4M,105,crossover,0.4248521483782116,0.0006095624028778224,0.14857142857142858,480,17,480,0.4655281089873492,0.0021042787000233876,0.1574404761904762,480,0,17,7,480,9,3
SR5IPVRFET,105,mutation,0.6937956929890675,0.003374056680718107,0.11319116749611063,63,7,63,0.686604766580661,0.005669862052840702,0.09783601310950768,63,0,7,27,330,1,5
S5TXKC2BZI,105,mutation,0.3802887099892288,0.01860453136670759,0.12228796844181455,581,18,581,0.41332098955458874,0.02647884030862757,0.12374069910604357,581,1,18,7,581,5,3
FWXYOO4EKO,105,mutation,0.40103429321896666,0.0009959047708989477,0.1105703551912568,779,23,779,0.425092444626466,0.01432078559738137,0.11612586941201702,779,1,23,6,779,5,3
JVWA1MR2R8,105,crossover,0.5747966417681307,0.01031104853318681,0.169076052796983,125,10,125,0.614496710144068,0.00894318447509937,0.18386524822695038,125,0,10,17,168,9,4
D8M31N2CIC,105,mutation,0.6031478208258042,0.007151626501369371,0.12896592244418337,147,9,147,0.6212635754676137,0.008475566986205288,0.16212624584717605,147,1,9,14,170,9,4
2IR5G83G82,105,crossover,0.46817799178104114,0.027438893515457974,0.0961103107635316,450,16,450,0.47203765354430893,0.034136076689268186,0.1267382503080443,450,1,16,12,450,9,4
Y2XAMCEEA8,105,crossover,0.4847119117339208,0.01701623496484285,0.12231151932644468,286,13,286,0.540160043871192,0.0063712882861819,0.1402275769745649,286,0,13,11,287,9,4
NXOXJZL32H,105,mutation,0.4917238915406077,0.01420022837126643,0.11488828257503125,335,13,335,0.5111461664439838,0.018470890811316337,0.14475108225108224,335,1,13,13,406,9,3
59QJ8PBI3D,105,crossover,0.6655002225151518,0.0193772161027499,0.09888357256778302,64,7,64,0.6704748792074156,0.0036824877250409144,0.21948488241881303,64,1,7,38,754,8,6
GBJ4BWE8W5,105,crossover,0.5433171096672187,0.01943731380444208,0.0715883668903804,244,12,244,0.5704390678680964,0.014905307458498947,0.10924830155599385,244,1,12,21,246,9,4
YLLIGLPQFE,105,crossover,0.356909858811409,0.047442842792997764,0.09022823480654807,469,15,469,0.4105355193004657,0.04939209726443772,0.10868797368075811,469,1,15,8,469,,2
IJC88WTRME,105,crossover,0.45697901065263147,0.08764820522506589,0.10485133020344284,8,3,8,0.46881599771879034,0.061959317278466215,0.03730620155038755,8,0,3,17,252,6,3
3OSB0CRVRM,105,crossover,0.38957227974619324,0.0047133768898580675,0.1226632173735448,678,21,678,0.4137640098308357,0.017652560205751677,0.12891743719826532,678,1,21,7,678,,3
R0EUF8HJNB,105,crossover,0.51747034573669,0.008284897447564762,0.1407384987893463,247,13,247,0.5727074199142708,0.0004676174888940815,0.17710997442455245,247,0,13,16,338,9,4
DEGKP8JV8E,105,crossover,0.7499370979042007,0.005520403169724495,0.03431372549019607,24,5,24,0.748712141507144,0.0021042787000233806,0.2154882154882155,24,0,5,20,369,9,3
H4BVFV9SQT,105,crossover,0.35045015390644285,0.27799479725611065,0.00030012004801927006,89,7,89,0.32332799525142586,0.18932663081599252,0.050219388454682545,89,0,7,18,96,4,4
K07SZ1RULP,105,crossover,0.3938620568609126,0.025421327815791983,0.09535404422054305,676,20,676,0.410556508261668,0.00613747954173488,0.13290686586141132,676,1,20,6,676,,3
6EM4BXQTAT,105,crossover,0.41478217592106226,0.049803823930904795,0.050208391219783266,332,15,332,0.45469689230539867,0.02256254383913958,0.10239131937245138,332,0,15,19,332,7,3
PRA8I3V5YU,105,crossover,0.44672570464787353,0.05306627059419455,0.07184282163569655,143,9,143,0.48951302632155036,0.03378536357259762,0.09833971902937422,143,1,9,13,216,7,4
P6CVZCI2HT,105,crossover,0.6624850366643128,0.008954557552134756,0.13523706896551724,105,8,105,0.6615072517278557,0.000876782791676408,0.17278911564625854,105,1,8,13,255,9,3
MG11IWBAH4,105,inicialization,0.3478194305010549,0.08546751719223539,0.08512385237947984,69,7,69,0.32742036424784227,0.0804886602758943,0.07018093629080602,69,1,7,36,465,4,0
9LGI3KGX5X,105,crossover,0.5292829696624611,0.0746756870455112,0.08757881462799494,16,4,16,0.5033700532472597,0.08247603460369413,0.08637569808179268,16,1,4,16,184,2,4
HYA5FSY6BY,105,crossover,0.44076996015108394,0.011161001742833326,0.15567765567765568,409,16,409,0.4797473389416024,0.009936871638999284,0.1515483608353947,409,0,16,8,409,9,3
HWQTG3UBSE,105,crossover,0.4370941944737078,0.08962284399495178,0.0004340277777777901,312,16,312,0.48095919331396586,0.030278232405891975,0.20819672131147537,312,1,16,14,312,8,5
SVL23CR2IN,105,crossover,0.5273947773522005,0.01842423826163106,0.08664772727272729,327,15,327,0.5397862153315061,0.029050736497545,0.12019230769230771,327,1,15,21,422,9,5
L5LF3TYQ50,105,mutation,0.34035164574981047,0.07898555079543604,0.059719839908519146,230,12,230,0.3869240050198335,0.08183306055646478,0.08329747782080443,230,1,12,16,230,,4
345EJB53UP,105,crossover,0.5134376232995755,0.06765284133348215,0.0010166476045240236,221,14,221,0.5515666716549533,0.02080897825578676,0.21454958795112244,221,1,14,30,390,8,5
Z3B32J3DUR,105,crossover,0.31685008963834793,0.11588553963443426,0.07988114570016935,16,4,16,0.3226564047813467,0.11848258124853867,0.06052194148936174,16,1,4,16,172,4,4
D3RKEP1OEC,105,crossover,0.45196711569876924,0.0019231264541497428,0.16171802054155004,184,17,184,0.48708070605887854,0.0007598784194528807,0.16301667341455328,184,1,17,18,184,7,6
2OM8KD87M2,105,crossover,0.39437489762128664,0.11300084995320964,0.010703263510407846,79,8,79,0.41963078052183445,0.09206219312602291,0.0036621987841499726,79,0,8,19,79,6,4
7PFGKZ1DHP,105,crossover,0.5417768594586407,0.001356490981052047,0.12176870748299318,225,11,225,0.5664455730895057,0.010404489127893393,0.13797313797313793,225,1,11,13,225,9,4
7L6CBFFD2A,105,mutation,0.396836798472573,0.009761583832001153,0.10176030865686048,738,23,738,0.42017036436620303,0.027063362169745142,0.1062271062271063,738,1,23,6,738,5,4
YHHAUOOM2Z,105,crossover,0.544382053729161,0.02636572027095478,0.05701754385964919,252,12,252,0.5685208463921528,0.0154313771335048,0.09941520467836251,252,1,12,20,489,9,4
GIN0KH4UP4,105,crossover,0.5278672761491592,0.07839315916447032,0.084282076643027,8,3,8,0.5043538045204242,0.08247603460369413,0.0866739814778531,8,0,3,15,153,3,3
X6QH73GHEZ,105,crossover,0.332659169499227,0.1098500133073482,0.03362685844437674,146,9,146,0.36152070494564337,0.11620294599018005,0.03928039862809818,146,1,9,20,233,,4
YV72I71R5V,105,mutation,0.6705292922570738,0.01796921280596169,0.05306799336650081,68,7,68,0.6832591505587864,0.0036824877250409144,0.254461335095836,68,1,7,33,333,8,7
GCJTL1H10E,105,crossover,0.37782898316174485,0.017308138087347713,0.12401856384500454,565,16,565,0.4076461754861155,0.034837502922609315,0.13083804143126176,565,1,16,7,565,,2
WP23RN8WIX,105,crossover,0.5510293882927739,0.02326639594082952,0.10972222222222217,141,10,141,0.5895250497014268,0.007774140752864159,0.20140973763216286,141,0,10,9,312,9,3
3W2Y0VWYA9,105,crossover,0.4304895739168647,0.025129424693287078,0.14479512735326694,197,12,197,0.48479672672558094,0.03688332943652094,0.11835748792270528,197,1,12,26,282,7,4
1COUWI12E6,105,mutation,0.3498592062365954,0.05256831820874508,0.08613138686131394,387,15,387,0.4041580054997207,0.05319148936170215,0.08715544188689972,387,1,15,11,387,,3
8C5DTUM3L5,105,mutation,0.6999714821512997,0.0019660533839298555,0.1096188946274449,89,8,89,0.6913062598897401,0.00455927051671734,0.09913976044087075,89,0,8,22,306,1,5
DB084KJNHX,105,crossover,0.34452459215225206,0.07814418297174547,0.0739501181876423,164,9,164,0.3433221805482569,0.07119476268412439,0.09004060538944259,164,1,9,11,254,4,3
IP7QMLLGXC,105,mutation,0.39545255538589796,0.07965521090000602,0.04126511011756906,137,9,137,0.42512364951433623,0.0887888707037643,0.049771912675138474,137,1,9,19,162,6,4
U17L3O8HYH,105,mutation,0.405320282381186,0.001339320209139988,0.12494541108327395,461,19,461,0.45080385534164624,0.005962122983399598,0.16178689079769715,461,0,19,10,461,7,3
L68Z2Q30T6,105,mutation,0.3759484726441674,0.11148123663899312,0.0006302521008403339,176,10,176,0.3930979603953486,0.10509703062894553,0.021366111202771765,176,1,10,15,193,6,4
MJR48MVYKX,105,crossover,0.765680415225501,0.005520403169724495,0.029032258064516148,23,5,23,0.7759558362178152,0.005962122983399578,0.1777777777777778,23,0,5,22,251,9,3
JYT7L2FJ5X,105,crossover,0.4675652863055044,0.022425028117139006,0.098572552545802,397,15,397,0.4817678748041162,0.033668459200374104,0.1333933835571569,397,1,15,12,397,9,4
S626VUPN4U,105,crossover,0.4184467271419142,0.06275917133854753,0.02957465662383696,390,17,390,0.4600045707959298,0.0345452419920505,0.09702886247877762,390,0,17,19,422,7,4
