id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
8XMG010VWX,107,crossover,0.852315986148841,0.0011025196248493222,1,14,5,14,0.8811644581045325,1,0.5,14,1,5,26,14,6,5
W1CQBEQCYV,107,crossover,0.4395785706813786,0.033053538352982664,0.06285714285714283,478,20,478,0.4931028570861278,0.038802224843496685,0.09752120026092631,478,0,20,2,478,8,1
UTCXS3TMG3,107,mutation,0.4483299733153857,0.00012495222414959928,0.2176639665534361,434,18,434,0.4965444271331543,0.019853944944401,0.13070044709388973,434,0,18,3,434,7,1
GH92FPOUYN,107,mutation,0.7747099314005427,7.350130832329063e-06,1,16,6,16,0.8188496031633682,1,0.5,16,1,6,24,16,7,5
2RI9APR0FO,107,crossover,0.5021006506525327,0.033090289007144336,0.06368563685636858,347,17,347,0.5431314887819917,0.04750986291323729,0.0805084745762712,347,0,17,3,347,8,1
I4WLQC7JM3,107,crossover,0.3742812703646833,0.12371740216975863,0.016161616161616155,207,15,207,0.39512717021547605,0.05967669966821734,0.0744326645053886,207,1,15,14,207,2,6
UKMUKTSNOV,107,crossover,0.3915450492201833,0.14259253814717904,0.0025781013042159295,103,10,103,0.3750208248016278,0.09198464345513424,0.078125,103,1,10,19,103,3,4
6FL74BEBYP,107,crossover,0.5088831088848081,0.01123835004263074,0.0872340425531915,474,20,474,0.5207615199642579,0.04233210958105259,0.1897828863346105,474,0,20,3,474,,2
VEF27745F0,107,crossover,0.3235778380412013,0.15476435480551554,0.06307884856070084,14,4,14,0.335940681719364,0.13042018440223896,0.04082332761578039,14,1,4,29,14,2,3
Z4EL7LET0E,107,crossover,0.378626348981728,0.08716520154058743,0.087906716938975,166,14,166,0.3619153743727582,0.07935392948182707,0.07973174366616992,166,1,14,23,191,2,3
29E1J1NHFF,107,mutation,0.5050589877600802,0.00010290183165259648,0.1862284820031299,268,16,268,0.5557285882612235,0.006900725857399731,0.21348019931812223,268,0,16,7,268,6,3
TKJBEY04N5,107,mutation,0.5698362422705111,0.02981948078675801,0.015567765567765568,243,15,243,0.6407396027820738,0.007002337057604717,0.05329153605015674,243,0,15,8,261,8,2
RJNT8XAYIM,107,crossover,0.4248281173223364,0.04631317437450386,0.11069418386491559,273,16,273,0.4903919922447022,0.0627824680918742,0.17801476620180476,273,0,16,11,291,4,3
2L3ND5X28Z,107,mutation,0.48123866016148276,0.07070825860700322,0.0011544011544011301,248,16,248,0.529779541234191,0.06346723922369044,0.2130952380952381,248,0,16,7,248,5,2
BVZJ1JQ6SC,107,crossover,0.6455583667572182,0.006593067356598953,0.08823529411764702,214,16,214,0.6767653363486092,0.0006715174970068835,0.0024154589371980784,214,0,16,17,294,8,3
9EWCMPO36K,107,crossover,0.46028502715145425,0.037412165936553665,0.17096774193548386,241,16,241,0.42327638554933933,0.07433521976735455,0.14985492404847242,241,0,16,13,241,3,4
I46DETBCFD,107,mutation,0.42971954087749165,0.009841825184488284,0.17142857142857143,432,20,432,0.48776164816342815,0.025075877059283505,0.20998086734693877,432,0,20,3,432,7,2
RM0PW569GY,107,crossover,0.7914219262114854,7.350130832329063e-06,0.0714285714285714,50,9,50,0.8328079001602987,0.007395528223615328,0.10714285714285715,50,0,9,25,82,9,4
UAAXZIT1K5,107,crossover,0.7312673933636216,0.012164466527504188,0.25,22,5,22,0.8069431923023394,0.011698541658383145,0.125,22,0,5,22,33,7,5
Y2YP9AI3X7,107,mutation,0.5039536505654809,0.0386175873930556,0.05531112507856695,389,17,389,0.5396572337923056,0.054278052422543535,0.05300546448087434,389,0,17,3,389,8,1
9TLZHEJR94,107,mutation,0.46224629222806113,0.11058271837238703,0.04901960784313725,112,10,112,0.4104864306068077,0.05283340622832479,0.11239119303635431,112,1,10,23,154,4,4
SLM6OLJNXB,107,mutation,0.2933971968304552,0.1424675859230294,0.06168929110105581,44,7,44,0.330254709595055,0.11043812098801428,0.09571814591561006,44,0,7,30,44,2,4
XU8UJLIB8A,107,crossover,0.3917681307861709,0.1216226148825449,0.060571428571428554,14,4,14,0.3983946289220959,0.08730169248916517,0.003611971104231171,14,1,4,28,14,3,4
V2PHE56V0I,107,crossover,0.5738094207233191,0.014303354599711882,0.05747126436781608,297,19,297,0.6371916136227292,0.0011221410805246773,0.08870967741935482,297,0,19,10,374,8,2
EI1M6YHGZ5,107,mutation,0.6335769435708261,0.025424102549025374,0.0032679738562091387,106,11,106,0.6134413761913327,0.014353686498522221,0.12214498510427013,106,1,11,19,106,6,5
LB9BBHE5RU,107,crossover,0.6225139597438023,0.004454179284391263,0.2820512820512821,58,8,58,0.6412724652463078,0.00787707695502158,0.0016339869281045694,58,0,8,16,58,6,5
T3G71R3KW3,107,crossover,0.5261206824683509,0.018742833622438483,0.18175338560228083,193,14,193,0.5164407287741233,0.007629675771913778,0.24255952380952384,193,0,14,13,193,6,4
WRT7N852VN,107,mutation,0.4344389960978149,0.03526592773351364,0.06579439252336444,486,20,486,0.49463380936829004,0.04295944829536166,0.09229166666666666,486,0,20,2,486,8,1
