id,creation_mode,error,dem_fp,dem_ppv,num_leaves,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
BMOZVAIBKG,inicialization,0.06458565330651467,1.0,0.0,6,0,,2,,,0
JHEVXDMQZU,inicialization,0.06458565330651467,1.0,0.0,5,1,4,2,6,,0
KT0C328PQL,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,1,3,3,5,2,2
90VEW8MGC3,inicialization,0.06458565330651467,1.0,0.0,4,1,4,26,6,9,2
7LC8YCJ3KN,inicialization,0.06458565330651467,1.0,0.0,2,1,3,8,2,8,2
E490948M1T,inicialization,0.036375888340568485,1.0,0.1428571428571429,6,0,4,3,6,7,5
7BBQBM52HF,inicialization,0.09861218113400261,1.0,0.1428571428571429,5,0,3,5,6,6,1
KEA0NKYV8L,inicialization,0.1339745962155613,1.0,1.0,4,0,3,34,5,6,7
MDY6O67P4M,inicialization,0.09861218113400261,1.0,0.1428571428571429,3,1,3,35,3,2,2
EC5DZNY2RE,inicialization,0.036375888340568485,1.0,0.1428571428571429,4,1,3,16,5,8,5
AL9R1BQW73,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,3,8,5,3,7
TAE2VHP85G,inicialization,0.17084380241115005,0.4,0.25,2,0,4,33,2,2,3
U4216NOJXK,inicialization,0.1339745962155613,1.0,1.0,4,0,3,27,4,6,9
NPG7XJJPCV,inicialization,0.1339745962155613,1.0,1.0,3,0,4,2,3,6,2
E9SLAS8CJ0,inicialization,0.09861218113400261,1.0,0.1428571428571429,3,0,4,5,3,3,6
K7MH7U4Q1U,inicialization,0.1339745962155613,1.0,1.0,3,0,3,19,3,6,8
DZU6KYGVQ8,inicialization,0.17084380241115005,0.4,0.25,3,1,4,26,3,5,6
MRHCRH5FFV,inicialization,0.17084380241115005,0.4,0.25,3,1,4,24,5,4,6
XWHPQAFH2O,inicialization,0.17084380241115005,0.4,0.25,2,0,3,39,2,3,2
EM6XHNOBNC,inicialization,0.1339745962155613,1.0,1.0,3,1,3,27,3,6,8
HUPGLL55FC,inicialization,0.036375888340568485,1.0,0.1428571428571429,4,0,4,12,4,8,2
49ICZO6JAM,inicialization,0.06458565330651467,1.0,0.0,4,1,3,7,5,6,8
PN185YE7M2,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,3,14,5,3,2
LR5SWGB96I,inicialization,0.06458565330651467,1.0,0.0,4,0,3,27,5,1,1
TXXHF8045R,inicialization,0.06458565330651467,1.0,0.0,4,0,3,4,5,2,8
U8N8EYX1WA,inicialization,0.036375888340568485,1.0,0.1428571428571429,4,0,3,28,5,8,2
Q49CAMTEQ2,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,1,4,23,5,1,6
E96XNIE430,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,1,3,27,5,2,8
1QEC95GEPW,inicialization,0.17084380241115005,0.4,0.25,2,0,4,21,2,5,1
J3LY5W58HQ,inicialization,0.1339745962155613,1.0,1.0,3,0,3,29,3,6,5
P9XGYVVWQB,inicialization,0.06458565330651467,1.0,0.0,3,1,3,5,3,7,10
IJZ9A4GWJR,inicialization,0.06458565330651467,1.0,0.0,3,1,4,22,3,8,10
4R8RIWAO42,inicialization,0.17084380241115005,0.4,0.25,2,1,4,23,2,2,1
7UQV2BGQNG,inicialization,0.17084380241115005,0.4,0.25,3,1,4,32,5,4,4
N1O3Y5980I,inicialization,0.06458565330651467,1.0,0.0,3,1,4,31,3,7,0
LTUJ4DF4K2,inicialization,0.1339745962155613,1.0,1.0,3,1,4,27,3,6,3
ILC4HK6M2O,inicialization,0.07417990022744858,1.0,0.25,4,0,3,19,5,7,10
NN9Q7ZEBQ0,inicialization,0.17084380241115005,0.4,0.25,3,1,3,22,4,3,6
QZJSD1EF8I,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,3,20,4,5,7
V2J48TIERG,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,3,7,4,3,2
LAGR43MO8Z,inicialization,0.1339745962155613,1.0,1.0,4,0,4,28,4,6,3
39XV0YKESD,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,1,3,36,4,1,3
RF00AG1Q33,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,3,7,4,3,8
GA1T7WG2L5,inicialization,0.1339745962155613,1.0,1.0,3,0,4,22,3,6,6
NGX54VXZEM,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,6,4,6,6
9MR4P8UIS0,inicialization,0.17084380241115005,0.4,0.25,3,1,4,32,5,3,4
S3XTWUSQP7,inicialization,0.17084380241115005,0.4,0.25,2,1,3,25,2,4,8
2V88D30CSL,inicialization,0.09861218113400261,1.0,0.1428571428571429,3,0,3,34,3,5,2
4NG98JF9B8,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,3,11,4,4,5
YWAXU4V2DA,inicialization,0.1339745962155613,1.0,1.0,3,0,4,8,3,6,5
B8BQXHPO42,inicialization,0.06458565330651467,1.0,0.0,3,1,4,22,4,8,4
X0NX8H0JJE,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,3,30,6,4,3
M7GDC9VUQO,inicialization,0.1339745962155613,1.0,1.0,3,1,3,21,4,6,8
DNZ33PDCXT,inicialization,0.06458565330651467,1.0,0.0,4,0,3,6,4,2,1
SDHXZN3ONA,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,25,5,5,1
6YC7DKP0U2,inicialization,0.06458565330651467,1.0,0.0,4,0,4,31,4,2,2
US1RWPGXEQ,inicialization,0.17084380241115005,0.4,0.25,3,1,4,34,4,4,2
P8GOV0DOQL,inicialization,0.17084380241115005,0.4,0.25,3,1,3,40,4,5,8
20CYEC6C4P,inicialization,0.06458565330651467,1.0,0.0,5,1,4,8,5,4,6
WWHDU963CZ,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,13,5,3,9
9J0PURFP3X,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,19,5,5,2
6KOG92LPWD,inicialization,0.17084380241115005,0.4,0.25,3,1,4,30,3,3,3
319ITUR2HR,inicialization,0.0,1.0,0.0,5,1,4,11,5,7,10
CEG4UX4RI5,inicialization,0.07417990022744858,1.0,0.25,4,0,3,26,4,7,0
Q7F5HKRJQ9,inicialization,0.17084380241115005,0.4,0.25,2,1,4,14,2,3,2
5TQ6P6FXNH,inicialization,0.06458565330651467,1.0,0.0,2,0,4,21,2,7,7
X4O6H7YO5L,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,3,11,4,3,6
GX09RV7JAF,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,26,5,4,9
GKBE1NRPAA,inicialization,0.17084380241115005,0.4,0.25,2,1,3,27,2,4,7
MPSEOY5M18,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,3,13,4,5,2
FPI31FWTBL,inicialization,0.09861218113400261,1.0,0.1428571428571429,3,0,4,13,3,1,7
TDYEGPSRG2,inicialization,0.06458565330651467,1.0,0.0,5,0,4,9,5,3,2
FIF4F26V64,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,3,8,5,5,10
920W06S1KP,inicialization,0.17084380241115005,0.4,0.25,3,1,3,23,4,4,10
LQD3KW24KF,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,13,6,3,3
0H7OWTZ9LU,inicialization,0.17084380241115005,0.4,0.25,3,1,3,16,3,3,6
7AKNWG7GA6,inicialization,0.17084380241115005,0.4,0.25,3,1,3,30,6,4,5
T2TVDDW04X,inicialization,0.0,1.0,0.0,5,1,4,9,6,7,5
KA561TKMOO,inicialization,0.036375888340568485,1.0,0.1428571428571429,4,1,3,12,4,7,3
NI0C2DC9U7,inicialization,0.036375888340568485,1.0,0.1428571428571429,4,0,3,2,4,9,7
FB8R7AJBGQ,inicialization,0.06458565330651467,1.0,0.0,2,0,4,29,2,8,4
GDC5NYDR9C,inicialization,0.06458565330651467,1.0,0.0,2,1,3,40,4,8,5
VCO7I1S6F4,inicialization,0.06458565330651467,1.0,0.0,3,1,4,23,4,7,9
8P67WOB3TC,inicialization,0.17084380241115005,0.4,0.25,2,1,4,14,2,3,9
KBPWG5IKW9,inicialization,0.06458565330651467,1.0,0.0,2,1,3,22,2,7,1
HZ5E0U968I,inicialization,0.1339745962155614,0.15,0.3571428571428571,4,1,4,17,5,5,1
HSOIQT8P4U,inicialization,0.09861218113400261,1.0,0.1428571428571429,3,0,4,34,3,1,5
98C4C6U9NM,inicialization,0.036375888340568485,1.0,0.1428571428571429,4,1,3,5,5,7,5
SF3LFDSHD0,inicialization,0.17084380241115005,0.4,0.25,3,1,4,31,3,3,5
GFFULWO5LS,inicialization,0.09861218113400261,1.0,0.1428571428571429,4,0,4,17,5,4,5
RUT88AJVXK,inicialization,0.07417990022744858,1.0,0.25,4,0,3,17,5,7,5
