id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
J33LZW16H8,inicialization,0.26070828976138183,0.028057231971845467,0,,2,,
HF3QDNVOTN,inicialization,0.2624107228686072,0.03537072351686965,1,39,2,2711,
LJMWX0NZ39,inicialization,0.28866594660376255,0.005601091377120004,0,32,16,2322,6
LAZJKMKBP2,inicialization,0.3123302203303705,0.019418437212457153,1,36,17,1692,7
DP6SV7V8X4,inicialization,0.2941931992612997,0.005326579174878866,0,5,6,814,4
P165QJDUKD,inicialization,0.32639863940390146,0.008759024154293926,1,28,7,139,6
OT7NWV3AH4,inicialization,0.22816182814279706,0.037879904038873716,0,22,29,569,4
GZJ48C2KD4,inicialization,0.18875506499189987,0.10666049998749058,1,5,10,676,2
INFHQEZC81,inicialization,0.3041554832208304,0.004984655115378517,0,15,19,528,6
Q0JN0ERZQG,inicialization,0.2137781023345322,0.052841861512416294,0,39,17,737,3
TCB9SOZAFO,inicialization,0.3765047914502545,0.013281873299066799,0,26,26,2314,8
WU2CLFBW9J,inicialization,0.2150216657795384,0.031101537546319585,0,28,28,39,4
ZLYY2MNK9R,inicialization,0.3863822244106577,0.015550247547459338,0,19,30,1187,8
6HTIHODZ31,inicialization,0.22919059363776884,0.023486777546430776,1,34,5,128,5
BJ4GFSG9JI,inicialization,0.24239834291532203,0.0435140063770227,1,23,8,2545,4
YG5UH4SOWO,inicialization,0.22495460433002223,0.10511523952753321,0,4,21,1487,2
D4W64N5D6Q,inicialization,0.3182478319775667,0.004563157265608277,0,22,39,2080,7
CO3AHOXUHT,inicialization,0.2967003778651147,0.00893311353824685,0,14,35,1188,6
UFKVJM1FFU,inicialization,0.42507295228588116,0.005359590135907864,1,14,8,302,8
BN7K4C82WA,inicialization,0.2941931992612997,0.005326579174878866,0,5,40,422,4
NRQNSZZQVB,inicialization,0.20374142751224544,0.03798692904936772,1,12,22,144,4
WHK4XN7PZB,inicialization,0.2052726532194601,0.1123748710835101,0,15,12,1618,1
EWCQ3S8ZXU,inicialization,0.2129221007677874,0.03585233606409269,0,8,9,1338,4
0P5G7NLEPF,inicialization,0.34867725392984905,0.006577173372177392,0,32,13,1309,9
V0CR4WVE6S,inicialization,0.24593216600214474,0.05596643584476092,1,30,16,2654,4
CARF8GR148,inicialization,0.21801313160185598,0.07882461519643952,0,31,23,2366,1
TLFF5N7FVJ,inicialization,0.20113450054904014,0.07404011075003686,1,21,17,2627,2
1PF2XAS1A2,inicialization,0.26836310642978956,0.012285637243591704,1,25,33,2155,5
7I4JNSYABZ,inicialization,0.29555754515314603,0.011984368788727072,1,31,39,2130,6
PJP4L0TS7Y,inicialization,0.26764648520959466,0.01873597902865768,0,24,32,1286,5
IC6DB61YYO,inicialization,0.2766650877146095,0.007835759696882938,0,6,27,726,5
K49XWW0RE1,inicialization,0.2576340892885325,0.05763262066722451,0,33,2,2656,1
X40Q2I5WSA,inicialization,0.29866848075415153,0.007266928715783272,0,7,32,2393,6
RDCF72WBWM,inicialization,0.26556483974378475,0.015443917504565932,1,34,30,1558,5
SUUUQGKT26,inicialization,0.22752314121096961,0.031603304153960336,1,11,15,1076,5
ZWLPOSS5T9,inicialization,0.20847447715476985,0.04091100522893623,1,13,40,85,4
Y914S70B7Z,inicialization,0.3715494109860076,0.003794175615532802,1,39,14,752,9
1HLIHF3JMK,inicialization,0.2971351048023243,0.001064342880334912,0,29,23,1233,6
TEZGV523S9,inicialization,0.21204665128872036,0.06731525676272973,1,35,24,1974,2
B3FUBC89G7,inicialization,0.4955923227067489,0.0007561247494641797,1,7,36,2160,7
GSAVB3LD0D,inicialization,0.23327177865862947,0.044116195802951674,1,26,30,1713,4
Q5FD34QOYC,inicialization,0.32769399680115485,0.008672153204217617,1,30,2,759,7
AL0KNTOEJ6,inicialization,0.32011372361288315,0.00196745327732821,0,15,40,2247,7
SMGZVDWZC6,inicialization,0.32924240900800616,0.010759835876451442,1,29,35,856,7
T9KE93YHAC,inicialization,0.37148622477845394,0.012626171367890827,0,29,39,727,8
769K3DKGBX,inicialization,0.3188649833095736,0.013476464227237729,1,4,22,1866,6
DXON2GH3C5,inicialization,0.22180278389793817,0.02854544671127432,1,9,18,1205,4
Q5EQXYMG8N,inicialization,0.25191737931617786,0.04603673876723868,0,34,3,2303,1
Z57CQWXFFC,inicialization,0.27648376061048263,0.009508546711552303,0,9,37,43,5
G2BYM8ESJG,inicialization,0.4256058272408755,0.0013447623071812416,1,25,40,2204,9
PA9GUA1LSP,inicialization,0.21945213773424255,0.09178610843162488,1,4,17,2186,2
WSQ5ZXI6FP,inicialization,0.3413931730985327,0.013630399550772943,1,37,18,2658,8
GALJ8LECPG,inicialization,0.31578500276300536,0.011984368788727072,1,35,28,1399,7
9S5IYZ7GBN,inicialization,0.20689748164634503,0.0378600974622563,0,33,5,1040,3
VKMUTKU03H,inicialization,0.1919458180458209,0.10698122753517231,0,18,18,529,2
WN055ID888,inicialization,0.25375564391832406,0.015892171606959687,0,25,2,490,5
79FIA2S22U,inicialization,0.30640232823788605,0.002094632348239929,0,13,14,402,6
7FPGYJHI93,inicialization,0.20047150042729434,0.10054409013451794,0,26,6,774,2
87E9O907WF,inicialization,0.34475263559645386,0.004449877546708773,1,12,17,2560,6
5GAKAQPPBW,inicialization,0.18495654494473668,0.08661971928868675,0,15,32,2019,2
34PTLGNEMN,inicialization,0.3226533495833369,0.0025963989558806765,0,12,19,96,6
GN40DS9MGO,inicialization,0.277887407541066,0.005092375093473142,0,5,4,1189,5
N4DIK9MMTJ,inicialization,0.3251296661582116,0.006443392109059871,0,22,31,2708,7
U9O7O0YF61,inicialization,0.277887407541066,0.005092375093473142,0,5,22,449,5
CCG1RNLE6R,inicialization,0.1777328671141618,0.07632863905884707,0,10,13,1774,2
3AZ4B7TQVC,inicialization,0.2059908477973924,0.06009523835998766,0,19,20,798,3
XCSTY63AL2,inicialization,0.3321631128674538,0.006751262756130312,0,14,19,314,7
SIQWFICITH,inicialization,0.1655003450467919,0.06742228177322371,0,10,19,97,3
HGU46SFGQR,inicialization,0.38711499026097806,0.0003009209710643293,1,22,40,745,8
BCDVOZRN6D,inicialization,0.4236066042188996,0.018915975637215792,0,38,31,2249,9
94SJ15UQTC,inicialization,0.2638710817642155,0.019204387191469136,1,31,32,669,5
WSFDXO5LL1,inicialization,0.20672586708053609,0.04208862782817066,0,19,3,155,4
CODYXKHPD6,inicialization,0.2860147875201847,0.015403609383730532,1,37,38,2437,6
EFO4RZ5DOU,inicialization,0.32195461999863617,0.0001341287469178165,0,27,38,677,7
W92D512XWV,inicialization,0.296665317799195,0.01822066055280503,1,30,28,2182,6
MT4UQCJTJW,inicialization,0.2891309512832354,0.00840459067798259,1,4,5,1822,5
YJ6HJ6CK8N,inicialization,0.37211060991645617,0.007287082776200972,1,39,19,1224,9
6RTSWCVMVQ,inicialization,0.22645489266770158,0.097365655813126,0,25,13,1115,2
NC0OCSAK38,inicialization,0.3768405848763944,0.005935370793013633,1,26,37,1686,8
GU1LSN98BD,inicialization,0.17087506578022793,0.0668336442155067,1,38,30,155,2
F1U1GK9LIR,inicialization,0.33189901746359174,0.009541557672581306,0,16,2,203,7
WVTZQG1YQC,inicialization,0.17743678653114048,0.07847643642853372,0,14,8,272,2
T5MT3YEGRD,inicialization,0.2154831308561187,0.05082749792204687,0,29,2,659,4
O22IOVXH13,inicialization,0.21104060377305045,0.11962790044728117,1,26,26,1630,1
CJERXTEGI2,inicialization,0.30869286942253105,0.014440036805484134,1,20,29,1627,6
TOES7CIO7R,inicialization,0.40268945778912146,0.0023350911380511444,1,19,38,1447,8
5FWGAQMGNP,inicialization,0.35621450108075614,0.006116062369172344,1,34,23,949,8
H63ZG05NXV,inicialization,0.31322265869212873,0.0022284136113574354,0,24,2,530,7
TMZMG7NZMC,inicialization,0.23548844649619716,0.09029297054171334,0,30,13,1461,2
6GSXXMG94P,inicialization,0.3715432517621523,0.018266875898245626,0,26,33,817,8
8CZ7VEKP14,inicialization,0.23249742004833107,0.02869277984260374,1,23,40,2401,4
ZZX2C7ZGUM,inicialization,0.2877573785770139,0.025059141742811958,1,27,22,2316,6
CVRASVB8EC,inicialization,0.3436550034221614,0.0015994679328049724,0,26,7,625,8
9XB1Q20JUG,inicialization,0.44865093433899106,0.005145540114919843,0,28,4,92,9
8IY5MBKZY1,inicialization,0.29447284738640656,0.004804658506820408,1,5,15,2083,5
ZL6HDGHMNL,inicialization,0.20640370430215627,0.04453109146051612,0,12,8,1384,4
YUUOWYTRVL,inicialization,0.17763976935426584,0.05672290807802538,1,13,35,256,3
XZSF5YSJ0Y,inicialization,0.18679734729805897,0.06838585435147013,1,6,19,2662,3
FVPKS3ETW3,inicialization,0.21303112223093823,0.045032858068156864,0,31,28,420,4
M0YUDG9II7,inicialization,0.3752013957966792,0.012498992296979115,0,29,26,1560,8
FUCKMT5D4L,inicialization,0.18608446375098608,0.07462909579155419,1,23,26,327,2
BFCRW3CLG7,inicialization,0.19970451641073472,0.07224014466445575,1,22,30,2711,2
TT0UZ5KTC3,inicialization,0.39296219899280593,0.004449530062908467,1,17,29,1861,8
KCA58Q166F,inicialization,0.5021348522930844,0.0007561247494641797,0,6,26,2450,7
89HNJBHA57,inicialization,0.22413616097682365,0.03421290749425262,0,11,21,1675,5
M8EMJNQDX6,inicialization,0.3199045802461683,0.020749995135226795,1,39,15,1244,7
HAZQB2TK32,inicialization,0.2941931992612997,0.005326579174878866,0,5,32,84,4
F4D7DZPJ9Y,inicialization,0.45485089779404997,0.0006758559915936713,1,19,2,92,8
VU3AIC0EUW,inicialization,0.49874335838541894,0.00023420408140572484,1,6,20,120,7
054R1HH6P7,inicialization,0.2891309512832354,0.00840459067798259,1,4,38,1206,4
J4OJOPE88W,inicialization,0.22682990972006922,0.03186426448798956,1,11,18,1680,5
PJRV6MZHFT,inicialization,0.24396642820594983,0.08901492512419071,0,39,11,1925,2
3DDMCISQ3J,inicialization,0.3794944272970572,0.01696207422809949,0,26,20,987,9
QRVKDXRIJO,inicialization,0.18395104292476272,0.05260105523880476,1,20,36,327,3
4YJCJNDI10,inicialization,0.3930792311686606,0.00048196003102335405,1,24,13,569,9
UPN7P0U84Q,inicialization,0.22374619287654374,0.05587296270247882,1,32,19,1562,3
7VCR0MSRAY,inicialization,0.20876233193209115,0.047194207306055405,0,13,12,882,4
352YG9GBRN,inicialization,0.2562640392868861,0.03387167840235288,1,23,10,863,5
D5NMIB6Z1G,inicialization,0.31619265694504595,0.003833788768767596,0,34,39,2463,7
X6J3TS41P0,inicialization,0.17056224745775295,0.07479623549950101,1,9,34,1543,3
2VOMV9R2WA,inicialization,0.2079673176560618,0.04629109690906211,0,29,34,783,3
BDW4QNG8PH,inicialization,0.3231245473102188,0.005781435469478416,0,8,31,420,6
OXQ6I8ZB7J,inicialization,0.310541635371942,0.018481620886834256,1,29,21,2470,7
9LPOTLOSLV,inicialization,0.3265365672665044,0.003138473684356838,0,31,4,746,9
X624IUQJVT,inicialization,0.5067662566557025,0.0007561247494641797,1,7,26,2562,9
OA41PGQ2V2,inicialization,0.3606718635653522,0.0030377033822683204,0,18,34,103,7
AKVX7DDCKA,inicialization,0.21686156052450567,0.06077769654378713,1,25,25,1890,3
GLQMSD3RAU,inicialization,0.32388512617476195,0.006001740198871931,0,38,33,2634,7
XRUCW25C4Z,inicialization,0.20958752831435024,0.05182477642892287,0,27,16,665,3
