id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
ND4JHK4H82,100,crossover,0.7549744432673244,0.02146464646464646,0.16666666666666663,5,3,5,0.6289236001209841,0.026346265199768387,0.25,5,0,16,21,5,8,6
VBOZS052K0,100,crossover,0.34024849751732844,0.3093434343434343,0.012093726379440728,54,11,54,0.3910986302217171,0.1679212507237985,0.11643835616438358,54,1,11,11,54,3,4
3WDRP464KO,100,crossover,0.3080467866026223,0.25757575757575757,0.05679513184584173,50,12,50,0.396029086830601,0.25883034163288937,0.1032608695652174,50,1,12,13,50,3,4
5WWZ0XMW1R,100,crossover,0.3200816735948254,0.279040404040404,0.05723270440251571,45,11,45,0.38288373792369257,0.252460914881297,0.09159420289855075,45,1,11,12,45,3,4
70PZNYG0CP,100,crossover,0.3515304012424172,0.0,0.13225806451612904,58,11,58,0.43479326671611795,0.038506079907353774,0.16666666666666669,58,1,11,9,58,2,3
YG9GBRN09O,100,inicialization,0.7580566484363465,0.0946969696969697,0.0,21,6,21,0.6164119108037073,0.09814707585408222,0.19999999999999996,21,0,6,27,77,8,2
OQNMPS6679,100,crossover,0.35172331203019247,0.020202020202020166,0.063752276867031,68,10,68,0.42513091323918706,0.03879559930515347,0.06607142857142856,68,1,10,6,68,2,3
HUBQ1TRN9K,100,mutation,0.3123987367770903,0.1755050505050505,0.08382066276803113,36,9,36,0.39058195522864436,0.07788071800810659,0.08963585434173671,36,1,9,21,40,3,4
W7GH86I0AC,100,crossover,0.33364610213622303,0.007575757575757569,0.14545454545454545,43,10,43,0.3931697293166909,0.14418066010422692,0.09740259740259738,43,1,10,18,45,2,3
LAQU7R1J4W,100,crossover,0.371313250184664,0.125,0.0,63,9,63,0.4446236989340797,0.039664157498552455,0.06666666666666671,63,1,9,6,63,2,3
