id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
AAURBOV7MU,107,mutation,0.7203984102242755,0.006599263928254155,0.2551020408163265,47,9,47,0.707916474623008,0.013810923995366656,0.11512959614225438,47,1,17,23,47,9,3
60WGS50678,107,mutation,0.6382810178472402,0.1327326311039666,0.08531839498801308,12,4,12,0.6349816454736572,0.10302822010921453,0.07847918436703477,12,1,4,34,12,2,3
MNA8HBZSOG,107,crossover,0.42857063332362266,0.00037367626944173615,0.12670502983802223,413,17,413,0.4320584916027749,0.03207698476343224,0.06917098445595848,413,1,17,17,413,7,2
HPN8TQL3P3,107,mutation,0.5500691318320562,0.00031727230424298536,0.22430236665489228,138,12,138,0.5505989423812063,0.01349269994017388,0.12358213135415208,138,1,12,25,138,8,6
IASJRCU4PM,107,mutation,0.5027374220470752,0.044002143350677564,0.009429400386847142,469,17,469,0.5157712172779669,0.01998447066610659,0.14393939393939392,469,1,17,13,974,9,6
26JBP1O0BQ,107,crossover,0.9279399300131002,0.007607484806181897,0.11193585337915235,8,3,8,0.9452879420905491,0.003525922531536052,0.08967028778349534,8,1,3,36,13,1,3
9CXTE0ONNU,107,mutation,0.7641408655041086,0.03705035463993123,0.10598869881249645,8,3,8,0.7713280809663439,0.06088262623948271,0.08281472761368408,8,0,3,35,12,1,3
QTX698JH84,107,crossover,0.63200719055378,0.0001903633825457926,0.17698091382301917,116,11,116,0.6331073412147638,0.021053703491554332,0.0933689024390244,116,1,11,24,116,9,5
Y3IX8HMJWZ,107,crossover,0.5262939136730791,0.017985814402752515,0.03452380952380951,423,16,423,0.5414419251910572,0.0032458853629663553,0.1649644853528348,423,1,16,14,840,9,6
B5VQW5CFP9,107,crossover,0.5757655331354822,0.0002538178433943855,0.11336032388663964,205,13,205,0.5662232109989623,0.01704408039612531,0.10196078431372557,205,0,13,23,205,9,5
TJ5XHBQJNE,107,crossover,0.7265463748268628,0.05880113371970053,0.10113762486126526,12,4,12,0.7173626139314577,0.055523733150036225,0.08990920269783503,12,0,4,35,12,1,3
5OCMDPYV09,107,crossover,0.4819639681287572,0.10398776033955193,0.10205841672768695,15,5,15,0.46207537969238965,0.11854482504041441,0.06696826455999222,15,0,5,30,15,3,3
H8C6BSBBPA,107,mutation,0.3597873191262777,0.10092784522751952,0.0572283150548355,141,8,141,0.3572024847031563,0.08669696159672102,0.0609637621974809,141,0,8,8,552,5,5
0C1563AMXV,107,crossover,0.7336370977076211,0.011809580213489011,0.07745098039215681,64,8,64,0.7052590265317502,0.011468794949147796,0.09649122807017552,64,1,8,22,64,9,5
EKAHC6EX8J,107,mutation,0.4919682445990339,0.03536528617961841,0.02255358807082941,246,13,246,0.49983600446819554,0.012283448530441304,0.08040947410678445,246,0,13,17,246,8,4
0LX6V4MY7L,107,crossover,0.41244749260485003,0.0003666257737918732,0.13177095104805953,263,14,263,0.41197538890095653,0.0750626901388729,0.07524031845380685,263,0,14,17,263,3,3
9NYN110FHU,107,crossover,0.5311985104966526,0.013826021969344446,0.13368725868725873,93,8,93,0.5057401845993491,0.02689629714489377,0.11402027027027029,93,1,8,24,93,8,5
37WSM4SB1X,107,crossover,0.3501422842809455,0.16233061184201253,0.07522526738536683,27,5,27,0.3389812385309806,0.1961787655452451,0.0566408825209862,27,1,5,27,27,4,3
VN9421WSHV,107,crossover,0.3806333198134101,0.07297968047153716,0.02110103300579491,268,11,268,0.3931002805455127,0.037703186059240584,0.109147271318217,268,0,11,15,276,6,4
K6I9MNJ796,107,crossover,0.7060987101338682,0.004434761763751991,0.23544973544973546,50,10,50,0.6831221888821903,0.022021104619340388,0.05673758865248235,50,1,15,23,50,9,4
V303QBE60N,107,crossover,0.5846448427466819,0.012712043656669073,0.054328681750440366,236,16,236,0.5690338893366442,0.03252249844070213,0.03746197305519339,236,1,16,22,236,9,4
