id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
807NCRII64,104,mutation,0.8577222721339512,1,1,4,3,4,0.829423058515758,1,1,4,0,13,9,4,6,1
EK4D5S9AUZ,104,mutation,0.8356010126946427,1,0.0,12,4,12,0.9303266985708383,1,1,12,0,4,21,116,7,4
YU9IL3DZWS,104,inicialization,0.49550357184011706,0.008600125549278081,0.04444444444444445,390,28,390,0.5234600219253498,0.06701754385964913,0.1819548872180451,390,0,28,4,390,8,2
NN4V3HL56B,104,mutation,0.5266538224791659,0.00010985561833019852,0.12039312039312039,330,19,330,0.543881174690559,0.04605263157894737,0.19230769230769232,330,0,19,7,347,6,6
O77KTNRJJ7,104,crossover,0.5466305934986726,0.0006120527306967966,0.09344262295081968,234,16,234,0.5749101191791285,0.04885964912280702,0.24444444444444444,234,0,16,12,238,6,5
L5X74SJNZ3,104,crossover,0.6968211928791849,0.009557438794726928,0.0,171,20,171,0.708195966754896,0.011578947368421053,0.24836601307189543,171,1,20,25,171,8,3
TUDXKY38GC,104,mutation,0.6038724639190641,0.015913370998116762,0.1875,71,13,71,0.623677288174492,0.027807017543859648,0.03472222222222221,71,0,13,13,71,8,2
C29PGK5443,104,crossover,0.8576263006371252,1,0.0,7,4,7,0.9303266985708383,1,1,7,0,15,12,7,7,1
ISZENZZJWG,104,crossover,0.5506251154732307,0.014391086001255493,0.0046888320545609985,301,23,301,0.53391737888145,0.06,0.11965811965811968,301,0,25,6,301,8,2
5MADBCC9X4,104,crossover,0.7552362305531491,1.569365976145619e-05,0.032967032967033016,89,11,89,0.7413091746224165,0.0078070175438596495,0.3416666666666666,89,1,11,19,89,8,3
1JT14YZ99W,104,crossover,0.3877837220106066,0.07008788449466413,0.0,224,17,224,0.4190716829673268,0.07938596491228073,0.14536406495547408,224,0,17,6,224,2,5
DYCOFFZQ1R,104,crossover,0.5990967799387645,0.005241682360326426,0.21303258145363407,145,12,145,0.5784674192148792,0.03850877192982456,0.07863247863247869,145,1,12,13,145,8,3
5Q2XO3RA9R,104,mutation,0.4432068817522882,0.021876961707470194,0.041612295200811944,383,18,383,0.47416176911861074,0.027105263157894743,0.2042016806722689,383,0,18,4,385,3,8
VWUCJ5OHJV,104,crossover,0.7281109525701093,0.008992467043314502,0.3035714285714286,11,6,11,0.7305698062860742,1,0.1875,11,0,15,13,11,7,1
QKYGL5OLAR,104,crossover,0.44052301479260014,0.07419962335216573,0.0,86,9,86,0.42692677730896855,0.0955263157894737,0.07397959183673469,86,1,9,20,106,4,5
Z08W6I0HIE,104,mutation,0.7990606310369431,0.0005335844318895165,0.15000000000000002,9,6,9,0.8608668462374036,1,0.5,9,0,15,12,9,8,1
7VJA9V1LOA,104,crossover,0.6138366045440189,0.000486503452605154,0.06994047619047616,166,12,166,0.6014813441247173,0.02298245614035088,0.15162907268170428,166,0,12,12,166,8,4
W1UHZ6TV7I,104,crossover,0.6649877762478229,0.0010828625235404891,0.06227106227106227,74,8,74,0.6476465380392352,0.018070175438596493,0.05555555555555547,74,1,8,19,133,7,4
8QCYA0I0TS,104,crossover,0.4372610145620178,0.011817325800376643,0.060272384815995395,348,16,348,0.47412879987560685,0.03719298245614036,0.1778182515337423,348,0,16,4,348,3,7
IEA4EOY7C8,104,crossover,0.5890136099847864,7.846829880728268e-05,0.029277813923227036,263,22,263,0.5524542411538846,0.02429824561403509,0.14800389483933785,263,1,22,10,263,8,2
SJ3CFRSV0O,104,crossover,0.8576263006371252,1,0.0,7,4,7,0.9303266985708383,1,1,7,0,15,13,7,7,1
Z3GDMS4BO5,104,crossover,0.536460889113618,0.002715003138731964,0.17385057471264365,146,15,146,0.5416494800611709,0.04938596491228071,0.15340909090909088,146,0,16,11,146,6,3
K0P3BXIAOP,104,mutation,0.38907913567337915,0.06421845574387948,0.0,160,14,160,0.4016898507679618,0.0736842105263158,0.12823834196891193,160,0,14,5,160,3,4
G75R7WZDJ0,104,crossover,0.7290335512515532,0.004221594475831765,0.010101010101010166,52,7,52,0.7401056439956027,1,0.33333333333333337,52,1,7,27,203,7,6
P5YWN84NWD,104,crossover,0.48589325252792703,0.060436283741368495,0.0004997501249375258,49,15,49,0.4676318091507572,0.07456140350877194,0.0023419203747072626,49,1,17,19,49,4,2
2PAFIVJUGI,104,crossover,0.5330942066242781,0.00010985561833019852,0.11201991465149358,309,17,309,0.5483995832620832,0.04438596491228071,0.18985507246376812,309,0,17,7,309,6,6
CPSECR015S,104,crossover,0.7281109525701093,0.008992467043314502,0.3035714285714286,11,6,11,0.7305698062860742,1,0.1875,11,0,15,13,11,7,1
LDEGQMV8LU,104,crossover,0.6555130889586963,0.0032015065913371006,0.17142857142857143,41,12,41,0.7063683662167296,0.017368421052631578,0.2615384615384616,41,0,15,16,41,8,3
80VMHXGNIE,104,mutation,0.4642693234823353,0.012350910232266143,0.030537697253068374,373,17,373,0.4799207129383132,0.02570175438596492,0.2005021520803443,373,0,17,4,373,3,7
MHETGYPILX,104,crossover,0.6077534430941028,0.001004394224733203,0.12857142857142856,165,19,165,0.585374858068429,0.031315789473684214,0.2574626865671642,165,1,20,12,165,8,2
7ZRKWC9NKR,104,crossover,0.7990606310369431,0.0005335844318895165,0.15000000000000002,9,6,9,0.8608668462374036,1,0.5,9,0,15,13,9,8,1
3BUAOKW7T6,104,crossover,0.8576263006371252,1,0.0,7,4,7,0.9303266985708383,1,1,7,0,15,13,7,7,1
KVST7NWHEG,104,crossover,0.536460889113618,0.002715003138731964,0.17385057471264365,146,15,146,0.5416494800611709,0.04938596491228071,0.15340909090909088,146,0,16,11,146,6,3
IBFDOQW26P,104,mutation,0.5529004459644743,0.002197112366603901,0.11428571428571432,199,17,199,0.5735140895400135,0.04315789473684211,0.2588235294117647,199,0,17,12,199,6,4
J5JTW7BBG5,104,mutation,0.38653557335922306,0.07063716258631511,0.0,158,16,158,0.369961364370743,0.1025438596491228,0.1311914323962517,158,0,16,10,158,2,3
OSWJL3GXF3,104,mutation,0.6649877762478229,0.0010828625235404891,0.06719367588932806,70,10,70,0.6544890041884783,0.018070175438596493,0.1216216216216216,70,1,14,13,70,8,2
MGLDUQ4N3H,104,crossover,0.4322587918729598,0.011817325800376643,0.06580459770114944,331,16,331,0.46930926797123684,0.03219298245614036,0.18837344720496896,331,0,16,4,331,3,6
RNGSQNQQVX,104,crossover,0.48551257365497924,0.0641399874450722,0.01828631138975967,44,14,44,0.466442158078762,0.07649122807017544,0.028205128205128216,44,1,18,17,44,4,2
2ZWJI38WBY,104,crossover,0.5658374469632526,0.005367231638418082,0.013227513227513199,246,13,246,0.589149302036085,0.038157894736842106,0.10789473684210527,246,0,13,7,259,8,4
TUZPE6WCA7,104,crossover,0.7547344935672065,0.0005178907721280612,0.045454545454545414,35,9,35,0.7495595320699626,0.005701754385964913,1,35,1,15,14,35,8,2
W7MCUYO75T,104,crossover,0.7281109525701093,0.008992467043314502,0.3035714285714286,11,6,11,0.7305698062860742,1,0.1875,11,0,15,13,11,7,1
EDRTY82W65,104,mutation,0.44230810292959444,0.02346202134337727,0.03928571428571431,370,18,370,0.47286340113995384,0.033333333333333326,0.1998586946922194,370,0,18,4,370,3,5
FZV6KA57VI,104,mutation,0.3519731435108113,0.06537978656622725,0.008080434246237334,115,14,115,0.3486688882306419,0.11245614035087723,0.09827640733712839,115,0,20,22,115,2,3
SZ3B85NZ4A,104,mutation,0.8576263006371252,1,0.0,7,4,7,0.9303266985708383,1,1,7,0,16,13,7,7,1
9DYHGX56MA,104,crossover,0.5013495301264408,0.0038135593220338937,0.11722972972972973,284,16,284,0.5465988339268709,0.04131578947368422,0.22686322686322688,284,0,16,8,284,6,6
