id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
UYND2CWVPM,108,inicialization,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,10,2,2,9
IG2LN4BT5J,108,crossover,0.0,1,0.0,5,4,5,0.0,1,0.0,5,1,4,12,5,1,6
L2MU2F65AB,108,inicialization,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,10,3,3,9
L62HKEYBC9,108,inicialization,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,4,33,2,2,0
O3HAHO7302,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,23,2,2,8
W28T3C674H,108,inicialization,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,13,3,3,2
VQSSYQQZ5C,108,inicialization,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,40,2,1,2
7W76WSSL38,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,21,2,2,6
GEN0Z8FY57,108,inicialization,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,0,3,4,3,2,8
Q6PTBI1KCK,108,inicialization,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,35,3,3,5
MYDZ3DSNT4,108,inicialization,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,8,2,2,10
J336C9HKFD,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,9,2,2,10
UCK7282RD4,108,inicialization,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,29,3,3,4
SB8U1ZAWZ2,108,inicialization,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,4,30,2,1,0
ZPBUESYH2E,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,1,3,26,2,5,8
0TQXT48KJM,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,20,2,2,8
KDVP6NKBDE,108,inicialization,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,3,3,3,3,1
LAWFVLHWTO,108,mutation,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,37,2,2,3
JMW135C148,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,20,2,2,6
ZW5IP0QMLV,108,inicialization,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,1,4,31,3,1,7
OYNHY36R7X,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,3,16,3,3,2
8CE34LHBVL,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,4,35,2,2,1
ASHPKX15LP,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,31,2,2,6
5858FW1BAA,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,3,11,3,3,9
NUSIAK7A7Z,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,1,4,18,2,1,8
0H94FF5ME0,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,0,4,26,2,6,6
D1KQ7MGUOK,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,30,2,2,5
NWRM6DTX0Q,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,35,3,3,1
NWO22B0EJB,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,5,2,2,9
PCVVAP2BG6,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,21,2,2,8
DX2LR3QA3H,108,crossover,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,0,4,38,3,2,4
DSDALT6LDT,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,26,3,3,1
VKML5JPLB6,108,mutation,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,27,2,2,6
984RQFUNUO,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,28,2,2,6
HRHIQNG1PV,108,mutation,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,18,3,3,6
7B775S4JV5,108,mutation,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,19,2,2,5
QQS3LOBW5R,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,1,4,9,2,4,1
1TF9NC7WAE,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,20,2,2,7
3Q7LI8LNEE,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,25,3,3,8
2FKUVU92T9,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,4,21,2,2,3
9VK82K6FOM,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,17,2,2,7
DH6XRTD73B,108,crossover,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,0,4,14,3,2,7
7TOJL5Q7K2,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,4,20,3,3,6
UF1ZSXSW4Y,108,mutation,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,30,2,2,5
R9B4NQ164L,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,27,2,2,6
XBA82EADNE,108,mutation,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,3,28,3,3,2
9H59QI43CX,108,crossover,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,3,18,2,2,7
EYO2FLBJ6C,108,inicialization,0.09546596626670911,1,0.0,2,1,2,0.2440710539815456,1,0.0,2,0,3,13,2,4,4
4W9IFADPLV,108,mutation,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,3,17,2,2,5
X6VK0THDYO,108,crossover,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,3,10,3,3,9
7I1JY8HHK2,108,mutation,0.6984886554222364,0.09999999999999998,0.5673076923076923,2,1,2,0.2928932188134524,0.33333333333333337,0.6166666666666667,2,0,4,34,2,2,1
33RBXMTVG3,108,crossover,1.0,0.0,0.5892857142857143,2,1,2,1.0,0.0,0.5333333333333332,2,1,4,30,2,2,5
76ZQ8EP020,108,mutation,0.09546596626670911,0.9,0.07499999999999996,3,2,3,0.17084380241115005,0.08333333333333331,0.4880952380952381,3,0,4,12,3,2,9
91VRQWTC6S,108,mutation,0.09090909090909094,1,0.25,3,2,3,0.265031584740833,0.5833333333333334,0.43589743589743596,3,0,3,7,3,3,2
