id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
9SV3PSC3M0,100,mutation,0.2663523123314884,0.002550183610440071,0.14559603790202835,2106,25,2106,0.2659982119226306,0.03599224170633514,0.10225796376444529,2106,0,25,2,2106,6,7
5W14SP6D6Z,100,crossover,0.27944179946917236,0.007394455270495287,0.11605309580959544,1618,24,1618,0.2862003948980426,0.027109668498146097,0.07728962236098724,1618,0,24,4,1618,7,6
8YTH518IXY,100,crossover,0.3074277717572025,0.0003207275476817262,0.1300437176165803,1258,27,1258,0.319259365434605,0.016825952348902953,0.08222913223333428,1258,0,27,10,1258,8,8
VSQ6UQ3DBQ,100,crossover,0.2991896252536659,0.0005615338212932447,0.16335771508185304,1020,19,1020,0.2965017394192391,0.02325270133016802,0.10559744456412734,1020,0,19,12,1041,6,6
CJZA04WDA1,100,crossover,0.265805562022585,0.004169458119862454,0.14194213895111196,2072,25,2072,0.26520659603126484,0.035259547963141985,0.10186075841135478,2072,0,25,2,2072,6,7
P7Y0PWXAO0,100,mutation,0.3018528254378172,0.00015428280733552346,0.16460250058976178,495,16,495,0.2986805407017413,0.01367338073153123,0.10461133069828732,495,0,16,27,495,6,6
LLYERME6ZF,100,crossover,0.22643960294872323,0.09152514809759565,0.08661294068934877,8,3,8,0.24065969390098818,0.11729371382420245,0.07009563580097311,8,1,3,14,484,3,3
595EQ955DU,100,crossover,0.190547209016647,0.1000357213346714,0.03095379565967804,380,16,380,0.1932363126185921,0.07068964989782059,0.08049141709821378,380,0,16,13,380,2,3
8L96UVEYN5,100,crossover,0.42763908379014226,3.335844482930256e-05,0.0958038963819311,210,22,210,0.4175439619036151,0.0018600325505696343,0.05820525907862151,210,1,22,17,210,8,8
LSWXEF4VMS,100,crossover,0.33785608659833055,4.65628292409051e-05,0.12631578947368427,515,14,515,0.3460566306923377,0.00532464910241192,0.12435325602140945,515,1,14,10,1016,6,6
NDH5QMGJHG,100,mutation,0.4900838166747604,0.00041489565756444406,0.04270833333333335,202,11,202,0.4849918663491728,0.0018523843904110432,0.011548331907613285,202,1,11,34,497,9,5
QTH05MHX1M,100,mutation,0.22495460433002223,0.10511523952753321,0.07399850686581166,14,4,14,0.2376518818070006,0.11828415056474012,0.07854556790727002,14,0,4,9,219,2,6
G43TRQ34QV,100,crossover,0.23582549721592838,0.06071723436253401,0.01499831144837993,872,23,872,0.2428942402401375,0.04814669783036994,0.05757006142591681,872,1,23,20,872,4,7
GALJ8LECPG,100,inicialization,0.3098764605096266,0.018013212724022808,0.04892893241025531,868,30,868,0.3121777346093153,0.017432451449479316,0.06693989071038253,868,1,30,28,1235,7,10
UXNXMG53V7,100,crossover,0.19164515232217982,0.11483019161646685,0.02201369722988855,419,15,419,0.19593645224741596,0.06586748491782818,0.0949719536028833,419,0,15,12,419,2,2
G87W8F4HO4,100,crossover,0.4854498867773023,0.0035530218581209744,0.09209280303030298,50,7,50,0.48260577277746053,0.0010990406147897065,0.014435098886110498,50,0,7,32,394,8,4
CAHQ6YO9WX,100,crossover,0.2504360323018646,0.02060961167990348,0.06880341880341878,702,17,702,0.2523599756458006,0.03178728325114111,0.04736077481840195,702,1,17,16,1353,5,6
Z41VQSC52Y,100,crossover,0.30151983190759923,0.0005281753764639491,0.11885856079404467,1148,27,1148,0.31195373482508804,0.019037035450751964,0.07117486210428392,1148,0,27,8,1148,8,8
8TJ3KT25J1,100,crossover,0.301897181813513,0.0084379491228119,0.09034970898687977,213,11,213,0.3020836747092476,0.014604926638847757,0.05450717623031076,213,0,11,30,528,6,5
CI2HVQ9Q96,100,crossover,0.26662584034236336,0.0033330646125277613,0.1441306821076226,2129,25,2129,0.2663403241705684,0.03459645247739203,0.10606406669331359,2129,0,25,2,2129,6,7
1T4D8XD104,100,crossover,0.19448242582207487,0.05576593769198479,0.0670513209839052,382,16,382,0.19391962290940679,0.04628360601573685,0.0784449363586055,382,0,16,11,382,3,3
M2D0CJB3CZ,100,crossover,0.3794355145372008,0.000903110396993291,0.0858156028368795,424,20,424,0.3731223034233101,0.009117371725057818,0.03989898989898988,424,0,20,25,424,8,5
JWTQOH0GXF,100,crossover,0.20341102323322702,0.07834230768161589,0.017413806035452617,616,17,616,0.2041586000371891,0.04902853069665561,0.08202989332671795,616,1,17,17,651,3,6
8GCNQEVBBX,100,crossover,0.2714560141333817,0.03666197331880388,0.011541774332472055,883,23,883,0.26545548863873925,0.03851842900671815,0.06508756447514574,883,1,23,19,883,,7
GB0MN6TZMT,100,mutation,0.17019832002612734,0.07610103716964714,0.05866129994036973,140,9,140,0.1808670768818853,0.06642503579338954,0.08494835843286597,140,1,9,16,273,3,5
R4QV600A7H,100,crossover,0.30135195825962957,0.0019208904480873118,0.15792360430950048,888,18,888,0.2960905141858785,0.019251183935192553,0.10754002911208149,888,0,18,14,968,6,6
