id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
0Q0V6VPNVU,107,inicialization,0.7247590587184098,1,0.0,6,4,6,0.7656256502297826,0.019172932330827067,0.0,6,0,9,4,6,9,9
AD50I27QMX,107,crossover,0.5371474437548683,0.01059190031152648,0.3035714285714286,13,6,13,0.5488951003791661,0.06015037593984962,0.101010101010101,13,0,8,21,13,6,4
2KQYEAMNQ0,107,mutation,0.37592592183120954,0.1557632398753894,0.057245080500894496,77,12,77,0.3673224368792548,0.09436090225563909,0.012743628185907074,77,1,12,6,98,4,2
BDTJ01Z1X2,107,mutation,0.4149570860802858,0.002492211838006242,0.23750000000000004,32,9,32,0.45020148963688233,0.027067669172932324,0.0146520146520146,32,0,9,24,32,6,5
OKEILPPYZ4,107,crossover,0.3793181961428672,0.04236760124610592,0.15646258503401356,57,11,57,0.3882012154237402,0.07556390977443606,0.06447963800904982,57,0,11,13,63,3,3
2JW7GIYJ09,107,crossover,0.7281642323931189,0.12398753894080997,0.06666666666666665,8,6,8,0.6780986573389429,0.014661654135338348,0.0,8,1,8,13,8,7,7
LP40MQSXTQ,107,crossover,0.4766979768321502,0.006853582554517124,0.054545454545454564,57,10,57,0.4608782052142728,0.09398496240601503,0.011128775834658156,57,1,10,7,57,7,5
YPK1D3YEJO,107,mutation,0.5391642400860159,0.001246105919003121,0.18888888888888888,16,5,16,0.4944132344215387,0.010150375939849618,0.05555555555555558,16,0,5,14,16,5,4
QUVCYNYYN8,107,mutation,0.46183879149571005,0.002492211838006242,0.30000000000000004,22,8,22,0.475327817702897,0.14661654135338348,0.1207430340557275,22,0,8,14,22,5,4
74IISCVVBG,107,mutation,0.37911813753852386,0.07040498442367601,0.09288537549407117,66,11,66,0.37041321043639364,0.07067669172932334,0.05575757575757573,66,0,11,9,66,3,2
6YHGZ52ZPT,107,crossover,0.5312815667194539,0.19501557632398758,0.1704301075268817,4,3,4,0.5132851083357011,0.14699248120300756,0.08243243243243248,4,1,5,34,4,1,3
R8JF04H2AI,107,crossover,0.33750685406914205,0.03302180685358255,0.18598382749326148,49,8,49,0.32547931661837604,0.013533834586466176,0.06097560975609756,49,0,8,7,49,3,2
8GWJ1SNCA7,107,crossover,0.4427910016350085,0.022429906542056094,0.046428571428571375,65,11,65,0.4472997846120488,0.0319548872180451,0.11080711354309164,65,1,11,8,65,6,5
