id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
39ORSY61LV,106,crossover,0.42738424545713716,0.0003097823212517836,0.09844350437562571,839,22,839,0.3950519194176888,0.05743516973463497,0.06630434782608696,839,0,22,5,839,7,3
7QPUURVZTI,106,crossover,0.42554982104010475,0.01093304924027777,0.11163954061861481,732,19,732,0.3910307100853827,0.05403653531995778,0.08057684903216777,732,0,19,6,732,7,5
HWD6U7KPI3,106,mutation,0.3968675777227719,0.044389539935474565,0.09740772315367363,769,21,769,0.4014557625411991,0.041536918542266155,0.06516779632997194,769,0,21,7,773,6,5
126QCT8TE8,106,mutation,0.45036315120126424,0.09032799147720832,0.00018024513338144033,744,24,744,0.4269949332413663,0.062493704204934164,0.04769270430523331,744,1,24,9,778,9,6
QOTGCDRBQ2,106,crossover,0.6417651436971417,0.01186995187040521,0.14010695187165778,88,9,88,0.6305128725825635,0.017816552575910867,0.09897292250233425,88,0,9,22,245,9,6
PREZZY20AE,106,crossover,0.43160194899124193,0.057430620093539136,0.03349282296650724,764,24,764,0.40924712782514705,0.03421846737354761,0.0758439609902476,764,1,24,5,764,9,5
8SE4Q6M0EJ,106,crossover,0.4280840688211446,0.01804293129632567,0.15249306542182528,445,16,445,0.3954049963938606,0.04418224739080351,0.07944858239144392,445,1,16,9,445,,5
Z2R9AP2KZO,106,mutation,0.7414291780411173,0.0034378281992580306,0.1520572450805009,49,7,49,0.7292498253383861,0.007743280470553199,0.11084529505582141,49,0,7,22,221,9,6
XXQX4PLHHJ,106,mutation,0.4283684958324966,0.09008621015330445,0.03395721925133699,553,16,553,0.4214783054846186,0.10266416148769089,0.020657894736842097,553,1,16,10,614,7,5
F0119AKNMA,106,crossover,0.5553874893438149,0.023619013078858497,0.15639679469466705,159,18,159,0.5166855257920933,0.0440070600498408,0.06274078150798024,159,1,18,10,159,8,7
EKE2C3MVXO,106,crossover,0.41840500792759916,0.03583652560237549,0.051197357555739065,842,21,842,0.397764820039906,0.05616068182913103,0.06690630797773656,842,0,21,4,842,8,5
66L9YN81EM,106,mutation,0.39261239040658247,0.05443857621022885,0.07343376133185053,627,20,627,0.3969655200718598,0.03464329667538224,0.07316514165829235,627,0,20,7,627,6,5
MDADBI9DI6,106,mutation,0.5376228648116657,0.029927994499474878,0.11506762468300924,222,13,222,0.5094878623736739,0.05884980751290911,0.04621234279028952,222,1,13,13,222,8,5
LNVOLFF2NA,106,crossover,0.7933942184973252,0.0041858391700856055,0.125,16,4,16,0.7788360895398962,0.006784129778782184,0.07575757575757569,16,0,4,18,235,9,7
M0BATJSNPD,106,crossover,0.41237583781709064,0.0032489365399581693,0.1572592768415223,486,18,486,0.40667106916545603,0.025537934628843684,0.14580761752628058,486,1,18,13,486,,6
2R8UD3XHQ8,106,mutation,0.42037522376426584,0.11804973139606048,0.0,598,26,598,0.38311722763663625,0.042250806956689285,0.06989438287392247,598,0,26,2,598,9,3
2J09AZ15TR,106,crossover,0.4868851890476381,0.0863839336310266,0.0009223201475712095,474,18,474,0.47205011585526313,0.07222536099541446,0.03371919770773646,474,1,18,13,474,9,6
59ZI4UIXQ0,106,crossover,0.7074142244029833,0.012617962841232781,0.07707910750507097,71,8,71,0.7022541850567428,0.0038234637165118456,0.1605351170568562,71,0,8,7,586,9,8
O9HDGKTU1I,106,crossover,0.6835456145700508,0.02966354617645503,0.09191176470588236,28,5,28,0.6621175531188745,0.029466510749933207,0.14824561403508774,28,1,5,29,294,8,6
LGMUDTRPAC,106,mutation,0.4796231836331072,0.01814115495916163,0.09652412049715609,388,14,388,0.43103357988023616,0.03883903349143991,0.05607707509881421,388,0,14,10,388,8,5
JW6VMQAEJ8,106,mutation,0.43312019790584955,0.06804633134619306,0.05829831932773111,541,17,541,0.4181573760650644,0.06716682652511527,0.05314446453686961,541,1,17,12,580,7,5
WT6PWSBAHB,106,crossover,0.41339336959727235,0.043399747640743225,0.13510080088373372,341,16,341,0.3856682783979536,0.0730180837132709,0.06045598155580223,341,1,16,24,519,,6
KUH5WT5UVM,106,crossover,0.4353415468079094,0.012481960846536855,0.08712573766337212,795,20,795,0.3987262084426154,0.05838118137583376,0.0777085027559411,795,0,20,5,795,8,4
Q57H0FYTFH,106,inicialization,0.8261354726727989,0.0023044782434586963,0.08290735068522476,8,3,8,0.8587107331734369,0.0057286260494817665,0.08507357193343185,8,0,3,5,178,1,4
W4XZPVSYKU,106,crossover,0.4905224365222861,0.05585148582179206,0.037081339712918604,411,14,411,0.46478584180026195,0.04466401257845107,0.04190710676822851,411,1,14,8,481,9,6
8SN8R0RTMM,106,crossover,0.47100146316156877,0.05172609198268241,0.10502283105022825,159,12,159,0.43328106789545084,0.06775808380086454,0.013839891451831732,159,1,12,11,159,7,6
EOY9ATUO3K,106,crossover,0.43525534599018834,0.02989021616761489,0.07636363636363641,469,19,469,0.39270468165262795,0.0655638623553062,0.0675041854639794,469,0,19,11,469,7,5
KZKF00EDNF,106,mutation,0.43160194899124193,0.08015806454050214,0.028891126776323106,742,25,742,0.4092586861100391,0.04555308833383698,0.05257854179016008,742,1,25,6,742,9,5
OOTHGYXR8X,106,crossover,0.40761311473930584,0.0017529145983030125,0.172561180020114,386,14,386,0.38899650399710395,0.023199183626991138,0.0888359428182437,386,1,14,13,386,,5
H6DFOQJCPD,106,mutation,0.36295503892027137,0.14411678037944559,0.0362980510390869,122,8,122,0.3393283950033752,0.1368169336083775,0.034403509993732206,122,1,8,15,309,4,5
RSMRT5QGSL,106,mutation,0.3772658518778329,0.10781935912837831,0.05207860922146634,153,10,153,0.34365317335959156,0.12481222106890558,0.0033825446601599696,153,1,10,28,249,,6
ISS4KZME94,106,crossover,0.4800464263353942,0.07708290832709991,0.004880212954747054,552,20,552,0.46655161653949906,0.06407039027359882,0.05075295075295072,552,1,20,12,552,9,5
6G564JUG9X,106,mutation,0.39665850633506206,0.12064132496165503,0.01525245048561108,478,13,478,0.3758447628587499,0.054062813421102196,0.08540566103024294,478,0,13,8,900,4,5
Q31N2JB5SK,106,crossover,0.5987995718444015,0.004586289487801376,0.08097135707096809,177,10,177,0.594811209847774,0.017107043845011716,0.0822861047044327,177,0,10,6,253,1,3
66P16B0S63,106,crossover,0.43785696040101174,0.003513384862977975,0.1400594509529638,506,14,506,0.39579526313070035,0.061219216299430196,0.06257649938800491,506,0,14,9,506,7,5
KTJTI05ZEW,106,crossover,0.47961680572371357,0.051846982644634346,0.0761823845935995,147,10,147,0.4400288806225924,0.0628791163550522,0.010046700258080299,147,1,10,14,147,7,6
5H6H0FTF5C,106,crossover,0.426640895489358,0.044449985266450553,0.05267857142857135,693,23,693,0.3864822008598682,0.05625703486666056,0.06201282144678366,693,0,23,4,693,8,3
NZ4WCQ9OZ6,106,crossover,0.7048692321326664,0.009059243980022818,0.1450980392156862,68,8,68,0.7063053372935211,0.0038234637165118456,0.19780219780219788,68,0,8,14,201,9,6
BHTSY0R2MQ,106,mutation,0.589194347185701,0.042787738664611524,0.00030459945172101044,261,14,261,0.5520483236396541,0.05312118146342745,0.0008324084350721517,261,1,14,26,398,9,6
BXEQSBG7GA,106,crossover,0.3857119510692425,0.0727610671623184,0.09327188940092168,151,9,151,0.3654648377906162,0.1051562014128859,0.04846846846846853,151,1,9,19,249,4,6
LCHURBGAGO,106,mutation,0.42525138983967414,0.020793193855732084,0.11740386076911385,615,20,615,0.42050273641722824,0.041015736202902,0.09013531908079109,615,1,20,11,669,,5
9YKSDFBFGG,106,crossover,0.43829600167022686,0.10973849838686524,0.00043859649122801603,181,10,181,0.3885283452049234,0.09945823314807273,0.014036643026004825,181,1,10,16,183,6,7
