id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
CV8IY5MBKZ,100,inicialization,1.0,1,1,3,2,3,1.0,1,1,3,0,12,5,3,4,1
I1WKBMFYBY,100,crossover,0.9126295943338962,1,1,4,2,4,0.9012270403350411,1,1,4,0,13,23,4,6,2
FNB3FA1PK8,100,inicialization,1.0,1,1,3,2,3,1.0,1,1,3,0,16,37,3,6,4
5RCWL90CVC,100,crossover,0.7546764409321877,0.0,1,32,7,32,0.7406769344986128,0.002789733779690738,1,32,1,14,30,32,6,4
005LAW0G5O,100,mutation,0.9126295943338962,1,1,4,2,4,0.9012270403350411,1,1,4,0,15,30,4,6,3
XP8WH143ZD,100,crossover,0.4644463339366206,0.0020703933747411862,0.08877192982456142,274,17,274,0.4760882910453882,0.022078750199266695,0.15078644888082274,274,1,17,7,274,3,4
GDK40HRPU5,100,crossover,0.6802755916235834,0.017080745341614904,0.06428571428571428,163,14,163,0.7420226782244058,0.0025904670811414017,0.2777777777777778,163,1,14,23,164,9,5
B6H7NFGM4T,100,crossover,0.712910080723489,0.0005175983436853,1,36,9,36,0.7152771448425256,0.014227642276422762,0.31818181818181823,36,1,19,34,36,6,4
NQ8RFFRD19,100,crossover,0.7003456717971437,0.0031055900621118,0.4071428571428572,57,9,57,0.7154256313481433,0.015861629204527338,0.303921568627451,57,1,9,30,57,6,5
N2SXA9YDFL,100,mutation,0.7559918582357512,0.0005175983436853035,0.24342105263157893,77,9,77,0.7700157234509614,0.0011557468515861619,1,77,1,9,21,111,8,5
23DB0ZHG3Y,100,mutation,1.0,1,1,3,2,3,1.0,1,1,3,0,15,26,3,6,3
TF9LDBA048,100,crossover,0.5417434181252954,0.0005175983436852966,0.20604395604395606,130,12,130,0.5796799977353898,0.0029092937988203366,0.28530844155844154,130,1,12,15,130,5,4
OZ84C3D9FL,100,mutation,0.39801225712220367,0.00724637681159418,0.11742424242424246,303,22,303,0.45335203520520995,0.013311015463095821,0.11533613445378155,303,0,22,11,314,1,2
X4X75FIW2K,100,mutation,0.5640121703957958,0.06521739130434784,0.023474178403755874,185,13,185,0.5635739854860261,0.021520803443328552,0.28186046511627905,185,1,13,12,191,6,4
5XKDNM6GL5,100,crossover,0.546375733554888,0.005693581780538304,0.07698412698412702,232,15,232,0.5480470649961533,0.0004383867368085437,0.2672064777327935,232,1,15,11,232,6,4
RHHAQF249A,100,mutation,0.7705208232660616,0.0,1,31,7,31,0.7498514898726798,0.0004782400765184127,1,31,1,16,30,31,6,5
EWBH7GGLHJ,100,crossover,0.5780085088127931,0.04192546583850931,0.0,264,19,264,0.5457260360855525,0.0005978000956480128,0.26242590059279525,264,1,19,12,269,6,4
0GK2WAOWK6,100,mutation,0.7882548379823703,0.0046583850931677,0.14583333333333334,107,12,107,0.8161569566501075,0.0033078271959190164,0.21153846153846156,107,1,12,36,145,9,5
XJCNGT6DT1,100,crossover,0.5754067883874804,0.0015527950310559036,0.282312925170068,93,13,93,0.6271302519188682,0.014905149051490513,0.33396584440227706,93,1,13,15,93,5,4
87N84WUQBP,100,mutation,0.39727759604318524,0.0005175983436853104,0.18407960199004975,174,18,174,0.41654547391561547,0.03283915192093098,0.24171122994652403,174,0,19,25,184,3,3
VVZ7REBH2R,100,crossover,0.3805721390705338,0.08436853002070396,0.060882988576721225,128,11,128,0.37664365452996595,0.0573091025027897,0.10998566650740563,128,1,11,18,128,2,4
FBZGGVO76D,100,mutation,0.6149459748306376,0.02691511387163561,0.042606516290726815,198,14,198,0.6409349994808087,0.010043041606886655,0.3232118758434548,198,1,14,13,198,7,8
Q83Y52KGVW,100,mutation,0.39265641836656895,0.06469979296066253,0.0735930735930736,26,7,26,0.42906303223726927,0.03570859238004145,0.20916481892091648,26,1,10,30,26,4,2
RRI3TS1WWX,100,mutation,0.7140684845843148,0.0015527950310559,0.30978260869565216,59,8,59,0.7233465482886567,0.0006376534353578836,1,59,1,8,28,104,7,5
J5MSDY6M8A,100,crossover,0.7290401805290798,0.008799171842650104,0.10389610389610388,159,13,159,0.7242106423880543,0.006934481109516978,0.43390804597701155,159,1,13,18,172,9,5
08MKVYCFMN,100,crossover,1.0,1,1,3,2,3,1.0,1,1,3,0,13,16,3,5,2
OTGSSNURBW,100,crossover,0.3985471197270337,0.009316770186335366,0.11581920903954804,302,21,302,0.45335203520520995,0.013311015463095821,0.11533613445378155,302,0,21,11,319,1,3
BN2YO3XATM,100,mutation,0.5446165284662889,0.07091097308488613,0.0018115942028985588,135,19,135,0.5533538287777761,0.013271162123385943,0.49750000000000005,135,0,19,33,135,6,5
HS5UMQR7DY,100,crossover,0.4619731510388543,0.0072463768115941934,0.2857142857142857,116,10,116,0.5540390359321063,0.004702694085764389,0.3317829457364341,116,1,10,18,137,5,3
41WPXMIOAW,100,crossover,0.7546764409321877,0.0,1,32,7,32,0.7406769344986128,0.002789733779690738,1,32,1,15,30,32,6,4
F7TKJ9D473,100,mutation,0.6809368630830454,0.02329192546583851,0.03947368421052633,164,14,164,0.733107800302413,0.005300494181412402,0.31043956043956045,164,1,14,22,164,9,4
SS93QTN88C,100,crossover,0.35599051847648355,0.07505175983436851,0.07330891330891334,129,14,129,0.3684728955320439,0.07592061214729795,0.08964784053156147,129,1,14,16,129,2,3
PJHNU58M38,100,mutation,0.7554977474190412,0.0010351966873706,0.2689075630252101,71,9,71,0.7804919486894855,0.002112227004622989,1,71,1,9,29,111,8,5
XR0XBSS76I,100,crossover,0.9126295943338962,1,1,4,2,4,0.9012270403350411,1,1,4,0,14,29,4,6,3
VKXXMT7UCA,100,crossover,0.5665106885588833,0.007763975155279504,0.07916666666666666,226,17,226,0.5728385895937402,0.001514426908974978,0.2648648648648649,226,1,17,11,226,6,5
0BRCKLDGAO,100,crossover,0.39265641836656895,0.06469979296066253,0.0735930735930736,26,7,26,0.42906303223726927,0.03570859238004145,0.20916481892091648,26,1,18,30,26,4,4
NJOK52Y5FR,100,mutation,0.4032981791634359,0.03623188405797101,0.09165154264972777,316,22,316,0.45298830034683435,0.014307348955842514,0.1122954688483323,316,0,23,10,316,1,2
5K8E0BSQC5,100,crossover,0.712910080723489,0.0005175983436853,1,36,9,36,0.7152771448425256,0.014227642276422762,0.31818181818181823,36,1,19,34,36,6,4
O7OQOTLDB6,100,mutation,0.5417434181252954,0.0005175983436852966,0.20604395604395606,130,12,130,0.5796799977353898,0.0029092937988203366,0.28530844155844154,130,1,12,15,130,5,4
