id,seed,creation_mode,error_val,dem_fpr_val,error_tst,dem_fpr_tst,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
TS936Q01D5,105,crossover,0.20548798149627545,0.04096099830996643,0.22497818821179638,0.03935799153190458,0.29728937921530013,34,24,14,0.1455468820348256,150,0.7540268190214047
BXUFTYOHKW,105,inicialization,0.44206727608344676,0.005946359286853442,0.44494242495738023,0.007907597038031823,0.6322040323346507,19,16,10,0.016765237464526815,103,0.13961959096448792
YNTQFN4DPZ,105,crossover,0.32685138021798443,0.002741841422484591,0.32735777795783116,0.012336560162647118,0.381948621118373,40,13,2,0.03731678121416199,119,0.25903987694941744
UUEAPET1Y4,105,inicialization,0.2169351251555357,0.055229582728333046,0.21659421415513214,0.03433588868371477,0.8735212644405275,50,29,13,0.12916571887107658,165,0.8876491146528084
D9ES2E0UDZ,105,inicialization,0.3467370278708404,0.009692401989955012,0.3591328558813427,0.013312069833808964,0.36384849908046135,31,25,6,0.018088916062816696,98,0.22841062299479098
LM0D0YFVSU,105,inicialization,0.3432792117680743,0.008054438123348644,0.3590528216402612,0.013306474176039392,0.9136856413411821,12,34,17,0.041958055414725144,68,0.1635626269129783
LBX41J39KP,105,crossover,0.21278882650407083,0.0505209945014401,0.21835889000071396,0.040711208102512456,0.1781200458341229,52,24,9,0.15297961506860736,160,0.6199607149762454
126LJTSYJO,105,inicialization,0.21559706483336527,0.05369427054818976,0.22285564163780835,0.035689105254322645,0.4292310868643402,44,24,11,0.10687913608767481,198,0.9290948947051613
Y004OXJH5X,105,inicialization,0.3327387126504142,0.013509854561900455,0.34999171176608224,0.010597243205938855,0.4156843821106999,2,34,9,0.08580111232926294,68,0.8918497474006873
BOPHJ4JFL4,105,inicialization,0.305259400655135,0.01375532598605127,0.30899882384765875,0.015231380448771752,0.6114722742410142,35,18,12,0.02098482504906001,82,0.277905228864597
KA74FX1BH6,105,crossover,0.2215609663023289,0.04906750612934707,0.22113413841945062,0.03568724003506612,0.16089463707224858,50,9,14,0.16633847621098674,197,0.6779966221347771
DK7CZHC3DC,105,inicialization,0.3225243073275431,0.015065994620456545,0.329507248644642,0.012534273403838623,0.31480631576934204,30,14,7,0.04390939805133435,158,0.10262633084855877
MAUWL00I5G,105,mutation,0.30011210114611864,0.004348563471471757,0.2999508375179364,0.014069348851957545,0.9026938310959153,36,14,2,0.060172825785907456,106,0.5798722530927126
5YUE7G0EVG,105,crossover,0.2130895472135802,0.05197448287353312,0.21844707072021985,0.03684181075485423,0.37472870341123543,45,29,10,0.1250106609415237,172,0.9133639238187912
L036XRAZMZ,105,inicialization,0.21420384754946353,0.05240442979219728,0.218467380416691,0.04399399399399399,0.018792348710375828,54,23,14,0.14742759235568262,185,0.8750267854463469
TCM9GHXWB7,105,mutation,0.31000321817030563,0.013602092309157127,0.31050493614393326,0.016202227071792287,0.5827246623245863,27,29,4,0.028027536485100514,127,0.23979380423332294
ICGPK93WZL,105,crossover,0.31759886844552854,0.012547309038109064,0.3349508222363975,0.011746218267957399,0.49629185077790866,37,20,2,0.013253297487010667,113,0.9031419536148981
A9PXQFT4U4,105,inicialization,0.3145818937886877,0.011779652948037414,0.3291669352904577,0.013293417641243727,0.976468380322597,48,9,2,0.022668015723100128,116,0.32961272671883457
TWW6653KRP,105,crossover,0.30153692027755286,0.015034752802837354,0.3034883230269131,0.0185141663402533,0.3581404300955765,32,23,14,0.02059334954331095,102,0.285195425360079
OTZM2NRKWW,105,inicialization,0.32984882349331135,0.01136011996857966,0.3223730732972656,0.02044746609964001,0.6105280070641106,25,34,2,0.034560803175576894,178,0.17321679546695545
DFJKD4HOF2,105,crossover,0.2905415220068075,0.003488669634143439,0.29007715476460305,0.013101300057821796,0.7515158421804546,36,20,3,0.05559849010147338,80,0.5975872755133216
OYY8EWPOT0,105,crossover,0.27204317407935885,0.011186058413272713,0.2796463496075542,0.019091451700147352,0.572843377151808,42,15,4,0.057027057469159925,80,0.3576894589849968
DKT60HA7J5,105,mutation,0.2864940091468763,0.007582835447858892,0.2902063758247171,0.019281704064312764,0.26737450036010857,5,13,5,0.05835025512301396,88,0.3088430752861218
5EFWCGYP17,105,inicialization,0.21852027834958643,0.04668271405108186,0.2231043245875881,0.03684554119336728,0.4969370433800254,46,10,14,0.15981486372676576,150,0.6632162591126729
58ZJJHWOM8,105,crossover,0.2805099168491141,0.006815179357787249,0.28240488798251107,0.009621733534777015,0.2783382299191734,31,28,5,0.02438488381039644,82,0.7602799373067319
Y75H1ES9GB,105,crossover,0.29013871809199954,0.003918616552807598,0.29025528118698674,0.017158151940760636,0.6168469992266696,6,34,12,0.0587823877925777,68,0.45483094023480924
Z4IG02KDFT,105,inicialization,0.25986063019480254,0.008176429982623593,0.2646607898685551,0.01889280584932759,0.02591493865882455,12,7,2,0.12986284057268396,109,0.5006391024919946
WZKD9YL9GO,105,inicialization,0.3249240887359309,0.00861679084049416,0.3140522747524288,0.018897468897468895,0.3279827223435906,8,31,14,0.012861409819388967,181,0.30300101045689376
VGVNCFI4BD,105,crossover,0.29672493747304374,0.0051162195615434,0.299908056616246,0.012718930110234457,0.579105425683059,46,12,3,0.024497931418120334,124,0.37663481860171655
WRGV734CPV,105,inicialization,0.252978722386494,0.010489812192044937,0.2623202950584832,0.018122470296383343,0.7950280868974348,14,9,12,0.045675391056191214,81,0.9620940044923386
NXQMD9VTC3,105,mutation,0.21314195380587597,0.04821802623122515,0.22779496724622128,0.043410180366702106,0.15397534950840025,49,32,16,0.1512778060950144,188,0.619666123241535
7BPY8T6NET,105,crossover,0.26252227141691276,0.009292209183309134,0.2675271217173508,0.021986271986271986,0.7440873755592141,23,17,3,0.09391658553984363,81,0.5196364660593595
O07IT2HM5N,105,inicialization,0.2147777497586828,0.044553807336173853,0.22183851500662655,0.03375207505642289,0.2289759339753651,54,27,10,0.13709964692955257,143,0.928563632171666
OPP27B97LP,105,mutation,0.28834811893423906,0.006733355549736975,0.28897531788572917,0.01638408594930334,0.4578312861591149,40,20,2,0.07310362248504705,99,0.44131877150631993
DFA12DZXLT,105,crossover,0.2124345759666807,0.04523963961819524,0.2248164085117571,0.033563687911514,0.5857803703352493,37,27,10,0.14622505654599421,123,0.8908909530888778
NBX2TJTXBS,105,mutation,0.294999314041257,0.005372104924900617,0.2914830802357019,0.014261466435379483,0.5726600410920953,14,23,3,0.04682377596777021,83,0.6002202094753255
NPZRUV2JF5,105,crossover,0.21316650914435376,0.04737896027230964,0.2239717899401784,0.03549698767090072,0.5470925675948788,34,11,10,0.12746096081476452,169,0.5675058346389528
