id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
8TJ3KT25J1,100,crossover,0.301897181813513,0.0084379491228119,0.0903497089868797,213,11,213,0.3020836747092476,0.0146049266388477,0.0545071762303107,213,0,11,30,528,6.0,5
1T4D8XD104,100,crossover,0.1944824258220748,0.0557659376919847,0.0670513209839052,382,16,382,0.1939196229094067,0.0462836060157368,0.0784449363586055,382,0,16,11,382,3.0,3
M2D0CJB3CZ,100,crossover,0.3794355145372008,0.0009031103969932,0.0858156028368795,424,20,424,0.3731223034233101,0.0091173717250578,0.0398989898989898,424,0,20,25,424,8.0,5
GB0MN6TZMT,100,mutation,0.1701983200261273,0.0761010371696471,0.0586612999403697,140,9,140,0.1808670768818853,0.0664250357933895,0.0849483584328659,140,1,9,16,273,3.0,5
RNCNRQ0YZO,100,crossover,0.5042141941220324,0.0003679853445232,0.0526315789473683,12,4,12,0.5026690640994541,0.003655820555807,0.0324528943898599,12,0,4,20,543,7.0,4
45NHDY97QD,100,crossover,0.1809720494405384,0.050285770677371,0.0979206370480303,183,17,183,0.1903388302781981,0.0476793952446799,0.0850407780386414,183,0,19,12,183,3.0,4
A7YXFN3KK6,100,crossover,0.264836710563748,0.0206964826299798,0.0516525023607177,415,15,415,0.2689980963836987,0.0256496347238708,0.0472983914498542,415,1,15,22,415,5.0,4
CMU5NGBY2G,100,mutation,0.2204393402578423,0.0474819238927081,0.033778679596641,616,16,616,0.2207501610767854,0.0417199488491048,0.0710526315789473,616,1,16,17,850,4.0,6
SLFJBVR3L2,100,crossover,0.2111223778891928,0.0335707574312885,0.088775117689081,353,19,353,0.2081911973833085,0.0448985242110158,0.0708673361041166,353,0,19,13,353,4.0,4
3QD8WCEE9Z,100,crossover,0.1808901349181986,0.0621026522743509,0.06900171573054,200,13,200,0.1896580303020451,0.055752028292074,0.0803015404785316,200,0,13,17,200,3.0,4
APUWO40ZMR,100,crossover,0.2494249426886439,0.0207232388826032,0.0685160162149273,280,20,280,0.2491888329541265,0.0273421725669672,0.0398707294552169,280,0,20,11,280,5.0,4
WWWZK4G3AK,100,crossover,0.3177032002498735,0.0080498097178709,0.0859372650446603,172,10,172,0.3195235416798521,0.0078118307859861,0.0741935483870968,172,0,10,22,397,6.0,5
B3D1C7RKG9,100,crossover,0.2194521377342425,0.0917861084316248,0.0830272984741917,8,3,8,0.234674434680812,0.1172937138242024,0.0726720582026048,8,1,3,13,465,2.0,3
EEBVIFRZW6,100,crossover,0.2644314013593277,0.0220012843001259,0.0485928705440901,431,15,431,0.2678283580546577,0.0246408423989525,0.051951754385965,431,1,15,22,431,5.0,4
ZXNCMXR5PD,100,crossover,0.1965950970868848,0.0502791684851652,0.0810593687927609,392,15,392,0.1951025106181636,0.0599110977863165,0.0580308256679806,392,0,15,9,392,3.0,2
MXRYV8C7DL,100,crossover,0.3166198541863306,0.0075278890498124,0.0884033562900363,168,10,168,0.3179140089510378,0.0072313354299489,0.077181410198488,168,0,10,25,386,6.0,5
7PMALZP16V,100,crossover,0.2647509121985804,0.0204355222959505,0.0523629489603024,405,15,405,0.2688706664335254,0.025262637819846,0.0483202551374336,405,1,15,22,405,5.0,4
8XN6DC2NFA,100,crossover,0.4654628033281128,7.366656566470779e-05,0.0661775495231107,167,10,167,0.4632242471854263,0.0001858502918537,0.0579606440071556,167,1,10,22,875,8.0,3
3JXUMMOS1Q,100,crossover,0.2473635030393058,0.0223359111998198,0.0576288281679809,567,17,567,0.2500995886999809,0.0262584282724947,0.0605014464802314,567,1,17,28,584,5.0,6
60HUDD1SGM,100,crossover,0.3977352476866074,6.0114697452803845e-05,0.0937282229965156,146,19,146,0.3960370105432466,0.0129926944774165,0.0268588273829021,146,1,23,20,146,7.0,6
5H3JV0TMIL,100,crossover,0.1732897864944694,0.0777672219921107,0.0672248984942484,111,8,111,0.1815585101988898,0.0731148814841101,0.0790547342764795,111,0,8,13,294,2.0,5
DU5F4G3X16,100,crossover,0.1932730995120654,0.0524269658548518,0.068713219840269,355,16,355,0.1933955771510568,0.0424755870727737,0.0824324421137092,355,0,16,11,355,3.0,3
8RANKLQTX8,100,crossover,0.3095636832163833,0.0002071003449819,0.1543862390748658,451,13,451,0.311032953247997,0.0138798810558132,0.0737761495168313,451,0,13,10,1063,6.0,5
LP2LY6HDMP,100,crossover,0.3153058743003486,0.0077888493838417,0.094813341493268,249,16,249,0.3207920217500225,0.023774305852984,0.0233412281605052,249,1,16,25,249,6.0,6
27J9R49CM6,100,crossover,0.3380508682971403,0.000481612547223,0.1143016759776536,172,10,172,0.3443927803133945,0.0130209926700033,0.0054195456853352,172,1,10,29,380,6.0,6
4MUDR9WF0C,100,crossover,0.4711569636201571,0.0014385829332636,0.0674985819625637,113,9,113,0.4723457800278637,0.001852384390411,0.0131412180641717,113,1,9,32,420,8.0,6
9XCRP78864,100,crossover,0.2647669986293951,0.0248920020348651,0.0430169853592455,775,19,775,0.2623312388474774,0.0406186137862675,0.0325401883719282,775,1,19,19,818,5.0,6
IA3E4UMNZS,100,crossover,0.2384785133804385,0.0211916470454147,0.0645518980736618,191,14,191,0.2325632147595207,0.0167770041238879,0.0813748940578209,191,1,14,18,191,5.0,6
3N03WXTT0F,100,crossover,0.3020561486419856,0.0089598697908703,0.0853013575101752,379,18,379,0.3092178272430026,0.027886721570259,0.0088229527481864,379,1,18,16,379,6.0,4
3V11HM8G2P,100,crossover,0.208981961817623,0.0347483800305229,0.0679513184584178,334,19,334,0.2101972995636952,0.0476205044114587,0.0500572129361459,334,0,19,11,334,4.0,3
I26KF340KP,100,crossover,0.1729802151623291,0.0777672219921107,0.0674260225417181,108,8,108,0.1808383679655912,0.0731148814841101,0.0795323726727799,108,0,8,14,409,2.0,3
