id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
YE4FSSG8DW,100,mutation,0.3278524239592275,0.0202020202020201,0.153030303030303,29,8,29,0.3726409694487075,0.0002895193977996,0.1722560975609756,29,1,10,16,29,4.0,5
N1DA2F0YJ5,100,crossover,0.3289698770612589,0.0227272727272727,0.1842105263157895,10,4,10,0.3624393406872961,0.0579038795599305,0.1220043572984749,10,1,7,31,10,4.0,5
KPJYSSUZ92,100,crossover,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,7,19,11,4.0,3
VVPMU24QVY,100,crossover,0.4609669788652358,0.0883838383838383,0.0151515151515151,7,4,7,0.4604332585572364,0.061667631731326,0.0652173913043478,7,0,10,33,7,5.0,5
0XUFY6EIQA,100,crossover,0.3278524239592275,0.0202020202020201,0.153030303030303,29,8,29,0.3726409694487075,0.0002895193977996,0.1722560975609756,29,1,10,16,29,4.0,4
XG5SVSAFB5,100,mutation,0.3687321789337777,0.2853535353535353,0.0182072829131652,3,2,3,0.3652842273532339,0.094962362478286,0.1923264907135874,3,0,6,25,3,2.0,2
GSRNS57P2S,100,crossover,0.3280385370947463,0.0239898989898989,0.1752701080432173,10,5,10,0.3470742290902875,0.0961204400694846,0.0894117647058823,10,0,7,16,10,5.0,5
ZTC8K5NPUV,100,crossover,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,11,18,11,4.0,3
6B8891FA0H,100,mutation,0.3687321789337777,0.2853535353535353,0.0182072829131652,3,2,3,0.3652842273532339,0.094962362478286,0.1923264907135874,3,0,6,18,3,2.0,2
IVKOU7T65O,100,crossover,0.3289698770612589,0.0227272727272727,0.1842105263157895,10,4,10,0.3624393406872961,0.0579038795599305,0.1220043572984749,10,1,8,31,10,4.0,3
7MBUJ6RGQX,100,crossover,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,11,20,11,4.0,3
46CFUNDL7D,100,crossover,0.3687321789337777,0.2853535353535353,0.0182072829131652,3,2,3,0.3652842273532339,0.094962362478286,0.1923264907135874,3,0,6,22,3,2.0,2
077LE0T9EK,100,crossover,0.3289698770612589,0.0227272727272727,0.1842105263157895,10,4,10,0.3624393406872961,0.0579038795599305,0.1220043572984749,10,1,8,33,10,4.0,3
F8IUGOWR3L,100,crossover,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,10,19,11,4.0,3
LAWZJBOOLZ,100,crossover,0.3278524239592275,0.0202020202020201,0.153030303030303,29,8,29,0.3726409694487075,0.0002895193977996,0.1722560975609756,29,1,10,14,29,4.0,5
BHN5W3ARXR,100,crossover,0.3687321789337777,0.2853535353535353,0.0182072829131652,3,2,3,0.3652842273532339,0.094962362478286,0.1923264907135874,3,0,6,21,3,2.0,2
YNARFUAVHX,100,crossover,0.3280385370947463,0.0239898989898989,0.1752701080432173,10,5,10,0.3470742290902875,0.0961204400694846,0.0894117647058823,10,0,5,24,10,5.0,3
9OSEUPGXZS,100,mutation,0.3278524239592275,0.0202020202020201,0.153030303030303,29,8,29,0.3726409694487075,0.0002895193977996,0.1722560975609756,29,1,9,15,29,4.0,4
WRLX1TLLZ3,100,mutation,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,8,18,11,4.0,3
BOIZH9T3ZQ,100,crossover,0.3289698770612589,0.0227272727272727,0.1842105263157895,10,4,10,0.3624393406872961,0.0579038795599305,0.1220043572984749,10,1,8,30,10,4.0,4
1ZRM784GJV,100,mutation,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,10,20,11,4.0,5
LEUJIW7JL7,100,mutation,0.3280385370947463,0.0239898989898989,0.1752701080432173,10,5,10,0.3470742290902875,0.0961204400694846,0.0894117647058823,10,0,10,26,10,5.0,5
CZ4BRZT2KZ,100,crossover,0.3687321789337777,0.2853535353535353,0.0182072829131652,3,2,3,0.3652842273532339,0.094962362478286,0.1923264907135874,3,0,6,19,3,2.0,2
752O18C33Y,100,crossover,0.4191938060791615,0.0593434343434343,0.0973837209302325,11,5,11,0.4388449801256699,0.0020266357845975,0.2040229885057471,11,1,10,18,11,4.0,3
O58QPNL3VP,100,crossover,0.3280385370947463,0.0239898989898989,0.1752701080432173,10,4,10,0.3470742290902875,0.0961204400694846,0.0894117647058823,10,1,9,31,10,5.0,4
IEJ9DPI0FO,101,crossover,0.3018595913574631,0.174145299145299,0.0689189189189189,8,4,8,0.3206703212780801,0.2510989010989011,0.01,8,0,7,17,8,3.0,3
4O62CO33N6,101,mutation,0.3018595913574631,0.174145299145299,0.0689189189189189,8,4,8,0.3206703212780801,0.2510989010989011,0.01,8,0,11,10,8,3.0,6
ZO3SESG7YD,101,crossover,0.3674013299013401,0.1185897435897436,0.0,52,9,52,0.3841242609181029,0.1489010989010989,0.0,52,0,9,8,52,4.0,4
2ECC3S34OV,101,crossover,0.3018595913574631,0.174145299145299,0.0689189189189189,8,4,8,0.3206703212780801,0.2510989010989011,0.01,8,0,7,12,8,3.0,5
RFBFG3306X,101,crossover,0.3018595913574631,0.174145299145299,0.0689189189189189,8,4,8,0.3206703212780801,0.2510989010989011,0.01,8,0,7,13,8,3.0,4
