id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
MR60FB35FF,102,mutation,0.3001816857203006,0.0002997002997003062,0.18706395930954378,1043,19,1043,0.2957070150162764,0.017913179008617525,0.0789350552124275,1043,1,19,12,1049,7,6
R5NLGG5AR8,102,crossover,0.5199835281977111,1,0.015822784810126556,8,5,8,0.48438851689667095,0.0026614001964017347,0.05499625875790759,8,0,11,18,8,8,6
3D87ARIOTI,102,crossover,0.3157547085959246,0.00011100011100010493,0.2006554720871998,641,20,641,0.3095231558264476,0.009539824507850216,0.08750708976387356,641,1,20,23,641,7,7
3I8KK0NHEO,102,mutation,0.32188140795765463,0.00010730010730011091,0.16270410603265695,765,18,765,0.3150357770619391,0.00819444684111948,0.07553854875283439,765,1,18,20,765,7,6
WPIAC68WGJ,102,crossover,0.29822191153213273,0.002138602138602147,0.17935444042684545,970,19,970,0.2975166690430784,0.021343366443151095,0.06384047267355986,970,1,19,13,970,7,6
70IF1R4DQU,102,mutation,0.4989572253986503,1,0.03409090909090906,22,8,22,0.46356563179291743,0.0011238257201380405,0.03989139515455309,22,0,13,17,22,8,5
P99VWKCR9C,102,mutation,0.3614530081497688,7.400007400007458e-05,0.12740183792815374,310,16,310,0.3532125679180249,0.0025535002331551586,0.09436963524680375,310,0,16,17,310,8,4
O7NHJB0WU1,102,mutation,0.4794613146384491,1.8500018500018645e-05,0.05801260058636393,91,13,91,0.44981010591272075,0.00611241391060607,0.10508040935672514,91,0,13,20,91,9,4
YKETUO0PJH,102,mutation,0.4001738483612498,4.070004070003998e-05,0.08223039215686279,215,12,215,0.3890607529456497,0.002707813048239416,0.04662520941590709,215,1,12,20,215,8,5
FNJXQDZ8GQ,102,crossover,0.5342149640641489,1,0.010135135135135087,24,5,24,0.4971139852219917,0.0023981956904675335,0.0503952188162714,24,1,5,21,276,7,4
GK4I6R47MF,102,mutation,0.3157577059973181,0.00011470011470011282,0.1668246778327891,663,18,663,0.31596984338833656,0.008023076311257274,0.08089130585644988,663,1,18,30,697,7,5
I1GOOI97ZW,102,crossover,0.21172323987680897,0.07143597143597145,0.07621638968168343,664,17,664,0.21130224609572812,0.07742417399503779,0.03126776163341449,664,0,17,18,664,3,6
C1Y0LBF7EF,102,crossover,0.36916653286236256,0.002249602249602252,0.08907581545694976,430,14,430,0.3594212230119176,0.0006134826954442216,0.11645679036599021,430,0,14,19,430,8,5
7F70NMNRW4,102,crossover,0.32188140795765463,0.00010730010730011091,0.16270410603265695,765,18,765,0.3150357770619391,0.00819444684111948,0.07553854875283439,765,1,18,20,765,7,5
7VXIVSVE1K,102,crossover,0.27174946966948255,0.08907758907758906,0.11854903885008372,8,3,8,0.281568756964902,0.09869673108730836,0.09492715122559259,8,0,3,19,82,1,4
7SRQ0DSIL4,102,mutation,0.3568993897480973,7.030007030007016e-05,0.13357127406446034,262,18,262,0.34850481697123403,0.005649475465353302,0.08083222115314981,262,0,18,19,262,8,5
L1Q2C87PAV,102,crossover,0.18908900221899405,0.06056536056536056,0.08505312868949233,301,13,301,0.19210874363426367,0.06152202022053245,0.06557916742111236,301,1,13,21,301,3,6
NEWFK2MM75,102,crossover,0.49086176212973487,0.0002738002738002735,0.05989817310572032,55,10,55,0.45517110815892925,0.002682226476072488,0.06558242686661742,55,0,10,18,55,8,5
HM9196B351,102,crossover,0.5157142760138977,1,0.012499999999999956,14,6,14,0.48266542974037707,0.0001420153928024773,0.014383785550833639,14,0,14,16,14,9,4
1YZK5MTVW9,102,mutation,0.39440474833785133,0.0003034003034003037,0.0845515944259212,98,13,98,0.383187475449019,0.004103372131700634,0.05958230958230959,98,0,13,28,98,8,5
KB611IO399,102,mutation,0.19217181037336228,0.10656010656010656,0.06849037487335363,668,17,668,0.2019612083985064,0.1095135040572568,0.0308445445704707,668,0,17,14,829,2,5
EXT753MBZ6,102,crossover,0.17299243989670698,0.07204647204647205,0.10738470168690151,81,13,81,0.18403624838336663,0.07679462531241898,0.063479742643055,81,1,19,15,81,2,4
FPAZFB07PE,102,crossover,0.5126495099536668,7.4000074000075446e-06,0.03439564710454723,58,11,58,0.48443041098433737,0.001245014833269763,0.036868775117945174,58,1,11,18,58,9,5
EDVMU8P00M,102,mutation,0.31482999483825913,0.00012580012580012262,0.16978673282710577,536,19,536,0.31345251873267244,0.009055068055323322,0.08509061857729161,536,1,19,22,536,7,6
S81Q5F2B4N,102,mutation,0.3945375688793461,0.0033300033300033283,0.05759099256404854,206,13,206,0.38444751425913803,0.004295568941233594,0.04384668180138329,206,1,13,15,206,8,5
PNGKJGLUGD,102,mutation,0.4989572253986503,1,0.03409090909090906,22,8,22,0.46356563179291743,0.0011238257201380405,0.03989139515455309,22,0,11,17,22,8,5
FABESWZT5W,102,crossover,0.37380619248875213,6.290006290006478e-05,0.10278067116525524,336,15,336,0.36612719456563947,0.0037483336496944367,0.07237832704023728,336,1,15,22,336,8,6
DR6RDJZ8J0,102,crossover,0.20634467380186794,0.08362748362748362,0.06714293687559303,531,21,531,0.21244514502315281,0.09324679121575291,0.007845519864750683,531,0,21,20,531,3,3
1GQ608CKPO,102,crossover,0.3076318109695766,0.0006845006845006829,0.17161172161172156,754,19,754,0.3060724730670241,0.010216777769910076,0.08344159581640875,754,1,19,22,754,7,7
C9ARA1LTK8,102,crossover,0.19501888685812396,0.09131979131979132,0.10346861999526857,26,5,26,0.2067903227653909,0.09789561352930665,0.0745677293279482,26,0,5,30,325,2,8
SS5YYN3UMR,102,mutation,0.38502958626681316,4.810004810004709e-05,0.12619414483821256,125,15,125,0.37284818990114954,0.007178521084228021,0.045887797779030626,125,0,15,15,125,8,4
8A3S1LW3K8,102,crossover,0.48075780154665937,1.8500018500018645e-05,0.057683867327105176,90,13,90,0.4497202276316201,0.006496807529671993,0.1083348615441041,90,0,13,20,90,9,5
ZM6QILEUSO,102,mutation,0.1815991416546423,0.09741369741369743,0.09137763178429958,393,14,393,0.19965002584627756,0.10855728030208814,0.04562218540016877,393,1,14,26,488,2,6
CZ8EIUOLX3,102,crossover,0.32079843021285825,0.000888000888000888,0.16896120150187732,426,19,426,0.3243980143086844,0.004341981793071277,0.0956989247311828,426,1,19,22,426,7,6
UHCIS5WZJ6,102,crossover,0.5126495099536668,7.4000074000075446e-06,0.03439564710454723,58,11,58,0.48443041098433737,0.001245014833269763,0.036868775117945174,58,1,11,18,58,9,5
US6OPFQ803,102,crossover,0.5157142760138977,1,0.012499999999999956,14,6,14,0.48266542974037707,0.0001420153928024773,0.014383785550833639,14,0,14,16,14,9,4
N553CASWI0,102,crossover,0.247317353050573,0.08346468346468344,0.11982241450423164,16,4,16,0.2606987081916362,0.10939628185453854,0.08420617475046477,16,1,4,21,84,1,5
8ZRVTRAAI2,102,mutation,0.3939199224039117,0.0030710030710030707,0.053417492183162385,246,13,246,0.3844434370623061,0.0052063715721679185,0.03248625999891164,246,1,13,27,246,8,6
ITNMIBE8K9,102,mutation,0.20644214053079402,0.09164169164169166,0.05734673327911388,616,16,616,0.21074666492132044,0.0958457125731424,0.008431220881077839,616,0,16,18,616,3,5
A5ARLXBUQA,102,crossover,0.18300436245332496,0.060287860287860304,0.08578210894552718,275,13,275,0.18718497910258103,0.06251235940525698,0.06324283962542043,275,1,13,22,275,3,7
5PC16HCLKM,102,mutation,0.3041085287179791,0.0013912013912013924,0.16997503376580858,820,19,820,0.3038107918051627,0.01297854079977278,0.0703219142709588,820,1,19,19,820,7,6
KP7H7AU6QM,102,mutation,0.5048576201479487,1,0.02352941176470591,13,6,13,0.47007681463380246,0.0017004161487369257,0.04576144036009011,13,0,13,15,13,8,3
502YRXCFUF,102,mutation,0.32340605352545304,0.00037370037370037384,0.15741440377804017,663,18,663,0.3163802378317693,0.008215273120790241,0.08002700162135912,663,1,18,25,663,7,8
C0N57HYDBP,102,crossover,0.3981744792039854,0.0013357013357013347,0.07893819702602234,86,12,86,0.38519824559839244,0.003163214363706578,0.048531289910600295,86,0,12,17,86,8,4
KIG0ON1FD7,102,crossover,0.4788142805970521,1.8500018500018645e-05,0.058175709308113444,92,13,92,0.44981010591272075,0.00611241391060607,0.10508040935672514,92,0,13,20,92,9,5
BO4066QFYH,102,crossover,0.18066500770205718,0.06360306360306361,0.1118543292456336,79,12,79,0.182674052049834,0.06082900097129801,0.07583507834500691,79,0,12,20,79,3,3
CQWAJ6AFX5,102,crossover,0.5126495099536668,7.4000074000075446e-06,0.03439564710454723,58,11,58,0.48443041098433737,0.001245014833269763,0.036868775117945174,58,1,11,18,58,9,5
