id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
KSJX070UQM,106,mutation,0.683772233983162,1,0.0,4,3,4,0.7998004680828334,1,0.5,4,0,14,14,4,6,5
YLZMWCBDV2,106,mutation,0.20123793697163272,0.09078771695594126,0.20322580645161292,46,12,46,0.33140379561286426,0.13641025641025642,0.26262626262626265,46,1,12,25,46,4,4
BM1AF3MVUU,106,inicialization,0.31753739418680726,0.001335113484646211,0.1518847006651885,52,10,52,0.37730770018756443,0.2220512820512821,0.009448223733938,52,1,10,8,60,2,4
9OUZZGG8RB,106,mutation,0.2231373190839967,0.06275033377837116,0.1293103448275862,58,14,58,0.40196369663086495,0.05589743589743587,0.0850574712643678,58,0,14,15,58,5,5
0E589UVVXI,106,mutation,0.33954718816052676,0.00044503782821542215,0.16954022988505751,39,12,39,0.3776777263467004,0.10512820512820509,0.02414330218068539,39,1,12,31,39,3,4
UEH5TVFVAN,106,crossover,0.4803346429351546,0.0008900756564307957,0.12745098039215685,17,10,17,0.5457003121416366,0.008205128205128205,0.16842105263157903,17,1,11,22,17,6,6
7KP41EWCBB,106,mutation,0.683772233983162,1,0.0,4,3,4,0.7998004680828334,1,0.5,4,0,12,13,4,6,4
YYSOWPB6B7,106,crossover,0.22221602185011124,0.024477080551846914,0.0756410256410256,66,14,66,0.40854778315089146,0.12615384615384614,0.029910269192422734,66,0,14,15,66,5,5
SCHTBHQMNM,106,crossover,0.5616080520812454,0.010235870048954161,0.05769230769230771,8,6,8,0.6053957289732779,1,0.4666666666666667,8,0,14,24,8,6,5
TM52JPE1UA,106,crossover,0.20819628379250454,0.08233199821984868,0.20464441219158203,38,13,38,0.33653383926733205,0.10307692307692307,0.2354048964218456,38,1,14,28,38,4,5
F8EQBH6HDW,106,mutation,0.233854343700451,0.061415220293724954,0.08045977011494254,36,13,36,0.3373444274267303,0.07435897435897437,0.07026143790849676,36,1,13,24,36,4,4
MBCFUG2PTX,106,crossover,0.336694671864206,0.006675567423230971,0.05691056910569103,43,12,43,0.3945629231257355,0.056410256410256404,0.14906832298136652,43,1,12,15,43,7,5
EH0TB5WQYY,106,crossover,0.23777327301298767,0.004895416110369394,0.05555555555555558,65,13,65,0.39991298747229775,0.12615384615384614,0.02058823529411763,65,0,13,15,65,5,5
WSFQNEZ9O5,106,crossover,0.39253772407937404,0.006675567423230971,0.007518796992481258,45,12,45,0.4005530804678288,0.04307692307692307,0.07575757575757569,45,1,12,13,45,7,5
E0Y678YSVL,106,mutation,0.2873903593130387,0.1023587004895416,0.10964912280701761,10,6,10,0.30931745114533027,0.14,0.07521954944635356,10,0,12,13,10,3,4
6GHQAQYYLP,106,crossover,0.3468824761193434,0.06809078771695594,0.024137931034482807,30,12,30,0.4383794070569612,0.06051282051282052,0.0117647058823529,30,1,12,20,30,6,5
6JRXRXNBF9,106,crossover,0.2231373190839967,0.06275033377837116,0.1293103448275862,58,14,58,0.40196369663086495,0.05589743589743587,0.0850574712643678,58,0,14,15,58,5,5
BX29MJA9UT,106,crossover,0.22809758820603931,0.0534045393858478,0.1510489510489511,50,14,50,0.4268765264181583,0.1076923076923077,0.06603773584905659,50,0,14,16,50,5,5
B5UOB8Y2J0,106,crossover,0.44098300562505255,0.03916332888295505,0.0,31,13,31,0.49846672439844375,0.08820512820512821,0.45075757575757575,31,0,13,13,31,9,6
R0CBVPSJ1F,106,mutation,0.3897575618384662,0.001335113484646211,0.13,17,6,17,0.40337764795623776,0.14564102564102566,0.050124069478908184,17,0,11,9,17,2,4
ACC1M21MWK,106,mutation,0.23453445538025686,0.03382287494437028,0.060109289617486295,63,12,63,0.4108239835343105,0.10102564102564104,0.010526315789473717,63,0,12,15,63,5,5
J6QGYW65AA,106,crossover,0.34618507333241977,0.00044503782821542215,0.15142428785607193,41,12,41,0.38369064295013044,0.15025641025641018,0.009523809523809545,41,1,12,30,41,2,3
XHJQXV5NPJ,106,mutation,0.20992484534697586,0.07209612817089453,0.17554479418886193,44,12,44,0.334973352217791,0.12307692307692308,0.25396825396825395,44,1,12,25,44,4,4
M7TIAO481J,106,crossover,0.299182025534923,0.13974187805963506,0.059740259740259705,14,8,14,0.3136107364401588,0.10974358974358972,0.0881782945736434,14,0,10,13,14,3,4
FO96UX5HZH,106,mutation,0.683772233983162,1,0.0,4,3,4,0.7998004680828334,1,0.5,4,0,13,10,4,6,5
7VW9NOA6ZJ,106,mutation,0.2592585358799828,0.17712505562972852,0.06094527363184088,4,3,4,0.3136107364401588,0.2,0.08449477351916374,4,0,12,15,4,4,5
E2VDEI161C,106,crossover,0.2697924096532548,0.1838006230529595,0.025252525252525193,16,7,16,0.33728649539247413,0.18615384615384614,0.002830188679245338,16,0,7,24,16,5,5
ELKQKMGKW9,106,crossover,0.2417124555948449,0.06230529595015577,0.10312500000000002,15,8,15,0.30726390856019903,0.1564102564102564,0.06114718614718612,15,0,8,17,15,4,4
XL6BU74S61,106,mutation,0.23122459391575223,0.09123275478415666,0.06832298136645965,41,10,41,0.32568626204190587,0.07282051282051283,0.08246753246753252,41,1,10,24,41,4,4
Q4D2YJQ65M,106,crossover,0.413143082458197,0.007565643079661774,0.033333333333333326,37,12,37,0.47850267550114944,0.009743589743589742,0.006249999999999978,37,1,12,13,37,7,5
