id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
ZIDF61E3H7,109,crossover,0.3840679093567174,0.08137355661689133,0.04072132579790855,716,16,716,0.3954890851384546,0.12471395881006864,0.033538004566311286,716,0,16,4,716,5,4
W4848DZ25P,109,crossover,0.6925646379121656,0.013466537694214378,0.4125,24,5,24,0.718616252114506,0.01709096109839817,0.08102564102564103,24,0,5,24,83,9,4
ZNBPHKF96F,109,mutation,0.3950836797995505,0.12632247143461703,0.004623044096728313,488,12,488,0.3935302190931167,0.10411899313501141,0.06255542417972215,488,0,12,4,488,5,4
IUNBYYREWB,109,crossover,0.37946941307819637,0.011184329847046759,0.13002974353218472,723,17,723,0.4203171874018793,0.11920766590389015,0.032871857715364494,723,1,17,4,723,6,5
9SP0SNWDX7,109,mutation,0.391783846281884,0.15207665800133002,0.002411993429397241,280,11,280,0.39425907208526034,0.1300057208237986,0.03636526892340841,280,0,11,12,280,5,3
HI0Y7I6VNT,109,crossover,0.4028640883440061,0.027703887310319808,0.07416720744105554,695,17,695,0.40610901510438246,0.04233409610983979,0.09639639639639641,695,0,17,6,695,5,5
A2XL8QQZ4O,109,crossover,0.3831160354547555,0.1128257058218971,0.025058170753535003,395,12,395,0.3876093781749953,0.09317791762013733,0.08116817166177304,395,0,12,4,395,5,4
FLGQNBD2DY,109,crossover,0.3943593909492883,0.046294057191221816,0.06828478964401286,711,17,711,0.4083520728174168,0.07680205949656749,0.07214844460614878,711,0,17,5,711,5,4
QR749JIVOZ,109,crossover,0.37858158799086894,0.06125687685146003,0.07117249485747867,388,13,388,0.38328830598529307,0.09046052631578949,0.07683833407971341,388,0,13,9,388,5,4
CVDLD68MC1,109,inicialization,1.0,0.0,0.10247376088960247,8,3,8,1.0,0.0,0.062144263082416995,8,1,3,37,211,1,5
4J06JBA67Y,109,crossover,0.660268006751829,0.00034762106281361477,0.26249999999999996,66,8,66,0.6514520044028165,0.017734553775743706,0.07611281005776416,66,0,8,29,109,9,4
ZEPLG1MKG1,109,crossover,0.371075114110335,0.1469832537331479,0.03286746987951816,174,12,174,0.36830328003033574,0.10826659038901601,0.06976047035615174,174,0,12,13,174,5,5
L40YD3DJ1H,109,crossover,0.5919696105074241,0.10085545009370656,0.0868315331928346,16,4,16,0.5974904493232511,0.08302345537757438,0.058060077554010825,16,0,4,28,143,2,5
QW9OZM5K1C,109,mutation,0.3888803120163157,0.08914213167281299,0.04528140854419882,341,12,341,0.3852336594761884,0.1066933638443936,0.06067823189258059,341,0,12,7,341,5,4
HFEUJQ7SNH,109,crossover,0.539512413854792,0.0001964814702859613,0.16119585112873702,259,13,259,0.5472830014640013,0.05155892448512586,0.03644742354419772,259,1,13,19,259,9,5
YDOFY9Z2OM,109,mutation,0.6792555035362308,0.01323982830542289,0.12222222222222223,59,8,59,0.6891969133934234,0.01766304347826087,0.0010822510822511289,59,1,8,22,59,9,5
P9WZ00M9L5,109,mutation,0.36917515938138623,0.09550510851822747,0.07105483836677806,160,18,160,0.3816351648937716,0.10512013729977121,0.06122280135682967,160,1,18,22,160,5,6
