id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
6ZGB5MR7TY,108,mutation,0.5540777094575504,0.0003217207463921401,0.18636363636363634,167,14,167,0.5833859067130653,0.009555299399381184,0.2142857142857143,167,0,14,21,169,6,5
SIMSMAGN02,108,mutation,0.6100379854521754,7.660017771238953e-06,0.31290322580645163,88,14,88,0.6775298832591632,0.006716877128816703,0.21353065539112048,88,0,18,15,88,7,7
3ESRINHBOD,108,crossover,0.5606342529783409,0.011191285963783444,0.14021164021164023,135,15,135,0.5898803684608382,0.012480391052252973,0.1426146010186757,135,1,15,28,135,6,7
4K81HWO72M,108,mutation,0.5329813586318066,0.021762110488096335,0.10117302052785926,173,20,173,0.5627554008775817,0.016215841429698133,0.1385281385281385,173,1,20,28,182,6,6
YCPVOR1WVW,108,mutation,0.6008701906381979,0.021156969084168267,0.046153846153846156,174,18,174,0.6390064272111144,0.010352657716608454,0.11128526645768025,174,1,18,24,174,6,6
HOJ9YBUN7L,108,mutation,0.48188511850792837,0.018751723503998535,0.1859582542694497,160,15,160,0.526016131227496,0.004875152754786324,0.2023070097604259,160,0,15,23,160,5,6
S1BZA6WUMD,108,crossover,0.37443602697184875,0.018759383521769785,0.34444444444444444,122,13,122,0.4605551597058435,0.010491328728300137,0.06228257210189653,122,1,13,26,122,3,5
3PJZBFHUEK,108,mutation,0.43583046237529977,0.035657382725127924,0.22227650219833905,118,13,118,0.5449319676156443,4.333469115366806e-06,0.0986809965803615,118,1,13,31,208,5,7
3ONWE3TER1,108,crossover,0.37871920163892014,0.0765082574991574,0.12956273048844735,146,14,146,0.3849255247917106,0.010244320988724298,0.055377302436125986,146,0,14,23,146,1,5
7Q3HPMD4P2,108,crossover,0.3711750284742483,0.03600208352483378,0.219493006993007,150,13,150,0.4251586026533225,0.025524133089503465,0.10714622864155574,150,1,13,25,195,2,5
TPJNV9MYZ1,108,crossover,0.5115166051510556,0.006059074057051812,0.2230014025245442,113,13,113,0.5783254419941078,0.0047321482739792475,0.11712379540400297,113,0,13,30,113,6,5
FLXAW1YQHU,108,crossover,0.4765396502874196,0.0006281214572417815,0.34615384615384615,80,16,80,0.5364852859477732,0.0036921156862914917,0.17168674698795183,80,0,16,21,80,5,6
9AX5MWWZ2Y,108,crossover,0.5833889667759562,0.029912369396697003,0.023504273504273532,152,18,152,0.5824851184326886,0.018438911085880687,0.13263263263263264,152,1,18,29,152,6,5
