id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
S5FK2CB7GU,101,crossover,0.5900390202428286,1,0.02183406113537123,7,3,7,0.5791114914503994,1,0.0031948881789137795,7,0,3,12,244,7,5
OGDH1OB0OE,101,crossover,0.28356565922415966,0.00019448891695041104,0.1568475826849033,663,17,663,0.2804215197377714,0.01520933136814602,0.11279851611407377,663,0,17,25,663,6,5
AG60IOND0G,101,crossover,0.3620647105064684,2.4663449613299138e-06,0.13925818541828727,493,17,493,0.34611089360591185,0.00464052696802171,0.1282571912013537,493,1,17,17,493,7,6
U26RM7ZDAG,101,crossover,0.385310866255821,0.00044817011297269144,0.10581306990881456,610,15,610,0.38409623187945885,0.005520461582111152,0.11623087150342815,610,0,15,10,639,8,6
L2Y8QQSWR3,101,crossover,0.26330803056133567,2.3254109635384435e-05,0.1754578754578754,607,16,607,0.260218571539789,0.026317941810375223,0.11262427866230973,607,0,16,27,701,5,4
LP0NAEVM5Z,101,crossover,0.23612951512421776,0.06053256139084945,0.050914614617362575,902,22,902,0.2278245795042626,0.06931120861839547,0.04812812585986426,902,1,22,14,902,4,8
KSTBBWKE4V,101,crossover,0.5388017990904412,1,0.02405498281786944,13,4,13,0.529507989851079,0.0005928277432102609,0.02267573696145131,13,0,4,13,206,8,6
O2XT8OP7HK,101,crossover,0.34218826430535854,0.0004763569125307218,0.14990215264187867,213,21,213,0.33628853878406517,0.013501355719772408,0.06316674429965585,213,0,22,22,213,7,6
94UIGH6HDY,101,crossover,0.43296268384668024,0.0005302641666854579,0.09262781497261108,173,11,173,0.42002946232232297,0.0027114395448256164,0.06475315729047071,173,1,11,13,173,8,5
65IFEYBKZV,101,crossover,0.3851882595374799,0.00015361805759126976,0.12816045953199295,350,14,350,0.38221086831533835,0.01090329236560832,0.04112554112554112,350,0,14,14,350,8,5
D1TKLUHSD9,101,crossover,0.29820375045660763,1.5502739756916017e-05,0.14738345669393582,437,20,437,0.29198469193543974,0.010766789688294448,0.12564046259698436,437,1,20,22,437,6,7
IBMWSSTUNU,101,crossover,0.37345992850584064,0.00015890308250839785,0.12208029197080283,570,17,570,0.36988057464585244,0.007412321002403459,0.10375683060109286,570,1,17,12,570,8,7
X4N24BDJ0I,101,mutation,0.4876689995731496,0.00012296491307191033,0.04385026737967912,183,10,183,0.47021851570399065,0.00048227185579902306,0.04849251528568421,183,1,10,12,269,9,6
DWQV184WNY,101,mutation,0.531718112036539,0.000445703768011365,0.030804736102749253,23,5,23,0.5224816476316563,0.0011856554864205218,0.04277936219860001,23,1,5,13,185,8,6
11SVDWUKAN,101,crossover,0.3981348029717129,0.00010252948339233708,0.11357830145882575,456,15,456,0.391694465698466,0.0009876701982503983,0.1622376543209877,456,0,15,21,456,8,6
SCDV4OQMQR,101,crossover,0.29616830440543374,0.00456696619838997,0.1323872645086318,604,17,604,0.2853172561914725,0.009902648772406604,0.12762780697563303,604,1,17,24,604,6,6
PDNVNEHOJL,101,mutation,0.48041934923579266,0.00037911245405551717,0.05061605061605057,124,9,124,0.4704507184650246,0.0006717962342182877,0.055019305019304965,124,1,9,16,161,9,6
8M1CD9Y3CZ,101,crossover,0.25542071389541865,6.13062890387206e-05,0.1677752072488915,274,16,274,0.25902820174885044,0.027708915373416618,0.07941524283325863,274,0,16,20,274,5,5
A6YUGEEMKR,101,crossover,0.18263739435106074,0.06101913601821993,0.07379145378285579,181,10,181,0.17798711749515883,0.07001007976381651,0.08356103575832308,181,1,10,23,420,3,5
W1YZUD7ZTK,101,mutation,0.22718661357615832,0.09068327620808622,0.09367253750815391,8,3,8,0.22883122403727707,0.09950142679141433,0.11317322105752381,8,1,3,20,948,3,6
91F558HRO9,101,mutation,0.4324357562384221,0.0002741166257018528,0.09108130635750544,189,11,189,0.42274301363857625,0.0017339224382762527,0.07935222672064779,189,1,11,18,189,8,6
0PMLMQFNH5,101,mutation,0.3402823490785212,0.0007377894784314568,0.15382364773433788,219,21,219,0.3331572052734184,0.014463079128120171,0.05781769793745839,219,0,22,21,219,7,6
RXF1PHD0TR,101,crossover,0.38524211292707355,0.00019202257198908806,0.10702054794520544,602,15,602,0.3840451046832457,0.0053281169004416006,0.1171619099818606,602,0,15,10,602,8,6
CWRL3GF267,101,crossover,0.285301447665273,0.00015643673754707488,0.1540911900347074,556,17,556,0.2800480037612749,0.014055263278128713,0.11597578015836052,556,0,17,21,556,6,4
NDC60JMH8Z,101,inicialization,0.5900833331629989,9.477811351387929e-05,0.018165938864628806,4,3,4,0.5791453208527406,1,0.006369426751592355,4,0,21,17,4,7,4
L8XNQ7MN38,101,crossover,0.4895929949482887,0.001252550905360002,0.024780812984566247,175,10,175,0.4776431223902542,0.0004952452507503416,0.06787313706776299,175,1,10,15,212,9,6
KN7P7U0DS3,101,crossover,0.18270174078958046,0.06607021049901912,0.09145466405740382,74,12,74,0.18037687359356191,0.08246059049253215,0.084819556099266,74,0,21,5,74,2,7
YMOSNTBTTZ,101,crossover,0.2977242176028798,7.927537375695959e-05,0.14937915742793795,395,19,395,0.2877010779286867,0.009467758011212399,0.1232023070653877,395,1,19,23,395,6,7
XCDG3BUJU4,101,mutation,0.43336624806820834,0.0003329565697792417,0.07689062739683994,194,12,194,0.42229777100673427,0.0029037842264951694,0.07752111276701446,194,1,12,16,194,8,5
3MJC0XHUQH,101,mutation,0.3620647105064684,2.4663449613299138e-06,0.13925818541828727,493,17,493,0.34611089360591185,0.00464052696802171,0.1282571912013537,493,1,17,17,493,7,7
YNKSN3DMC0,101,mutation,0.2527786097519179,0.00015608440255258926,0.16739045890588533,210,14,210,0.2616045063676522,0.02793284745148937,0.07251710309035153,210,0,14,19,210,5,4
4YNMIFJWRJ,101,mutation,0.5001748743496708,0.00089140753602273,0.057403882755995395,13,4,13,0.4946516862675302,0.004777029645335585,0.027720504009163816,13,0,4,12,194,7,6
5FX7FWO07P,101,crossover,0.3861712309515697,0.0029430542088529077,0.0929086157744694,567,15,567,0.38133612992470634,0.011385564221407338,0.06136394511615262,567,0,15,11,567,8,6
I0MDJJZSVH,101,mutation,0.18360617398584966,0.060089323967799396,0.07010969582066151,171,10,171,0.18026294689828437,0.0673172542204428,0.08484123025768908,171,1,10,28,1159,3,5
VM85808PKY,101,crossover,0.5796131795676382,0.0006736645094369406,0.004115226337448652,8,3,8,0.5556988957350564,1,0.008498583569405138,8,1,3,12,255,7,6
4DNVOW8XPI,101,mutation,0.2825428634772228,3.311948948069021e-05,0.16046966731898238,596,17,596,0.2812911316999004,0.014102644372733529,0.11890759315990618,596,0,17,31,642,6,5
JR2VPR4IZ7,101,crossover,0.3436895482762501,0.0004763569125307218,0.1492238160738848,216,21,216,0.3373185217204058,0.014286528144652224,0.05488001845869872,216,0,22,22,216,7,6
S1B4C9IIB6,101,mutation,0.4335524264047378,0.0005302641666854579,0.0883190883190883,164,11,164,0.42260200716665397,0.002326750181486514,0.06931089743589747,164,1,11,25,164,8,5
ETCEK8OXHG,101,crossover,0.4833605357233036,0.0011577727918461221,0.030028508077288518,191,10,191,0.4688832502340876,0.00011055588741123827,0.05908662900188322,191,1,10,9,317,9,7
XKUMYRH1JR,101,crossover,0.4032443750968814,7.751369878458009e-06,0.1071144674085851,444,15,444,0.39162796952644063,0.0050381897263121304,0.09384436007055519,444,1,15,12,444,8,7
LXHO407ZSD,101,crossover,0.3801198710944528,0.000542948226486574,0.11439915506180565,563,16,563,0.37476081873984923,0.008229080823686483,0.0914580588493632,563,1,16,12,563,8,7
GNKX9TIYHG,101,mutation,0.18200781931078946,0.06574747164407962,0.09020689655172415,76,12,76,0.18164810263358733,0.0823156269054674,0.08915280844973028,76,0,21,8,76,2,7
