id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
6AVNG0BOIF,102,inicialization,1.0,1,1,2,1,2,1.0,1,1,2,1,5,19,2,8,7
BFN6HIADZ1,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,0,6,17,2,8,5
3UIF6RVIHV,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,0,6,15,2,7,5
0BLQEHH0Y5,102,mutation,0.4156177522455371,0.07662337662337662,0.047619047619047616,75,11,75,0.4032140961741769,0.13325062034739454,0.16111111111111115,75,1,11,5,75,4,4
HCMAR466I8,102,crossover,0.42953361154088054,0.0008658008658009031,0.19607843137254904,64,11,64,0.3284667975289841,0.1970223325062035,0.11592632719393281,64,1,11,8,81,2,4
ZQH7AU9HU7,102,mutation,0.36361810172665987,0.0025974025974025983,0.4047619047619048,50,11,50,0.4998598963205295,0.06277915632754341,0.22898550724637678,50,0,11,7,50,6,3
UT871KUG5S,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,1,6,18,2,8,6
O1YD0TCSD8,102,crossover,0.36932567799065696,0.007359307359307371,0.2411347517730496,76,13,76,0.3781154998782228,0.12679900744416872,0.10258697591436217,76,1,13,6,106,7,3
IQUIH2IU6K,102,crossover,0.49054736752782957,0.07662337662337662,0.0052631578947368585,48,9,48,0.3808252491521986,0.09454094292803972,0.15937500000000004,48,0,9,10,48,4,3
0QD7VTIZC2,102,crossover,0.49450587842133864,0.00043290043290045155,0.17320261437908502,36,8,36,0.33644331773833724,0.07841191066997519,0.2958333333333333,36,0,8,9,36,,4
3JIVYYQIYN,102,crossover,0.5334978958195712,0.0021645021645021606,0.3295454545454546,16,7,16,0.6859191040637953,1,0.4545454545454546,16,0,8,10,16,8,4
JI2UAZVV7T,102,mutation,0.45720196755048015,0.17619047619047618,0.009615384615384637,38,10,38,0.3777293560967607,0.305955334987593,0.02307692307692305,38,0,11,14,38,3,4
FBQJD1MD07,102,crossover,0.42742467130434614,0.07662337662337662,0.06097560975609756,59,11,59,0.3870639448239265,0.21662531017369727,0.08181818181818185,59,1,11,8,59,4,4
7LX7JKJ4Z1,102,crossover,0.44115522166442833,0.00043290043290045155,0.30995475113122173,50,11,50,0.38745597304131085,0.1076923076923077,0.036945812807881784,50,1,11,8,50,6,4
Z04AOHQGG5,102,crossover,0.36067867777874085,0.08354978354978354,0.2534722222222222,27,9,27,0.4318767454605764,0.043424317617866,0.11403508771929827,27,1,9,22,27,6,4
027RDNPGUR,102,mutation,0.48740256832615914,0.08354978354978354,0.06666666666666665,21,8,21,0.35250564553319963,0.03945409429280397,0.2692307692307693,21,0,8,11,21,5,3
CFJUU9XDU3,102,crossover,0.4988963566385528,0.0021645021645021606,0.40909090909090906,14,6,14,0.5781035233133658,0.019602977667493797,0.22368421052631582,14,0,6,13,14,8,3
XZGLY9B9B4,102,crossover,0.3971186545429132,0.004761904761904773,0.425,37,9,37,0.5148122442813469,0.09503722084367244,0.175,37,0,9,7,37,6,3
ZPLBO30ZO6,102,mutation,0.36361810172665987,0.05411255411255411,0.3450292397660819,65,11,65,0.48940287476976707,0.05657568238213401,0.18131868131868129,65,0,11,4,65,6,2
LQFELNNO53,102,mutation,0.472340005013303,0.04935064935064934,0.0735930735930736,49,9,49,0.353124251153042,0.011166253101736967,0.22859387274155535,49,0,9,8,49,4,2
05QS6DOVB4,102,mutation,0.4156177522455371,0.07662337662337662,0.047619047619047616,75,11,75,0.4032140961741769,0.13325062034739454,0.16111111111111115,75,1,11,5,75,4,4
41E24MDQB8,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,0,5,18,2,8,6
1TJLTIEJHM,102,mutation,0.427892652852657,0.17402597402597403,0.03324468085106386,25,6,25,0.35828169256303133,0.13325062034739454,0.10932203389830514,25,1,6,17,34,4,5
PVUTD1JZG7,102,crossover,0.40202565053379924,0.07186147186147185,0.18518518518518523,21,8,21,0.34733250588455844,0.040198511166253115,0.2666666666666666,21,0,8,15,21,4,4
KUTT58HQX2,102,crossover,0.5535956787852558,0.006926406926406926,0.29487179487179493,8,5,8,0.6489609123927867,1,1,8,0,7,23,8,6,5
RT79X4U2GB,102,mutation,0.49450587842133864,0.00043290043290045155,0.17320261437908502,36,8,36,0.33644331773833724,0.07841191066997519,0.2958333333333333,36,0,8,9,36,,3
VRNVC6RHVS,102,mutation,0.36361810172665987,0.0025974025974025983,0.4047619047619048,50,11,50,0.4998598963205295,0.06277915632754341,0.22898550724637678,50,0,11,7,50,6,3
T8X53950G0,102,crossover,0.3986756279662633,0.001731601731601723,0.2337662337662338,66,12,66,0.3785018835751204,0.05607940446650128,0.21904761904761905,66,1,12,6,66,5,4
5TC26Q15ZK,102,mutation,0.36361810172665976,0.07445887445887445,0.2676767676767677,25,9,25,0.42008971346631885,0.049875930521091794,0.09649122807017546,25,1,9,26,25,6,4
ULSEL3LPL5,102,mutation,0.4220701199132889,0.21471861471861475,0.03923444976076551,37,9,37,0.38276806771907856,0.2930521091811414,0.03418803418803418,37,0,9,10,37,3,3
PEUH3MG4YX,102,mutation,0.48740256832615914,0.08354978354978354,0.06666666666666665,21,8,21,0.35250564553319963,0.03945409429280397,0.2692307692307693,21,0,8,17,21,5,4
UH8WBUITTI,102,crossover,0.4988963566385528,0.0021645021645021606,0.40909090909090906,14,6,14,0.5781035233133658,0.019602977667493797,0.22368421052631582,14,0,6,12,14,8,3
I9AUUAFKOK,102,crossover,0.4333022168793438,0.08354978354978354,0.06060606060606055,54,11,54,0.3826383562681812,0.08486352357320098,0.3499999999999999,54,0,11,6,54,,3
PWSMCJ7FSC,102,crossover,0.3971186545429132,0.004761904761904773,0.425,37,9,37,0.5148122442813469,0.09503722084367244,0.175,37,0,9,7,37,6,2
QZX44733FU,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,0,6,14,2,7,5
MNC78DK230,102,crossover,0.36932567799065696,0.035930735930735924,0.34444444444444444,64,11,64,0.4904232066829448,0.14615384615384613,0.1445012787723785,64,0,11,6,64,6,3
G8XUFX06T8,102,mutation,0.4246247752494642,0.08571428571428569,0.04999999999999999,71,11,71,0.39396104974670376,0.13325062034739454,0.15000000000000002,71,1,11,5,71,4,5
6T8VCPDPKW,102,mutation,0.48310970939755116,0.047186147186147165,0.027777777777777735,53,9,53,0.3781154998782228,0.052853598014888314,0.3004032258064516,53,0,9,7,53,4,2
A3TVLJA6BS,102,crossover,0.5924904725048378,0.006926406926406926,0.21153846153846156,16,7,16,0.6661466143452495,1,1,16,0,7,11,16,9,3
RJMTH1FSWP,102,crossover,0.46968175143888313,0.001731601731601723,0.11904761904761907,41,9,41,0.3448834635309588,0.011166253101736967,0.2198142414860681,41,0,9,12,41,4,4
7I6KI9XAHJ,102,crossover,0.3849135633958084,0.006493506493506496,0.40045248868778277,47,11,47,0.49810192920010554,0.0692307692307692,0.2222222222222222,47,0,11,7,47,6,3
G9W54NNO0N,102,mutation,0.4544947286493185,0.18095238095238092,0.051282051282051266,11,6,11,0.3777293560967606,0.026550868486352353,0.2808586762075135,11,0,6,17,11,5,5
KU0T6T07QZ,102,crossover,0.36067867777874085,0.08354978354978354,0.2534722222222222,27,9,27,0.4318767454605764,0.043424317617866,0.11403508771929827,27,1,9,22,27,6,4
K3IHXXLBMS,102,crossover,0.4988963566385528,0.0021645021645021606,0.40909090909090906,14,6,14,0.5781035233133658,0.019602977667493797,0.22368421052631582,14,0,6,13,14,8,3
NHFTEWX3AO,102,inicialization,0.8126828376836612,1,0.0,3,2,3,0.8302196527204527,1,1,3,0,7,15,3,9,3
JEM80ME7FN,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,0,6,16,2,8,5
QEAPP01TVM,102,mutation,0.4220701199132889,0.21471861471861475,0.03923444976076551,37,9,37,0.38276806771907856,0.2930521091811414,0.03418803418803418,37,0,9,11,37,3,3
QIVT92G3D7,102,crossover,0.48740256832615914,0.08354978354978354,0.06666666666666665,21,8,21,0.35250564553319963,0.03945409429280397,0.2692307692307693,21,0,8,15,21,5,3
4FWIFJDW1J,102,mutation,0.4285953438205792,0.00043290043290045155,0.29230769230769227,51,11,51,0.3989360062575493,0.011414392059553358,0.06666666666666665,51,1,11,7,51,6,3
KP6Q2D3QSN,102,crossover,0.4301208133315588,0.08787878787878786,0.048494983277591996,68,11,68,0.37940438105672913,0.07518610421836225,0.19829424307036242,68,0,11,6,68,4,4
DAQEWDAU8B,102,crossover,0.49450587842133864,0.00043290043290045155,0.17320261437908502,36,8,36,0.33644331773833724,0.07841191066997519,0.2958333333333333,36,0,8,9,36,,2
1A3VW60R7A,102,crossover,0.5535956787852558,0.006926406926406926,0.29487179487179493,8,5,8,0.6489609123927867,1,1,8,0,9,20,8,6,6
6SA96Y2M15,102,mutation,0.48310970939755116,0.047186147186147165,0.027777777777777735,53,9,53,0.3781154998782228,0.052853598014888314,0.3004032258064516,53,0,9,7,53,4,3
47HGUJUHFI,102,mutation,0.3986756279662633,0.001731601731601723,0.2337662337662338,66,12,66,0.3785018835751204,0.05607940446650128,0.21904761904761905,66,1,12,6,66,5,4
10W9M9IUEP,102,crossover,0.3971186545429132,0.004761904761904773,0.425,37,9,37,0.5164653589874123,0.08858560794044665,0.18292682926829268,37,0,10,7,37,6,3
FJJK9YL47M,102,crossover,0.40202565053379924,0.07186147186147185,0.18518518518518523,21,8,21,0.34733250588455844,0.040198511166253115,0.2666666666666666,21,0,8,15,21,4,4
IQN1BM7WLY,102,crossover,0.3664654623100946,0.04502164502164502,0.32950191570881227,60,11,60,0.4904232066829448,0.14615384615384613,0.1445012787723785,60,0,11,6,60,6,3
GZ77MHZFP6,102,crossover,0.4333022168793438,0.08354978354978354,0.06060606060606055,54,11,54,0.3826383562681812,0.08486352357320098,0.3499999999999999,54,0,12,6,54,5,3
L41BNJVYHO,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,1,6,18,2,8,6
IQT2QS1NNV,102,crossover,0.4220701199132889,0.21471861471861475,0.03923444976076551,37,9,37,0.38276806771907856,0.2930521091811414,0.03418803418803418,37,0,9,10,37,3,3
A822330OCL,102,crossover,0.36361810172665987,0.0025974025974025983,0.4047619047619048,50,11,50,0.4998598963205295,0.06277915632754341,0.22898550724637678,50,0,11,7,50,6,3
OBNQASR883,102,crossover,0.3664654623100946,0.10173160173160173,0.20588235294117652,23,9,23,0.4318062805605176,0.05905707196029775,0.24747474747474746,23,1,9,20,23,6,4
NX9Q6CNFQI,102,crossover,0.4988963566385528,0.0021645021645021606,0.40909090909090906,14,6,14,0.5781035233133658,0.019602977667493797,0.22368421052631582,14,0,6,13,14,8,3
QG30VWJS5G,102,mutation,0.48740256832615914,0.08354978354978354,0.06666666666666665,21,8,21,0.35250564553319963,0.03945409429280397,0.2692307692307693,21,0,10,13,21,5,3
J04F09FG2W,102,mutation,0.49450587842133864,0.00043290043290045155,0.17320261437908502,36,8,36,0.33644331773833724,0.07841191066997519,0.2958333333333333,36,0,8,9,36,,3
3SOHEIHNVV,102,mutation,0.4301208133315588,0.08787878787878786,0.048494983277591996,68,11,68,0.37940438105672913,0.07518610421836225,0.19829424307036242,68,0,11,5,68,4,3
QZXQA557MH,102,crossover,0.48310970939755116,0.047186147186147165,0.027777777777777735,53,9,53,0.3781154998782228,0.052853598014888314,0.3004032258064516,53,0,9,7,53,4,3
9ETQFY0Y1I,102,crossover,0.5535956787852558,0.006926406926406926,0.29487179487179493,8,5,8,0.6489609123927867,1,1,8,0,6,17,8,6,4
RPGMABAAFV,102,crossover,0.3986756279662633,0.001731601731601723,0.2337662337662338,66,12,66,0.3785018835751204,0.05607940446650128,0.21904761904761905,66,1,12,6,66,5,4
DCS7WVT8KJ,102,crossover,0.4128741585346869,0.013852813852813853,0.40259740259740256,36,8,36,0.519122162836587,0.007444168734491302,0.25789473684210523,36,0,8,8,36,6,3
OACJEGQFOD,102,crossover,1.0,1,1,2,1,2,1.0,1,1,2,0,6,17,2,8,5
4NC4DXJSTN,102,crossover,0.46968175143888313,0.001731601731601723,0.11904761904761907,41,9,41,0.3448834635309588,0.011166253101736967,0.2198142414860681,41,0,9,12,41,4,4
YJLBPSOY2R,102,crossover,0.4544947286493185,0.18095238095238092,0.051282051282051266,11,6,11,0.3777293560967606,0.026550868486352353,0.2808586762075135,11,0,7,22,11,5,5
CP8DFDVU0I,102,crossover,0.3664654623100946,0.10173160173160173,0.20588235294117652,23,9,23,0.4318062805605176,0.05905707196029775,0.24747474747474746,23,1,9,20,23,6,4
XXRL1BKIQ6,102,crossover,0.3664654623100946,0.04502164502164502,0.32950191570881227,60,11,60,0.4904232066829448,0.14615384615384613,0.1445012787723785,60,0,11,6,60,6,3
A4PEEC5ODS,102,mutation,0.4333022168793438,0.08354978354978354,0.06060606060606055,54,11,54,0.3826383562681812,0.08486352357320098,0.3499999999999999,54,0,11,6,54,5,3
S1CPB4T9HC,102,crossover,0.4733562023839737,0.08354978354978354,0.04838709677419356,22,9,22,0.34518909290913624,0.045905707196029766,0.2692307692307693,22,0,9,11,22,5,3
9NZ3TN7IFX,102,mutation,0.4988963566385528,0.0021645021645021606,0.40909090909090906,14,6,14,0.5781035233133658,0.019602977667493797,0.22368421052631582,14,0,6,12,14,8,3
V05QZJGYVS,102,crossover,0.36361810172665987,0.0025974025974025983,0.4047619047619048,50,11,50,0.4998598963205295,0.06277915632754341,0.22898550724637678,50,0,11,7,50,6,3
