id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
ZJKMKBP2YI,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,1,4,4,3,6,9
4XN7PZB3VC,100,inicialization,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,0,4,4,2,1,7
LKI7SYHZQR,100,inicialization,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,3,4,3,2,1
2MUFKVJM1F,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,0,4,14,3,2,9
7ZJVRWX1HL,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,1,3,7,4,3,1
BN7K4C82WA,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,0,3,40,3,4,2
UPW92D512X,100,inicialization,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,3,15,4,2,5
E7BVMDZ57C,100,inicialization,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,0,3,36,2,1,7
JW76RA4OJJ,100,inicialization,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,4,28,3,2,8
48C2KD4DMP,100,inicialization,0.10557280900008414,1,0.0,2,1,2,0.2762531355442541,1,0.0,2,0,3,10,2,3,7
40Q2I5WSAE,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,0,4,17,3,2,0
GRDL00APLX,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,1,4,11,4,3,4
IC6DB61YYO,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,0,3,27,3,5,2
YBGZAUFMBP,100,crossover,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,4,13,4,2,7
LWO837O1LW,100,inicialization,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,0,3,25,2,2,2
EODQAXUI7D,100,inicialization,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,4,11,3,2,0
AFOTBFWU2C,100,inicialization,0.10557280900008414,1,0.0,2,1,2,0.2762531355442541,1,0.0,2,1,3,39,2,6,4
4A5RG2BYM8,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,0,4,34,3,2,8
Q6I8ZB7J5B,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,1,4,23,4,3,2
9JKAAU6ZLY,100,inicialization,0.05131670194948623,1,0.0,3,2,3,0.28730335490020165,1,0.09090909090909094,3,0,3,10,3,8,5
KT26OOPVJZ,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,0,3,15,3,6,6
UIEDUIG1PH,100,crossover,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,4,17,4,2,4
NO61E5Y2P8,100,inicialization,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,1,4,6,2,1,6
K5ME3MEZUW,100,inicialization,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,3,37,3,2,9
QNSZZQVBRP,100,inicialization,0.10557280900008414,1,0.0,2,1,2,0.2762531355442541,1,0.0,2,1,3,27,2,4,2
7FPGYJHI93,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,0,4,6,3,2,9
IUQJVTHRBJ,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,1,4,11,4,3,9
OSS5T9RVBY,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,1,4,20,3,4,7
F3YSTWYV4G,100,crossover,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,3,13,4,2,2
55K4RJ8N5I,100,inicialization,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,0,3,37,2,2,2
XQQM9EIX59,100,crossover,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,4,26,3,2,4
1A2SM257I4,100,inicialization,0.10557280900008414,1,0.0,2,1,2,0.2762531355442541,1,0.0,2,0,4,13,2,9,9
S3ETW3DEJW,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,0,4,17,3,1,1
S93UQH3CVP,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,1,3,30,4,3,0
5FD34QOYC9,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,0,4,6,3,4,0
L5D5DDCN4V,100,crossover,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,4,17,4,2,7
VGYQGJOJWL,100,inicialization,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,0,4,33,2,2,2
OZW1TW8K7U,100,crossover,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,4,31,3,2,6
JEB3FUBC89,100,inicialization,0.10557280900008414,1,0.0,2,1,2,0.2762531355442541,1,0.0,2,1,4,37,2,4,4
OMV9R2WAHK,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,1,4,13,3,1,4
BNC3K1RR3R,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,1,3,3,4,3,5
MGZVDWZC6U,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,0,3,13,3,7,9
SE1XBXK3Z0,100,mutation,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,3,7,4,2,4
SEHBLEHAHM,100,mutation,0.3876275643042054,0.11111111111111105,0.2698412698412699,2,1,2,0.27260703254669205,0.16666666666666669,0.2666666666666667,2,0,3,21,2,1,3
HK41ZCBOWU,100,crossover,0.2928932188134524,0.2222222222222222,0.15873015873015872,3,2,3,0.2910250338372288,0.3333333333333333,0.1166666666666667,3,1,3,37,3,2,7
BX9BT75MDX,100,inicialization,0.10557280900008414,1,0.0,2,1,2,0.2762531355442541,1,0.0,2,0,4,10,2,5,6
2SO52A2RWH,100,inicialization,0.05131670194948623,1,0.0,3,2,3,0.28730335490020165,1,0.09090909090909094,3,0,3,23,3,8,0
Z6YR9IZH1L,100,inicialization,0.17841616374225078,0.1111111111111111,0.16666666666666674,3,2,3,0.13933703417612964,0.16666666666666666,0.07619047619047625,3,1,4,9,3,1,6
J26TIV6LBO,100,inicialization,0.1339745962155613,0.1111111111111111,0.11904761904761907,4,3,4,0.13933703417612964,0.16666666666666666,0.07619047619047625,4,0,4,9,4,3,3
2PA9GUA1LS,100,inicialization,0.0425728922436619,1,0.16666666666666663,3,2,3,0.23019964108049895,0.16666666666666666,0.1785714285714286,3,1,3,24,3,4,0
96B9LN16A8,100,crossover,0.1339745962155613,0.2222222222222222,0.033333333333333326,4,3,4,0.10320972115393434,1,0.0714285714285714,4,1,4,18,4,2,3
