id,seed,creation_mode,error_val,dem_fpr_val,actual_depth,actual_leaves,error_tst,dem_fpr_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
EPC5TN6LN6,100,mutation,0.1687680040898065,0.0646587431093962,9,155,0.1845753593807733,0.048558933662918,0,9,12,185,3,5
CLICX553YH,100,crossover,0.198188572827706,0.0420017568780943,12,189,0.2004482449734094,0.0476488026040455,0,12,11,189,4,5
IC6DB61YYO,100,inicialization,0.2783199398305228,0.0050923750934731,5,26,0.2810723059848569,0.0007281048470979,0,5,27,641,5,2
RYRGFRNYTJ,100,crossover,0.2380761241916611,0.0211916470454147,14,191,0.2313984150958431,0.0169705025759003,1,14,16,191,5,7
KGLPF6GWTT,100,crossover,0.203838207649034,0.0318778163562014,11,170,0.2046919165332181,0.0435157368543423,0,11,12,170,4,6
DP0WL9GYQX,100,mutation,0.2037414275122454,0.0332093742789711,11,174,0.2054745954443031,0.0421405976578274,0,11,12,174,4,6
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.0307870647070433,8,88,0.2190266335159983,0.0320297299281684,1,8,27,224,4,2
Z5QVB4N9G8,100,crossover,0.2482280184902181,0.0151895593627425,13,183,0.249262470500339,0.013141833600509,1,13,15,183,5,7
92ZNCIPC7F,100,crossover,0.2213349038996354,0.0268459034439814,11,221,0.2237692310439124,0.0226798541342894,1,11,29,502,4,3
SCT5PVI3DC,100,crossover,0.2147398232711854,0.0303186565442319,9,128,0.2197197859918154,0.0259486777860717,0,9,32,1426,4,3
2L9GLN9EV7,100,crossover,0.2477035873266758,0.0168088338721648,13,189,0.2511585417433296,0.0121743413404471,1,13,15,189,5,7
USM6IRZO6Z,100,crossover,0.2376307890225323,0.0230718818888663,14,193,0.2329792706352803,0.0161965087678508,1,14,16,193,5,7
