id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
J33LZW16H8,inicialization,0.2744799022555918,0.02369457285901333,0,,2,,
HF3QDNVOTN,inicialization,0.27222641940485726,0.030539656241226038,1,33,2,2393,
LJMWX0NZ39,inicialization,0.28874878448849894,0.011964562212109675,0,27,16,2050,6
LAZJKMKBP2,inicialization,0.3088796393032571,0.007876067817718338,1,31,17,1494,7
DP6SV7V8X4,inicialization,0.2941931992612997,0.005326579174878866,0,5,6,719,4
P165QJDUKD,inicialization,0.36398731679599716,0.002783692724245196,1,24,7,123,6
OT7NWV3AH4,inicialization,0.2155669215403715,0.04034912392384267,0,19,29,502,4
GZJ48C2KD4,inicialization,0.21945213773424255,0.09178610843162488,1,4,10,597,2
INFHQEZC81,inicialization,0.31286078732358735,0.0003683328283235407,0,13,19,466,6
Q0JN0ERZQG,inicialization,0.21729223952918741,0.073905982003119,0,33,17,651,3
TCB9SOZAFO,inicialization,0.37518395754379563,0.00996965771455735,0,22,26,2042,8
WU2CLFBW9J,inicialization,0.22028791197383601,0.0312353188094371,0,24,28,35,4
ZLYY2MNK9R,inicialization,0.4019799198697803,0.013984485543283971,0,17,30,1048,8
6HTIHODZ31,inicialization,0.22952033059771115,0.027166978475463475,1,29,5,114,5
BJ4GFSG9JI,inicialization,0.23374386030062433,0.043246443850787686,1,20,8,2246,4
YG5UH4SOWO,inicialization,0.21949024999012545,0.09202031251303061,0,3,21,1312,2
D4W64N5D6Q,inicialization,0.32574514310689695,0.003606881847168286,0,19,39,1836,7
CO3AHOXUHT,inicialization,0.30492500599393746,0.00788927220212994,0,12,35,1048,6
UFKVJM1FFU,inicialization,0.40331477974904983,0.003559624050326775,1,12,8,267,8
BN7K4C82WA,inicialization,0.2941931992612997,0.005326579174878866,0,5,40,373,4
NRQNSZZQVB,inicialization,0.20635863362573204,0.045032858068156864,1,10,22,127,4
WHK4XN7PZB,inicialization,0.20304855523155085,0.08603142921477003,0,13,12,1429,1
EWCQ3S8ZXU,inicialization,0.26152475042349144,0.014433434613278333,0,7,9,1181,4
0P5G7NLEPF,inicialization,0.34091663646988946,0.005325884207278253,0,27,13,1156,9
