id,creation_mode,error,dem_fp,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight,fair_param
J33LZW16H8,inicialization,0.2744799022555918,0.02369457285901333,0,,2,,,0
HF3QDNVOTN,inicialization,0.2761889781260225,0.033932140583605996,1,33,2,2393,,0
LJMWX0NZ39,inicialization,0.28874878448849894,0.011964562212109675,0,27,16,2050,6,2
ZJKMKBP2YI,inicialization,0.31188933120970186,0.006450689268866286,1,26,4,593,6,9
SV7V8X4ZDG,inicialization,0.33763268332179397,0.004255981586138456,1,23,12,2028,8,7
65QJDUKDRH,inicialization,0.25919320422725667,0.026170047452387768,1,26,36,2120,5,2
WV3AH4M7HN,inicialization,0.23112936882728352,0.07693708319318153,0,25,6,1624,2,10
48C2KD4DMP,inicialization,0.1911983514861363,0.09923303375596629,0,4,10,218,3,7
ZC8142V37M,inicialization,0.34264556179527306,0.00511913134609665,1,29,18,1978,8,1
RZQGMODYRA,inicialization,0.26477236085121414,0.023573648496507095,0,12,38,2374,5,2
AFOTBFWU2C,inicialization,0.3735605457665149,0.002890717734739208,1,9,39,57,6,4
9JKAAU6ZLY,inicialization,0.37188620712044995,0.0074806312529709824,0,16,10,387,8,5
RE3I16HTIH,inicialization,0.37214166280421423,0.0019938620461514116,1,10,17,1098,7,9
FEC20BJ4GF,inicialization,0.22414974226984918,0.09129685124079515,0,23,23,2003,2,10
9JKWYG5UH4,inicialization,0.22153294276440527,0.02632398277592299,1,11,30,1866,4,0
AO6H9FI4D4,inicialization,0.28813770408838657,0.0007231137884351896,0,17,21,2286,6,5
QB77GLCO3A,inicialization,0.19580489126288092,0.0973594011047205,0,14,14,1502,2,3
2MUFKVJM1F,inicialization,0.19504502519280775,0.10413081792126852,0,21,14,367,2,9
BN7K4C82WA,inicialization,0.2941931992612997,0.005326579174878866,0,5,40,373,4,2
QNSZZQVBRP,inicialization,0.2145337323443175,0.030787064707043357,1,8,27,224,4,2
4XN7PZB3VC,inicialization,0.20409061157579445,0.11071563593705261,0,21,4,180,1,7
3S8ZXUKILV,inicialization,0.3133328857734623,0.0076210147082943006,0,15,18,1830,7,5
LEPFBR4OV0,inicialization,0.3718280078928733,0.001887184519457706,1,21,20,1650,8,7
6SKXTOZ1CA,inicialization,0.3150198138543988,0.014982111533960285,1,31,22,1796,7,1
R148R9C5TL,inicialization,0.22471057086980384,0.0698310394769396,0,26,25,2129,3,1
JZ6CZV0L1P,inicialization,0.39208853636627206,0.0036732512530265812,1,25,28,1078,9,0
1A2SM257I4,inicialization,0.49803456429826565,2.6756252623502804e-05,0,28,13,24,9,9
PJP4L0TS7Y,inicialization,0.2695392473621703,0.018000008339611212,0,20,32,1136,5,10
IC6DB61YYO,inicialization,0.27831993983052283,0.005092375093473142,0,5,27,641,5,2
49XWW0RE1O,inicialization,0.30535404502827435,0.011669895949450837,1,15,13,1300,6,8
2I5WSAEZH7,crossover,0.3338032499929996,0.00718005776570696,1,20,21,2022,7,6
2WBWMVPS7S,crossover,0.31406734963606875,0.004074595042379128,0,18,20,1914,7,6
SS5T9RVBYY,crossover,0.17997492964313022,0.08475963850565288,0,16,8,200,2,7
ZJVRWX1HLI,crossover,0.1757273211638123,0.08384957843265348,0,9,6,198,2,7
JEB3FUBC89,crossover,0.27907421459612114,0.007628311868100708,0,9,39,1866,5,2
9GSAVB3LD0,mutation,0.21159274365430203,0.03423306155467032,0,8,39,881,4,2
AGRLYAL0KN,mutation,0.22682861176959745,0.06700738611565929,0,24,22,1490,3,7
SMGZVDWZC6,mutation,0.2247254566525907,0.08748947124085077,0,23,17,1006,2,3
69K3DKGBX9,crossover,0.22654172547023133,0.06497321594867246,0,21,22,1900,3,2
N2GH3C5K13,crossover,0.21205520264890387,0.09640903291088568,0,19,17,1731,2,2
57CQWXFFCU,mutation,0.2603102818408871,0.02142585112682046,1,16,30,752,5,5
2BYM8ESJG2,crossover,0.2020120815332389,0.0463578137987207,0,12,29,608,4,6
BLSWSQ5ZXI,mutation,0.3038434229060293,0.0017867617011694918,1,7,29,805,6,7
GALJ8LECPG,crossover,0.27994753506861847,0.010813348381698444,0,7,28,666,5,4
KMUTKU03H2,crossover,0.28283090100836483,0.009013382296117353,1,8,15,686,5,8
N055ID888Q,crossover,0.2770988718089663,0.007835759696882938,0,6,12,630,5,8
TQJ7FPGYJH,crossover,0.2208007907534305,0.029562531794767727,1,9,21,1143,4,4
87E9O907WF,mutation,0.17805129231488792,0.07199238871483812,0,6,19,941,3,3
TLGNEMNTKP,crossover,0.2847274661743959,0.005948922661225535,1,22,31,2211,6,4
0DS9MGOD4C,crossover,0.27077793258278027,0.025199872681935562,0,21,26,2195,5,3
0YF61UODW7,mutation,0.22913461282367442,0.05356428033325086,1,18,26,1652,4,2
RNLE6RRMDS,crossover,0.20504944943304004,0.06301271234735037,0,16,26,701,3,1
63AL2X3TJ2,crossover,0.27110701100636214,0.032433095469089235,1,24,25,2388,5,1
CITH1ZM1PC,mutation,0.2621769372984437,0.018367993684134443,0,14,15,2379,,1
N6DD7MT94S,mutation,0.2781420697677921,0.03822113313077344,1,23,6,1519,,5
CPG5HWSFDX,crossover,0.1960202681803096,0.06008863616778187,0,14,6,1159,3,2
6REFO4RZ5D,crossover,0.22933521406015156,0.06267113577165033,1,19,26,1320,4,5
W92D512XWV,crossover,0.2059340652198065,0.04030881580300727,0,11,20,1018,4,4
CF20YJ6HJ6,crossover,0.3368278008366209,0.0026968217741688907,1,14,26,2060,6,5
82K2KE6RTS,mutation,0.26740652786500385,0.017330754540223335,0,13,28,1614,5,5
97DGU1LSN9,crossover,0.3030284004107502,0.0021884529743223385,0,21,11,802,7,6
ONDHISF1U1,crossover,0.25596455068963697,0.01829432711846974,0,21,8,381,5,5
CGTAK9G8JT,crossover,0.2213349038996354,0.02684590344398144,1,11,27,1617,4,3
YEGRDL00AP,crossover,0.20582024146957412,0.03900401413286113,0,11,23,1267,4,1
ERXTEGI2C4,crossover,0.3476097161540127,0.00986923489626914,0,25,18,1304,8,8
7CIO7R6108,mutation,0.2987522957912043,0.00515179482332534,0,23,16,1006,7,6
YH63ZG05NX,mutation,0.20549104777314453,0.04591616188853276,0,13,34,796,4,2
TMZMG7NZMC,crossover,0.18328882698300364,0.05960007394455269,0,11,31,786,3,1
EKP14WPH1Z,crossover,0.22306445034690314,0.044718385228880636,1,15,24,1487,4,3
UM8V84CVRA,mutation,0.20618433626101773,0.052540593057551654,0,14,22,1144,4,3
CCV8IY5MBK,crossover,0.20851523059403143,0.046177122222561984,1,14,27,1052,4,2
G7XZL6HDGH,crossover,0.20785474007606408,0.03970662637707831,1,12,26,824,4,2
VLRGSSXZSF,crossover,0.19885746786680558,0.05896452607379446,0,14,15,647,3,6
0FN2MTAFVP,crossover,0.1914377670250148,0.07162440337031487,0,13,13,571,3,5
FVFUCKMT5D,mutation,0.2648035600084391,0.019284655949339646,0,14,24,2081,,3
GBFCRW3CLG,crossover,0.26927541929960186,0.012211970677926988,0,13,19,1920,5,3
KCA58Q166F,crossover,0.3248125831664366,0.011489204373292122,1,21,28,1470,7,9
89HNJBHA57,crossover,0.2979824938735527,0.0008770491119704099,0,20,24,1316,6,8
WL38HAZQB2,mutation,0.18848146160319545,0.07001833324530411,0,12,6,846,3,5
BVF4D7DZPJ,crossover,0.18946596397712567,0.08351529901675983,0,11,6,511,2,4
054R1HH6P7,crossover,0.2617513384907497,0.01771229175295848,0,16,16,1866,5,4
J4OJOPE88W,crossover,0.22157290650514183,0.040242098913348665,0,15,11,1579,4,3
0I33DDMCIS,crossover,0.25900570505581777,0.024711310458706406,1,19,29,1789,5,3
9XRQRVKDXR,mutation,0.220688474823721,0.04035572611604847,1,16,28,1474,4,3
NUPN7P0U84,mutation,0.194782459576344,0.062096050082145166,0,14,27,605,3,5
7VCR0MSRAY,crossover,0.171504257984039,0.0851675844872112,0,8,18,474,3,4
UL6D5NMIB6,crossover,0.28691047980506557,0.004644120991079394,1,20,33,1736,6,5
