id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
TX245U1K2N,103,mutation,0.31270671893552937,0.12780374617479906,0.027472527472527486,13,5,13,0.29692422216513803,0.0850550964187328,0.09400899834241061,13,0,5,20,13,2
2RSB1KFKNP,103,crossover,0.4391230687595644,6.725628005516127e-05,0.1353856338960609,200,17,200,0.43356876560606916,0.0037746344564526246,0.17944444444444446,200,1,17,12,200,2
PC7OW7JIFG,103,mutation,0.35558552264712906,0.16131418771227762,0.00869925434962715,74,9,74,0.35383564680494595,0.07807533375715192,0.11190664110948248,74,1,9,13,74,1
J3QBLXEI8C,103,crossover,0.8486983635504227,0.0005884924504825644,1,13,6,13,0.8419718735164243,0.000900614536978173,0.07142857142857145,13,0,13,12,13,7
JNQ3E8UQPO,103,crossover,0.8149541753141302,0.0010256582708410393,1,12,4,12,0.813018599149882,0.000900614536978173,0.05555555555555558,12,0,4,20,49,7
H2HLA6Z0P0,103,mutation,0.7867787490220105,0.011601708309513402,0.0,19,7,19,0.8004143529428563,0.010065691883873702,0.23809523809523808,19,0,18,25,19,8
EUPPPXN33H,103,inicialization,0.32662862271172555,0.10915694252950872,0.05640509725016768,6,4,6,0.2957376199586904,0.07679063360881544,0.11309935739001487,6,1,5,19,6,2
VEMFIY1FIR,103,crossover,0.4477182872661336,0.00023539698019303668,0.07645833333333332,227,15,227,0.44534922863932047,0.0032448611994066456,0.18116312950348468,227,1,15,11,227,1
IKY2S365M5,103,crossover,0.8486983635504227,0.0005884924504825644,1,13,6,13,0.8419718735164243,0.000900614536978173,0.07142857142857145,13,0,13,12,13,7
CCNA1ZFJW1,103,crossover,0.7505061953802595,0.00015132663012408856,0.38823529411764707,22,8,22,0.6928899746985866,0.010515999152362787,0.015384615384615441,22,0,20,5,22,8
587HG8HVAI,103,mutation,0.3218713921501065,0.14734169553082022,0.02322404371584702,15,4,15,0.3153415744632403,0.09661739775376138,0.0950100010527424,15,0,4,18,15,1
C9AAG44OOC,103,crossover,0.31270671893552937,0.12780374617479906,0.027472527472527486,13,5,13,0.29692422216513803,0.0850550964187328,0.09400899834241061,13,0,5,19,13,2
3YREE0QGQT,103,crossover,0.8149541753141302,0.0010256582708410393,0.2916666666666667,29,9,29,0.8275075903734359,0.012118563254926891,0.3857142857142857,29,1,18,13,29,8
HXNV8A1QPA,103,crossover,0.4793637597602348,0.06816423983589467,0.00042735042735042583,164,16,164,0.44605648661957287,0.040699830472557735,0.1304109589041096,164,1,16,15,164,4
30Q30VAGQV,103,crossover,0.4657886649784101,0.0643474459427649,0.004201680672268893,197,16,197,0.44938906936103895,0.04185208730663276,0.20540540540540542,197,1,16,8,197,4
M6NIEGZPXR,103,mutation,0.7096889849564846,0.0008743316407169507,0.3152173913043478,32,6,32,0.702309911590933,0.014621741894469166,0.10727969348659006,32,1,6,25,47,6
P6AJN5OLN3,103,mutation,0.3650213842816654,0.07949692302518749,0.043713450292397704,137,14,137,0.3514290673271031,0.024607967789785967,0.18986657050126216,137,1,14,14,137,2
H0XMKVYWST,103,mutation,0.4438657522833749,0.008894643037293648,0.06042991884185131,222,16,222,0.449819207115843,0.030289785971604172,0.20366795366795365,222,1,16,12,222,1
3SBVD4YFAJ,103,mutation,0.6650172446984011,0.0013283115310892164,0.2738095238095238,24,8,24,0.6710614383279769,0.020581691036236492,0.196078431372549,24,0,14,13,24,6
7ND1WXJWFD,103,crossover,0.7736850534801095,0.003379628072771296,0.2820512820512821,16,8,16,0.7883074533075832,0.005708306844670481,0.1384615384615384,16,0,20,5,16,7
NQH4KA0DD2,103,crossover,0.4125269584191831,0.07507482261156137,0.04250559284116334,108,13,108,0.38872132281929894,0.04039521084975631,0.214192587073943,108,1,13,9,108,3
TFTGO1KHI3,103,crossover,0.44409672903416053,0.012274271110064905,0.04979274611398962,210,16,210,0.44649323282329956,0.015866709048527217,0.1975781729000613,210,1,16,12,210,1
WO6GPCF4T9,103,crossover,0.3177117607789869,0.12339845983118675,0.02534562211981567,12,4,12,0.2995723512652464,0.0850550964187328,0.0917917034421889,12,0,4,19,12,2
FRM4KK2A4J,103,crossover,0.7014558323337765,0.0003026532602481771,0.3,44,12,44,0.6564348773841728,0.011866920957830047,0.042857142857142816,44,1,12,13,44,6
KL8JJD5AL5,103,crossover,0.8005497828152563,0.00043716582035847537,0.2954545454545454,29,9,29,0.8005164166913139,0.0029534859080313624,0.20779220779220775,29,1,17,12,29,8
FYFUZF4Y05,103,crossover,0.35902002642307085,0.15470625819685913,0.006957621758380772,89,9,89,0.3617954752180661,0.07902892561983471,0.13162878787878787,89,1,9,12,89,1
48JSDYCW8Y,103,crossover,0.3976783503158057,0.0009752160607996996,0.06807751147373786,191,15,191,0.4218257971796453,0.010224623860987492,0.1832801745845224,191,1,15,11,191,1
7MTPAS24X7,103,crossover,0.7113526720935525,0.004707939603860515,0.15584415584415584,50,14,50,0.6431472109102834,0.022634562407289678,0.1121951219512195,50,1,15,10,50,6
KXQ33GGEJ5,103,mutation,0.45055236928170705,0.06347311430204797,0.008484848484848484,140,13,140,0.4059853316635381,0.030077876668785752,0.1949468581018087,140,1,13,14,140,3
JRA0P4EJZP,103,crossover,0.35151288194388663,0.14766116286108216,0.04174418998004126,8,4,8,0.33537042506127845,0.12325174825174823,0.08951994077561168,8,0,4,18,8,1
KFV7PKCIV4,103,crossover,0.4904274709796046,0.0677102599455224,0.03577898550724634,56,11,56,0.4648064267911842,0.05477855477855478,0.0160697887970615,56,0,13,18,56,4
BM136WS5FP,103,crossover,0.33929979992239656,0.10710562598782664,0.03384332925336597,57,8,57,0.32345804925759736,0.045136681500317855,0.11637330221401018,57,0,8,14,57,2
LJHUZQCNJE,103,mutation,0.43638205338057856,0.06641557655446079,0.037847866419294995,145,13,145,0.4078094746584614,0.04104418308963764,0.19752673796791442,145,1,13,12,145,3
AIO69BDS3G,103,crossover,0.5415291386290106,0.049080270370245815,0.010649858726363814,148,13,148,0.4929184915075958,0.013853570671752496,0.18114478114478116,148,1,13,11,148,3
8GW162M7WS,103,crossover,0.7864778014467178,0.007196421965901067,0.08333333333333337,14,7,14,0.813113924876623,0.002503178639542275,0.15555555555555556,14,0,15,10,14,7
1Q1W85EP96,103,mutation,0.3541422633312368,0.1569089013686653,0.010846891948268655,82,9,82,0.353457551773648,0.08383661792752706,0.11335564586819669,82,1,9,10,82,1
2ZHRIY2V8V,103,crossover,0.37374668141961787,0.0969667417695127,0.03971291866028709,120,12,120,0.37116205142787595,0.048699406653952115,0.18738601823708204,120,1,12,10,120,2
TVE3NUYQ61,103,crossover,0.3160725957540822,0.12575242963311697,0.03935514461830253,36,6,36,0.31159649515813914,0.055202373384191566,0.1220429121584449,36,0,6,18,36,2
EP9VMRPUB7,103,crossover,0.391981648254062,0.022076873928103036,0.17105263157894735,91,16,91,0.3749830079748697,0.018608285653740203,0.23888888888888887,91,1,16,12,91,3
YICZWW6C8F,103,crossover,0.5442949241421716,0.04570064229747452,0.028921568627450933,144,15,144,0.47930078274650134,0.012754291163382073,0.1598671726755218,144,1,15,16,144,4
C430BHDS7O,103,crossover,0.6933782652779769,0.005296432054343075,0.1875,47,14,47,0.6302542381087934,0.018727484636575545,0.0,47,1,16,14,47,6
JNAB9XL7Z4,103,crossover,0.3570320216145674,0.09348622927665873,0.050710718401844046,94,10,94,0.35658348039116294,0.05423553719008262,0.11948750752558698,94,0,10,14,94,1
WGCMWTJUK4,103,mutation,0.3445078630787932,0.10270033964421427,0.031242205038662985,54,8,54,0.3212041553381263,0.042381860563678736,0.12082212831348446,54,0,8,22,54,2
8BK7SCQKXN,103,mutation,0.4565675561429837,0.03191310488616875,0.04073892830927334,158,15,158,0.4363710912294403,0.004582538673447767,0.1946988733079355,158,1,15,12,158,3
4O2ET3E18U,103,crossover,0.7621169910465283,0.00015132663012408856,0.3625,15,6,15,0.7003155727983259,0.006860563678745497,0.0357142857142857,15,0,20,5,15,8
OLF7C24Q6A,103,crossover,0.40363803340855564,0.034115748057974904,0.11263982102908277,109,14,109,0.38100329617314144,0.06032792964611147,0.14790575916230364,109,0,14,11,109,3
JPL6PC2SUT,103,crossover,0.761611394282836,0.005582271244577463,0.26666666666666666,13,7,13,0.78809110930969,0.002503178639542275,0.054545454545454564,13,0,12,16,13,7
LALL2J8KN7,103,crossover,0.32405876607197726,0.11737902276625081,0.026391996840858245,47,7,47,0.32387207814046837,0.05891078618351345,0.11232070110574785,47,0,7,15,47,2
CZ3XCILI1E,103,mutation,0.7626236646972966,0.0007398190806066525,0.33333333333333337,33,9,33,0.7664441732809325,0.0034037931765204497,0.0625,33,1,16,11,33,7
0X9QG4V9Z7,103,mutation,0.4699670278948167,0.05597403907589872,0.0049857549857549865,206,16,206,0.47083357361728906,0.030183831320194948,0.27277618364418943,206,1,16,9,206,4
2KAQPPV5M2,103,mutation,0.42111552371448835,0.017705215724518275,0.05706814336255961,219,16,219,0.45097716196377424,0.006701631701631683,0.17754559270516715,219,1,16,14,220,1
C47IFOJRKS,103,crossover,0.37936653436124124,0.09520126441806503,0.025782688766114226,122,11,122,0.38538634471044453,0.06432771773680865,0.18555780450053574,122,1,11,9,122,2
WOI4XKWFJV,103,crossover,0.3905641466622908,0.009785788748024382,0.07182524990744166,185,15,185,0.4142408814052676,0.012277495232040692,0.18874430709173712,185,1,15,11,185,1
LNMYGLI14P,103,crossover,0.4966560162349978,0.08358274203853786,0.00941377834830981,129,12,129,0.4516266847226148,0.05307003602458146,0.10555480470333828,129,1,12,21,129,3
PN2GTJ9QB0,103,crossover,0.5339497333029168,0.053922722534216636,0.0047619047619048005,156,15,156,0.46465899512786446,0.015257469802924334,0.21132897603485837,156,1,15,14,156,4
REEOH1MOKG,103,mutation,0.39354803561830154,0.03470424050845747,0.0931495405179616,80,11,80,0.3817645865042325,0.05616920957830049,0.17320979899497485,80,0,11,14,80,3
S24C17QX5R,103,crossover,0.787835427212296,0.0029424622524128197,0.041666666666666685,69,8,69,0.7564348639468216,0.008211485484212758,0.09999999999999998,69,1,8,13,109,8
3XENREN33L,103,mutation,0.7420125906730729,0.006910582775666679,0.07342657342657344,96,15,96,0.7036984710118634,0.02033004873913965,0.021621621621621623,96,1,16,13,96,8
4OFAQCIT7Q,103,crossover,0.5089741329561044,0.06051383797962134,0.016196447230929945,63,12,63,0.5085669754690374,0.05593081161262979,0.04545454545454547,63,0,13,16,63,4
742DK0L530,103,crossover,0.3590012428519207,0.1519151225745704,0.004788478847884803,98,9,98,0.37285241914573786,0.07351928374655647,0.12594417077175699,98,1,9,13,98,1
RSH69MIE0F,103,crossover,0.3575940402922757,0.15030097185324676,0.009131450414100628,90,9,90,0.3688305671308646,0.07672441195168472,0.12832792207792207,90,1,9,13,90,1
62MT0AL5AU,103,crossover,0.5880524740418167,0.014695497192050308,0.24369747899159666,66,13,66,0.583819200561799,0.0455207671116762,0.2209821428571429,66,0,17,20,66,6
T4X3A5UR20,103,crossover,0.6362082432160019,0.015721155462891347,0.2272727272727273,19,8,19,0.5636283853908852,0.02744225471498199,0.10303030303030303,19,0,13,12,19,5
