id,seed,creation_mode,gmean_inv,dem_fpr,actual_depth,actual_leaves,criterion,max_depht,min_samples_split,max_leaf_nodes,class_weight,fair_param
J33LZW16H8,100,inicialization,0.2744799022555918,0.02369457285901333,33,2393,0,,2,,,0
HF3QDNVOTN,100,inicialization,0.2761889781260225,0.033932140583605996,33,2268,1,33,2,2393,,0
LJMWX0NZ39,100,inicialization,0.28874878448849894,0.011964562212109675,27,1197,0,27,16,2050,6,2
ZJKMKBP2YI,100,inicialization,0.31188933120970186,0.006450689268866286,25,593,1,26,4,593,6,9
SV7V8X4ZDG,100,inicialization,0.33763268332179397,0.004255981586138456,23,1178,1,23,12,2028,8,7
65QJDUKDRH,100,inicialization,0.25919320422725667,0.026170047452387768,26,740,1,26,36,2120,5,2
WV3AH4M7HN,100,inicialization,0.23112936882728352,0.07693708319318153,25,1612,0,25,6,1624,2,10
48C2KD4DMP,100,inicialization,0.1911983514861363,0.09923303375596629,4,16,0,4,10,218,3,7
ZC8142V37M,100,inicialization,0.34264556179527306,0.00511913134609665,29,1149,1,29,18,1978,8,1
RZQGMODYRA,100,inicialization,0.26477236085121414,0.023573648496507095,12,282,0,12,38,2374,5,2
AFOTBFWU2C,100,inicialization,0.3735605457665149,0.002890717734739208,9,57,1,9,39,57,6,4
9JKAAU6ZLY,100,inicialization,0.37188620712044995,0.0074806312529709824,16,387,0,16,10,387,8,5
RE3I16HTIH,100,inicialization,0.37214166280421423,0.0019938620461514116,10,197,1,10,17,1098,7,9
FEC20BJ4GF,100,inicialization,0.22414974226984918,0.09129685124079515,23,810,0,23,23,2003,2,10
9JKWYG5UH4,100,inicialization,0.22153294276440527,0.02632398277592299,11,218,1,11,30,1866,4,0
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
QB77GLCO3A,100,inicialization,0.19580489126288092,0.0973594011047205,14,510,0,14,14,1502,2,3
2MUFKVJM1F,100,inicialization,0.19504502519280775,0.10413081792126852,21,367,0,21,14,367,2,9
BN7K4C82WA,100,inicialization,0.2941931992612997,0.005326579174878866,5,26,0,5,40,373,4,2
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
4XN7PZB3VC,100,inicialization,0.20409061157579445,0.11071563593705261,16,180,0,21,4,180,1,7
3S8ZXUKILV,100,inicialization,0.3133328857734623,0.0076210147082943006,15,545,0,15,18,1830,7,5
LEPFBR4OV0,100,inicialization,0.3718280078928733,0.001887184519457706,21,885,1,21,20,1650,8,7
6SKXTOZ1CA,100,inicialization,0.3150198138543988,0.014982111533960285,31,999,1,31,22,1796,7,1
R148R9C5TL,100,inicialization,0.22471057086980384,0.0698310394769396,26,867,0,26,25,2129,3,1
JZ6CZV0L1P,100,inicialization,0.39208853636627206,0.0036732512530265812,25,869,1,25,28,1078,9,0
1A2SM257I4,100,inicialization,0.49803456429826565,2.6756252623502804e-05,9,24,0,28,13,24,9,9
PJP4L0TS7Y,100,inicialization,0.2695392473621703,0.018000008339611212,20,709,0,20,32,1136,5,10
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
49XWW0RE1O,100,inicialization,0.30535404502827435,0.011669895949450837,15,563,1,15,13,1300,6,8
1A2SM257I4,100,inicialization,0.49803456429826565,2.6756252623502804e-05,9,24,0,28,13,24,9,9
AO6H9FI4D4,100,inicialization,0.28813770408838657,0.0007231137884351896,17,692,0,17,21,2286,6,5
IC6DB61YYO,100,inicialization,0.27831993983052283,0.005092375093473142,5,26,0,5,27,641,5,2
N055ID888Q,100,crossover,0.2770988718089663,0.007835759696882938,6,44,0,6,12,630,5,8
82K2KE6RTS,100,mutation,0.26740652786500385,0.017330754540223335,13,371,0,13,28,1614,5,5
CITH1ZM1PC,100,mutation,0.2621769372984437,0.018367993684134443,14,545,0,14,15,2379,,1
57CQWXFFCU,100,mutation,0.2603102818408871,0.02142585112682046,16,504,1,16,30,752,5,5
65QJDUKDRH,100,inicialization,0.25919320422725667,0.026170047452387768,26,740,1,26,36,2120,5,2
9JKWYG5UH4,100,inicialization,0.22153294276440527,0.02632398277592299,11,218,1,11,30,1866,4,0
TQJ7FPGYJH,100,crossover,0.2208007907534305,0.029562531794767727,9,130,1,9,21,1143,4,4
QNSZZQVBRP,100,inicialization,0.2145337323443175,0.030787064707043357,8,88,1,8,27,224,4,2
9GSAVB3LD0,100,mutation,0.21159274365430203,0.03423306155467032,8,86,0,8,39,881,4,2
W92D512XWV,100,crossover,0.2059340652198065,0.04030881580300727,11,248,0,11,20,1018,4,4
2BYM8ESJG2,100,crossover,0.2020120815332389,0.0463578137987207,12,300,0,12,29,608,4,6
CPG5HWSFDX,100,crossover,0.1960202681803096,0.06008863616778187,14,662,0,14,6,1159,3,2
87E9O907WF,100,mutation,0.17805129231488792,0.07199238871483812,6,47,0,6,19,941,3,3
ZJVRWX1HLI,100,crossover,0.1757273211638123,0.08384957843265348,9,183,0,9,6,198,2,7
BLSWSQ5ZXI,100,mutation,0.3038434229060293,0.0017867617011694918,7,60,1,7,29,805,6,7
BN7K4C82WA,100,inicialization,0.2941931992612997,0.005326579174878866,5,26,0,5,40,373,4,2
TLGNEMNTKP,100,crossover,0.2847274661743959,0.005948922661225535,22,702,1,22,31,2211,6,4
JEB3FUBC89,100,crossover,0.27907421459612114,0.007628311868100708,9,121,0,9,39,1866,5,2
PJP4L0TS7Y,100,inicialization,0.2695392473621703,0.018000008339611212,20,709,0,20,32,1136,5,10
