id,seed,creation_mode,gmean_inv,dem_fpr,lamb,num_leaves,min_data_in_leaf,max_depth,learning_rate,n_estimators,feature_fraction
JWK9LYS1C7,102,inicialization,0.21832156327761865,0.018792318792318796,1.0,31,20,-1,0.1,100,1.0
87LY2O6IFD,102,inicialization,0.25686626892149433,0.010767010767010768,1.0,31,20,-1,0.01,100,1.0
L26O77J504,102,inicialization,0.2138279475790179,0.02035002035002035,0.6702929740286904,17,5,8,0.14064916757458695,126,0.7728487450079664
1ZIKXNEPS1,102,inicialization,0.22239689260071815,0.02372812372812373,0.12769131778226184,39,39,16,0.06076001440555299,97,0.7681166568630969
826NZPN8K8,102,inicialization,0.22505639936917265,0.019062419062419067,0.8370831532330333,24,4,4,0.1000488448096345,181,0.3766023089377408
7YQ0LNU2MK,102,inicialization,0.24120221333454028,0.014152514152514159,0.2208128013881404,27,7,11,0.05368357406505204,62,0.4502391133303194
JHHJA0RUR2,102,inicialization,0.21801688919230577,0.016720316720316722,0.41437564598584453,17,9,7,0.15122939869128593,80,0.5187335175928643
3NOQFKY4IA,102,inicialization,0.21044288392251753,0.019580419580419582,0.2547288706625699,26,9,10,0.1892525915437252,85,0.24292296889194334
EH4HKRKLDM,102,inicialization,0.2333507566555877,0.019850519850519853,0.6691884692741683,57,7,15,0.08655717046259605,161,0.16699589460988123
V8I33PIAQR,102,inicialization,0.26229157608889186,0.009224109224109225,0.9002765905584544,11,40,20,0.047291432490139965,63,0.6023544719756011
M2BQ649K4Q,102,inicialization,0.2205639897009969,0.022699522699522703,0.2729164965395158,56,35,15,0.19224859393651042,133,0.1715040230141433
GHNJELZO0I,102,inicialization,0.22614472054443202,0.02190772190772191,0.7948867778377369,47,12,7,0.09484638106545898,81,0.7043612709986442
ZGCVW58FD3,102,inicialization,0.23968855546657852,0.01517741517741518,0.9937547908118829,3,19,20,0.1682764276214715,198,0.5762703981543313
BD4ZD2M2YO,102,inicialization,0.21569974248028068,0.02217412217412218,0.25412182005101536,13,13,19,0.1407017610188576,187,0.2776737552912117
HMSFH9QS6M,102,inicialization,0.25080683708645113,0.015440115440115441,0.20675611555868612,3,9,6,0.13920030514291282,173,0.8368964114359971
AN2ZPKZ56A,102,inicialization,0.2581023392238109,0.012328412328412329,0.8088107372560519,3,36,11,0.18950843423187397,86,0.477820555773683
ZF1F54OXAG,102,inicialization,0.2125637967365449,0.017497317497317498,0.2942245230925543,21,33,11,0.1306908117045288,159,0.27255783293565333
YPYV8J6AF6,102,inicialization,0.2178831399177944,0.028116328116328124,0.5291049352521937,51,29,19,0.1868607460325326,107,0.48020483043299833
CB4W8XRSGP,102,inicialization,0.21714474613025547,0.023987123987123993,0.2697678458382262,13,32,5,0.1883791248335437,107,0.6811355077433611
LP0XKSX8Z3,102,inicialization,0.21868044776172835,0.02321752321752322,0.3286434922018656,11,34,8,0.17708606641478145,134,0.26185528808828995
HMPA03J7KG,102,inicialization,0.2161714267211653,0.029426129426129433,0.6119505654730074,38,24,16,0.10071751127647241,184,0.6357382914303304
KNK0MML3VX,102,inicialization,0.2669635485357379,0.008972508972508973,0.08917227202006162,33,20,5,0.024101412271612672,162,0.7121329843660872
DUYTGV6LPV,102,inicialization,0.23228036600458157,0.020105820105820106,0.6373045574288215,20,20,8,0.036187532613101286,149,0.656150566456363
FZZWVSR5P7,102,inicialization,0.22206924824152374,0.018803418803418806,0.6943695130609538,44,17,4,0.18527472763022645,112,0.40417373061143314
9BHNO8L2KX,102,inicialization,0.22144692507530417,0.03251933251933252,0.7665696525844957,45,20,12,0.18266683055369262,169,0.8023637429791662
CR0HNG302Y,102,inicialization,0.22576298132656225,0.021134421134421134,0.07024026128237615,31,30,16,0.04613144100615695,122,0.8315265250020265
G4PT5A6ZLP,102,inicialization,0.2754220998222905,0.01547341547341547,0.94120682211492,15,3,15,0.02517658522204009,149,0.22287253010066788
