Oral,Written,Race,Position,Combine,binary_Combine
89.52,95,1,1,0,0
80.0,95,1,1,0,0
82.38,87,1,1,0,0
88.57,76,1,1,0,0
76.19,84,1,1,0,0
76.19,82,0,1,0,0
76.19,82,1,1,0,0
70.0,84,0,1,0,0
73.81,81,1,1,0,0
84.29,72,1,1,0,0
87.62,69,1,1,0,0
80.0,74,1,1,0,0
79.05,74,0,1,0,0
73.81,77,1,1,0,0
76.67,74,1,1,0,0
82.38,70,0,1,0,0
73.33,74,1,1,0,0
70.0,76,1,1,0,0
68.57,74,0,1,0,0
82.38,64,1,1,0,0
56.67,81,1,1,0,0
70.95,70,0,1,0,0
62.38,75,1,1,1,1
78.57,64,1,1,1,1
71.43,68,1,1,1,1
71.43,68,1,1,1,1
59.05,76,1,1,1,1
60.48,75,0,1,1,1
57.14,75,1,1,1,1
52.38,77,0,1,1,1
67.14,65,0,1,1,1
55.24,68,1,1,1,1
58.57,65,0,1,1,1
48.57,69,1,1,1,1
67.62,56,0,1,1,1
57.14,61,0,1,1,1
70.48,50,0,1,1,1
42.86,67,0,1,1,1
53.81,58,1,1,1,1
60.0,53,0,1,1,1
54.76,49,0,1,1,1
88.75,91,1,0,0,0
87.5,87,1,0,0,0
77.5,91,1,0,0,0
85.0,84,1,0,0,0
80.0,87,1,0,0,0
73.75,91,1,0,0,0
80.83,84,1,0,0,0
73.33,89,1,0,0,0
63.75,95,1,0,0,0
68.33,91,1,0,0,0
69.58,86,1,0,0,0
73.75,81,1,0,0,0
58.75,89,1,0,0,0
77.5,76,0,0,0,0
61.25,86,0,0,0,0
80.42,73,0,0,0,0
74.17,77,1,0,0,0
63.33,83,1,0,0,0
87.5,66,1,0,0,0
65.83,80,0,0,0,0
78.33,70,1,0,0,0
70.83,74,0,0,0,0
66.67,76,1,0,0,0
92.08,59,0,0,0,0
72.5,72,1,0,0,0
73.33,71,1,0,0,0
55.0,82,0,0,0,0
69.17,72,0,0,0,0
65.83,74,1,0,0,0
58.33,79,1,0,0,0
53.75,82,0,0,0,0
77.5,66,1,0,0,0
73.75,68,1,0,0,0
71.67,69,1,0,0,0
64.58,73,1,0,1,1
70.83,68,0,0,1,1
73.75,66,1,0,1,1
58.75,76,1,0,1,1
51.25,80,1,0,1,1
62.5,72,0,0,1,1
51.67,79,1,0,1,1
70.83,65,0,0,1,1
64.58,69,1,0,1,1
79.17,59,1,0,1,1
56.25,73,0,0,1,1
55.0,73,1,0,1,1
66.25,65,0,0,1,1
50.42,75,1,0,1,1
57.5,70,0,0,1,1
69.17,60,0,0,1,1
51.67,71,0,0,1,1
71.67,57,1,0,1,1
50.42,71,0,0,1,1
56.25,66,1,0,1,1
56.67,64,0,0,1,1
56.25,64,0,0,1,1
42.5,73,0,0,1,1
51.25,67,0,0,1,1
55.0,64,0,0,1,1
51.25,66,0,0,1,1
49.58,67,1,0,1,1
60.0,60,1,0,1,1
46.25,68,0,0,1,1
60.83,58,0,0,1,1
57.92,58,1,0,1,1
51.25,62,1,0,1,1
44.58,66,1,0,1,1
44.17,66,0,0,1,1
45.42,65,1,0,1,1
55.83,58,0,0,1,1
54.58,58,1,0,1,1
58.75,55,0,0,1,1
40.83,64,0,0,1,1
52.08,56,0,0,1,1
48.33,58,0,0,1,1
52.92,49,0,0,1,1
45.83,46,0,0,1,1
