,label,Sex,Race,AgeGroup,NativeCountry,WorkClass,EducationNumber,EducationLevel,MaritalStatus,Occupation,Relationship,CapitalGain,CapitalLoss,HoursPerWeek
0,0,1.0,1.0,2.0,1.0,6.0,13,5.0,5.0,1.0,2.0,2174,0,40
1,0,1.0,1.0,2.0,1.0,5.0,13,5.0,3.0,4.0,1.0,0,0,13
2,0,1.0,1.0,2.0,1.0,3.0,9,3.0,1.0,6.0,2.0,0,0,40
3,0,1.0,2.0,2.0,1.0,3.0,7,2.0,3.0,6.0,1.0,0,0,40
4,0,2.0,2.0,2.0,2.0,3.0,13,5.0,3.0,10.0,6.0,0,0,40
5,0,2.0,1.0,2.0,1.0,3.0,14,6.0,3.0,4.0,6.0,0,0,40
6,0,2.0,2.0,2.0,2.0,3.0,5,2.0,4.0,8.0,2.0,0,0,16
7,1,1.0,1.0,2.0,1.0,5.0,9,3.0,3.0,4.0,1.0,0,0,45
8,1,2.0,1.0,2.0,1.0,3.0,14,6.0,5.0,10.0,2.0,14084,0,50
9,1,1.0,1.0,2.0,1.0,3.0,13,5.0,3.0,4.0,1.0,5178,0,40
10,1,1.0,2.0,2.0,1.0,3.0,10,4.0,3.0,4.0,1.0,0,0,80
11,1,1.0,2.0,2.0,2.0,6.0,13,5.0,3.0,10.0,1.0,0,0,40
12,0,2.0,1.0,1.0,1.0,3.0,13,5.0,5.0,1.0,4.0,0,0,30
13,0,1.0,2.0,2.0,1.0,3.0,12,9.0,5.0,12.0,2.0,0,0,50
14,0,1.0,2.0,2.0,2.0,3.0,4,1.0,3.0,14.0,1.0,0,0,45
15,0,1.0,1.0,2.0,1.0,5.0,9,3.0,5.0,5.0,4.0,0,0,35
16,0,1.0,1.0,2.0,1.0,3.0,9,3.0,5.0,7.0,5.0,0,0,40
17,0,1.0,1.0,2.0,1.0,3.0,7,2.0,3.0,12.0,1.0,0,0,50
18,1,2.0,1.0,2.0,1.0,5.0,14,6.0,1.0,4.0,5.0,0,0,45
19,1,1.0,1.0,2.0,1.0,3.0,16,7.0,3.0,10.0,1.0,0,0,60
