,Sex,Age,EducationLevel,HouseholdPosition,HouseholdSize,Country,EconomicStatus,CurEcoActivity,MaritalStatus,Occupation
0,1,18,6,1,2,1,1,2,1,0
1,2,32,3,2,3,1,1,4,2,1
2,1,22,3,2,3,1,1,4,2,0
3,1,42,2,3,2,1,1,5,2,1
4,2,59,3,4,4,1,1,3,1,1
5,2,22,3,2,6,1,2,1,2,0
6,1,37,6,2,4,1,1,2,2,0
7,2,42,3,3,2,1,1,3,2,1
8,2,22,6,2,4,1,1,2,2,0
9,1,52,4,1,2,1,1,1,4,0
10,1,32,4,2,4,1,1,6,2,0
11,2,16,4,4,4,1,3,1,1,1
12,1,32,6,2,4,1,1,5,2,0
13,2,22,6,2,6,1,2,10,2,0
14,2,59,3,4,3,1,1,2,1,1
15,2,21,4,5,1,1,1,3,1,1
16,2,18,3,6,3,1,2,1,1,0
17,1,27,3,3,2,1,1,8,2,1
18,1,37,4,2,4,1,1,1,2,1
19,2,21,6,2,3,1,1,5,2,0
20,2,22,4,2,3,1,1,7,2,1
21,1,18,6,4,3,1,1,2,1,0
22,2,18,6,5,1,1,1,8,1,0
23,2,27,6,2,4,1,1,5,2,0
24,2,32,5,2,4,1,2,2,2,0
25,1,21,5,1,2,1,1,12,1,0
26,1,22,3,6,3,1,1,4,1,1
27,1,32,3,2,3,1,2,8,2,0
28,1,47,6,3,2,1,2,3,2,0
29,1,21,6,2,3,1,1,2,2,0
30,2,21,6,3,2,1,1,3,2,0
31,2,21,4,2,5,1,1,3,2,1
32,2,59,4,4,4,1,1,1,1,1
33,2,21,4,7,3,1,1,1,4,1
34,1,21,5,2,3,1,2,11,2,0
35,2,37,6,2,4,1,1,5,2,0
36,1,21,4,6,3,1,1,12,1,0
37,2,22,4,2,3,1,1,2,2,1
38,2,32,3,2,3,1,1,1,2,1
39,2,27,3,2,4,1,1,4,2,1
40,2,27,4,2,4,1,2,2,2,1
41,1,27,3,4,3,1,1,3,1,1
42,2,37,6,7,2,1,1,6,4,0
43,2,18,2,6,3,1,1,3,4,1
44,1,37,4,2,4,1,2,11,2,0
45,1,27,3,2,3,1,1,2,2,0
46,1,32,6,2,4,1,1,3,2,0
47,2,27,6,2,5,1,1,5,2,0
48,1,21,4,6,4,1,1,2,1,0
49,2,16,5,4,3,1,1,7,1,0
50,1,18,4,2,3,2,1,6,2,1
51,2,18,6,1,2,1,1,3,1,1
52,2,18,4,2,3,1,1,1,2,1
53,1,22,6,5,1,1,1,1,1,0
54,1,22,5,3,2,1,1,6,2,0
55,1,37,6,1,2,1,1,10,3,1
56,1,22,4,5,1,1,1,4,1,1
57,1,27,2,2,4,3,1,2,2,1
58,1,22,6,6,3,1,1,4,1,0
59,1,27,5,2,4,1,1,10,2,1
60,1,37,4,2,3,1,1,4,2,1
61,2,59,4,4,4,1,1,3,1,1
62,1,18,6,4,4,1,1,4,1,0
63,2,21,6,2,3,1,1,3,2,0
64,2,37,4,3,2,1,1,3,2,1
65,1,21,6,3,2,1,1,12,2,0
66,2,37,6,5,1,2,1,5,4,0
67,1,27,3,2,4,3,1,1,2,1
68,2,22,4,2,4,1,1,1,2,1
69,2,37,6,5,1,1,1,6,3,0
70,2,27,3,1,2,1,1,10,4,1
71,2,37,2,3,2,1,2,1,2,0
72,1,27,6,8,2,1,1,2,1,0
73,2,21,4,1,2,1,1,7,1,1
74,1,42,2,2,3,1,1,4,2,0
75,2,22,5,2,3,1,1,6,2,1
76,1,22,6,2,5,1,1,1,2,0
77,2,18,4,2,4,2,2,2,2,0
78,2,59,3,5,1,3,1,1,1,1
79,1,47,4,3,2,1,2,11,2,0
80,1,59,2,4,3,1,3,2,1,1
81,2,22,6,5,1,1,1,3,1,0
82,2,21,2,7,3,2,1,5,4,1
83,1,16,4,4,4,1,3,2,1,1
84,1,32,4,2,3,1,1,1,2,0
85,2,21,6,5,1,1,1,3,1,0
86,2,16,4,4,5,1,3,9,1,1
87,1,16,4,4,5,1,1,3,1,1
88,2,21,4,2,4,1,1,2,2,1
89,2,22,5,2,4,1,1,9,2,0
90,2,16,4,1,2,1,1,8,1,1
91,1,22,4,2,4,1,1,1,2,1
92,1,32,6,2,6,1,1,5,2,0
93,1,22,6,2,4,1,1,3,2,0
94,2,32,4,2,4,1,1,3,2,1
95,1,59,1,4,5,1,3,9,1,1
96,2,21,6,2,4,1,1,2,2,0
97,1,37,6,5,1,1,1,5,4,0
98,2,27,1,2,4,2,1,2,2,1
99,2,18,6,1,2,1,1,6,1,0
100,2,22,6,2,4,1,1,2,2,0
101,1,42,2,3,2,1,1,1,2,1
102,2,27,6,6,4,1,1,2,1,0
103,2,27,6,2,4,1,1,7,2,0
104,2,21,6,2,3,1,1,6,2,0
105,2,18,6,5,1,1,1,8,1,0
106,1,32,6,2,4,1,1,10,2,0
107,1,22,4,6,4,1,1,4,1,0
108,2,22,6,2,4,1,1,5,2,0
109,2,32,6,2,5,1,1,5,2,0
110,2,18,4,3,2,1,1,8,2,1
111,2,42,2,3,2,1,1,1,2,1
112,1,27,6,3,2,1,1,5,2,0
113,2,21,4,3,3,1,1,2,2,1
114,2,21,6,2,4,1,1,8,2,0
115,1,32,2,2,5,1,1,4,2,0
116,1,18,6,6,3,1,1,4,1,0
117,2,18,4,2,6,1,1,3,2,1
118,2,21,4,2,4,1,1,3,2,1
119,1,37,4,3,2,1,1,7,2,0
120,1,27,6,2,4,1,1,6,2,0
121,2,22,4,2,5,1,1,3,2,1
122,1,42,6,1,2,1,1,5,4,0
123,2,21,6,1,2,1,1,6,1,0
124,1,22,4,2,4,1,1,7,2,1
125,2,47,3,3,2,1,1,10,2,1
126,2,32,6,2,4,1,1,5,2,0
127,2,21,3,6,3,1,1,4,1,1
128,1,22,6,2,5,3,1,8,2,0
129,1,42,3,3,2,1,1,5,2,1
130,1,37,3,2,3,1,1,12,2,1
131,1,32,4,1,2,1,1,2,1,0
132,2,22,4,3,2,1,2,2,2,0
133,1,21,2,3,2,2,1,1,2,1
134,2,37,6,3,2,1,1,5,2,0
135,1,59,4,4,4,1,3,1,1,1
136,2,59,3,4,3,1,3,1,1,1
137,1,32,4,2,5,1,1,10,2,0
138,1,27,6,6,4,1,1,2,1,0
139,2,27,6,2,3,1,1,5,2,0
140,2,21,6,5,1,1,1,6,1,0
141,2,27,4,2,3,1,1,2,2,1
142,2,22,2,2,3,1,1,2,2,1
143,1,37,3,3,2,1,2,11,2,0
144,2,21,3,2,3,1,1,3,2,1
145,2,59,4,4,5,1,3,1,1,1
146,2,21,6,1,2,1,1,2,1,1
147,1,22,6,5,1,1,1,4,1,0
148,2,18,4,5,1,1,1,7,4,1
149,2,16,4,3,2,1,1,3,2,1
150,2,32,4,2,3,1,1,1,2,1
151,1,22,2,6,5,1,1,1,4,0
152,1,22,5,2,5,1,1,3,2,0
153,2,16,4,4,3,1,1,12,1,0
154,2,16,4,5,1,1,1,1,1,1
155,1,27,4,2,5,1,1,5,2,0
156,1,32,6,2,6,1,1,3,2,0
157,2,18,4,2,4,1,1,8,2,1
158,2,59,4,4,5,1,1,8,1,1
159,2,32,4,3,2,1,1,3,2,0
160,2,18,5,1,2,1,1,10,1,1
161,2,16,6,3,2,1,3,1,2,1
162,2,37,3,2,3,1,2,1,2,0
163,2,37,4,2,4,3,1,3,2,1
164,1,16,4,4,3,1,1,6,1,1
165,2,21,6,2,3,1,1,6,2,0
166,2,21,3,2,4,1,1,2,2,1
167,2,16,2,2,3,1,1,3,2,1
168,1,37,3,2,4,1,1,7,2,1
169,2,37,3,2,3,1,2,11,2,0
170,2,37,6,2,3,1,1,5,2,0
171,1,59,4,4,3,1,3,1,1,1
172,1,18,6,5,1,1,1,2,1,1
173,1,32,4,2,5,1,1,6,2,0
174,2,32,3,2,3,1,1,4,2,1
175,2,59,4,1,2,1,1,2,1,1
176,2,18,4,2,3,1,2,9,2,0
177,1,32,3,6,4,1,1,4,4,1
178,2,22,4,3,2,1,1,6,2,1
179,2,32,3,3,2,1,1,6,2,1
