,Sex,Single,Unemployed,Age,Credit,LoanDuration,PurposeOfLoan,InstallmentRate,Housing,Label
0,1.0,1,0,67,1169,6,3,4,1.0,1
1,2.0,0,0,22,5951,48,3,2,1.0,0
2,1.0,1,0,49,2096,12,2,2,1.0,1
3,1.0,1,0,45,7882,42,4,2,3.0,1
4,1.0,1,0,53,4870,24,6,3,3.0,0
5,1.0,1,0,35,9055,36,2,2,3.0,1
6,1.0,1,0,53,2835,24,4,3,1.0,1
7,1.0,1,0,35,6948,36,10,2,2.0,1
8,1.0,0,0,61,3059,12,3,2,1.0,1
9,1.0,0,1,28,5234,30,6,4,1.0,0
10,2.0,0,0,25,1295,12,6,3,2.0,0
11,2.0,0,0,24,4308,48,1,3,2.0,0
12,2.0,0,0,22,1567,12,3,1,1.0,1
13,1.0,1,0,60,1199,24,6,4,1.0,0
14,2.0,0,0,28,1403,15,6,2,2.0,1
15,2.0,0,0,32,1282,24,3,4,1.0,0
16,1.0,1,0,53,2424,24,3,4,1.0,1
17,1.0,1,0,25,8072,30,1,2,1.0,1
18,2.0,0,0,44,12579,24,10,4,3.0,0
19,1.0,1,0,31,3430,24,3,3,1.0,1
20,1.0,1,0,48,2134,9,6,4,1.0,1
21,1.0,1,0,44,2647,6,3,2,2.0,1
22,1.0,1,0,48,2241,10,6,1,2.0,1
23,1.0,1,0,44,1804,12,10,3,1.0,1
24,1.0,0,0,26,2069,10,4,2,1.0,1
25,1.0,1,0,36,1374,6,4,1,1.0,1
26,1.0,0,0,39,426,6,3,4,1.0,1
27,2.0,0,0,42,409,12,3,3,2.0,1
28,1.0,1,0,34,2415,7,3,3,1.0,1
29,1.0,1,0,63,6836,60,1,3,1.0,0
30,1.0,0,0,36,1913,18,1,3,1.0,1
31,1.0,1,0,27,4020,24,4,2,1.0,1
32,1.0,1,0,30,5866,18,6,2,1.0,1
33,1.0,1,0,57,1264,12,1,4,2.0,1
34,2.0,0,0,33,1474,12,4,4,1.0,1
35,1.0,1,0,25,4746,45,3,4,1.0,0
36,1.0,1,0,31,6110,48,2,1,3.0,1
37,1.0,1,0,37,2100,18,3,4,1.0,0
38,1.0,1,0,37,1225,10,5,2,1.0,1
39,1.0,1,0,24,458,9,3,4,1.0,1
40,1.0,1,0,30,2333,30,3,4,1.0,1
41,1.0,0,0,26,1158,12,3,3,1.0,1
42,1.0,1,0,44,6204,18,8,2,1.0,1
43,1.0,0,0,24,6187,30,10,1,2.0,1
44,2.0,0,0,58,6143,48,10,4,3.0,0
45,2.0,0,0,35,1393,11,6,4,1.0,1
46,1.0,1,0,39,2299,36,3,4,1.0,1
47,2.0,0,1,23,1352,6,10,1,2.0,1
48,1.0,1,0,39,7228,11,6,1,1.0,1
