id,seed,creation_mode,error_val,dem_fpr_val,dem_ppv_val,num_leaves,actual_depth,actual_leaves,error_tst,dem_fpr_tst,dem_ppv_tst,num_leaves_tst,criterion,max_depth,min_samples_split,max_leaf_nodes,class_weight
9M8F078EEC,102,mutation,0.33828165653897657,0.10279374201787994,0.009236335936012197,46,6,46,0.3539757899776177,0.08593756600346386,0.1260075356512615,46,0,6,16,106,2
GTD1FLQ7XX,102,crossover,0.6638056824433087,0.0030332056194125184,0.0,54,11,54,0.6481477990084483,0.007493769273011448,0.20720720720720726,54,1,16,16,54,8
YAVZ4EF2U2,102,crossover,0.5970702208786056,6.385696040868416e-05,0.16346153846153844,46,11,46,0.6164257329501114,0.0338529126008533,0.09770114942528735,46,0,13,14,46,6
2RB2IAI9WC,102,inicialization,1.0,1,1,4,2,4,0.8971311000252721,1,0.0,4,0,16,34,4,7
X58Q44MT1U,102,crossover,0.5183899618126364,0.020482120051085573,0.02336182336182341,263,17,263,0.5367604695897661,0.04005829425928273,0.08043478260869569,263,0,17,11,268,6
4D9WBIZVWC,102,mutation,0.3388758306260473,0.16340996168582378,0.0091324200913242,8,3,8,0.333675717985235,0.04909812866979257,0.13373015873015873,8,0,3,11,191,2
HR0EWIIPME,102,crossover,0.7344574977281029,1,0.0,19,7,19,0.7602072896022023,0.011346259451696025,0.026315789473684237,19,1,17,11,19,8
XDD27E3431,102,mutation,0.8869266629878081,0.0015485312899106004,1,10,5,10,0.8375948813491759,0.003480758670215013,0.46666666666666673,10,0,16,24,10,7
AW8RG5EED9,102,mutation,0.7471603319979959,0.0015485312899106004,0.4,17,7,17,0.7103590372510856,0.00640392007772568,0.16666666666666663,17,0,16,10,17,7
FHJ1ZPM5L9,102,crossover,0.8869266629878081,0.0015485312899106004,1,10,5,10,0.8375948813491759,0.003480758670215013,0.46666666666666673,10,0,16,20,10,7
HSTGGKO99G,102,crossover,0.6723702878949548,0.0002713920817369094,0.23809523809523808,34,8,34,0.7301648175837676,0.015371942719553923,0.06153846153846154,34,1,16,16,34,7
6E7YDKYFZS,102,mutation,0.5945960816219695,0.015293742017879947,0.001169590643274876,237,16,237,0.5287305908542747,0.0008786381109280594,0.156036036036036,237,1,16,13,292,8
SOK4QJHRHB,102,inicialization,0.7884591566605763,0.0015485312899106004,0.3571428571428571,11,5,11,0.8376765946215944,0.0018333122122248975,0.3333333333333333,11,0,18,3,11,7
42WW7QR60X,102,mutation,0.8209712814901418,1,0.0,8,4,8,0.8971827021855167,1,0.5,8,0,15,18,8,7
ICI1MLMWF0,102,crossover,0.804285057512059,0.000606641123882503,0.2142857142857143,18,7,18,0.8223627786539655,0.0014615807037553332,1,18,1,15,29,18,7
JYF1Q9QHX8,102,mutation,0.41504576886248956,0.045673690932311606,0.0061318344404701075,229,15,229,0.47731409618865595,0.0689561948211042,0.0821476510067114,229,0,15,7,229,4
HEFTCQS32N,102,crossover,0.4972739026470905,0.03772349936143039,0.008177008177008227,220,18,220,0.5343381063603763,0.041334009208803285,0.09529411764705881,220,0,18,9,220,6
5RRJNDCYI6,102,mutation,0.40931832451628125,0.123132183908046,0.0004472271914132131,126,11,126,0.3957688473294573,0.12328390993959362,0.1404199475065617,126,1,11,28,128,2
SUCS4EKO6E,102,mutation,0.7884591566605763,0.0015485312899106004,0.3571428571428571,11,5,11,0.8376765946215944,0.0018333122122248975,0.3333333333333333,11,0,14,19,11,7
LQLM0UQEQ1,102,crossover,0.391468811396106,0.0657567049808429,0.0008658008658008476,183,15,183,0.3989743402489494,0.022751658007012232,0.17512771392081738,183,0,15,13,183,2
6Q1HS0PPKD,102,mutation,0.4159422509695866,0.020689655172413793,0.0884016973125884,203,14,203,0.45532782233609437,0.05759726270434673,0.09392205548958218,203,0,14,14,203,4
92OCSVONCH,102,crossover,0.41238682150822736,0.0598978288633461,0.0,191,16,191,0.4110512009658589,0.0282515946436869,0.17130496833467132,191,0,16,17,191,2
T3084OZGFM,102,crossover,0.3971353232385476,0.06083971902937421,0.004375170905113468,213,16,213,0.40581216982119395,0.013783635365183955,0.16385956091838447,213,0,16,13,213,2
27S25L36X0,102,crossover,0.7738533259756162,0.0015485312899106004,0.375,16,7,16,0.719556343723493,0.00640392007772568,0.15000000000000002,16,0,14,14,16,7
1EQKFDFJ2B,102,mutation,0.7738533259756162,0.0015485312899106004,0.375,16,7,16,0.719556343723493,0.00640392007772568,0.15000000000000002,16,0,11,13,16,7
Z8X7A0CXBT,102,mutation,0.3997849077869815,0.060233077905491705,0.00503850175872228,211,16,211,0.4068580635021649,0.016533603683521303,0.1606758832565284,211,0,16,10,211,2
2JRCPD6QV1,102,crossover,0.4108505752826974,0.053432311621966794,0.00573248407643312,201,16,201,0.43084732517121804,0.027520804291809225,0.16556260277190513,201,0,16,17,201,2
NOCN2RFG7G,102,mutation,0.7471603319979959,0.0015485312899106004,0.4,17,7,17,0.7103590372510856,0.00640392007772568,0.16666666666666663,17,0,15,12,17,7
TFU149W33R,102,crossover,0.3667275270373528,0.03518518518518518,0.06590909090909086,136,14,136,0.3909922421469877,0.01358509694588772,0.14882277541658237,136,0,14,12,136,2
CMG5RRPQX7,102,mutation,0.6812744585136296,0.0033684546615581103,0.23684210526315785,25,8,25,0.76032904269987,0.01299370590968614,0.14285714285714285,25,1,14,23,25,7
5B5DK616E2,102,crossover,0.7014497405990271,0.0009418901660280974,0.18571428571428572,23,8,23,0.7713666214618973,0.011346259451696025,0.14035087719298245,23,1,16,16,23,7
1EFMCQYRK1,102,mutation,0.3644492516561765,0.07006704980842912,0.011316453635105417,140,15,140,0.391999548352828,0.033738858615300155,0.1738902340597256,140,0,15,16,140,2
8TPOTRAPQW,102,crossover,0.36949171514704293,0.039224137931034464,0.053721582061663,146,13,146,0.38280379679707677,0.014873484560469719,0.16393798898869893,146,0,13,10,146,2
W6CQRTMVUD,102,crossover,0.8209712814901418,1,0.0,8,4,8,0.8971827021855167,1,0.5,8,0,13,19,8,7
KPPIT16UC3,102,mutation,0.7604631381282896,0.0027618135376756064,0.033333333333333326,32,8,32,0.7109459496327921,0.01299370590968614,0.06000000000000005,32,1,17,9,32,8
Z6BCL98EF4,102,crossover,0.6719174477173839,0.001819923371647509,0.19999999999999996,26,8,26,0.7496718493152114,0.01299370590968614,0.16666666666666669,26,1,15,18,26,7
0EGX2O7S63,102,crossover,0.7364547688341566,0.0002713920817369094,0.10476190476190478,58,9,58,0.7505638333451775,0.0034680860051535534,0.3333333333333333,58,1,9,34,58,7
3JI451PTA0,102,crossover,0.5090421460689145,0.030379948914431673,0.0,90,14,90,0.5398178861951795,0.03786592320364973,0.06666666666666671,90,0,15,7,90,5
KJTJ9CT56Z,102,mutation,0.64488152461647,0.0034323116219667927,0.18181818181818177,45,9,45,0.694817181816068,0.01518607696531914,0.09375,45,1,16,14,45,7
R1AKXKONYV,102,crossover,0.7598077692923693,1,0.0,15,6,15,0.7950892900319442,1,0.5333333333333333,15,1,17,14,15,8
85VJW07MW1,102,crossover,0.6311773022823728,0.0033045977011494226,0.08484848484848484,100,13,100,0.5989749538976042,0.03183373463439361,0.12126696832579187,100,1,13,7,100,7
JHL4XPINNP,102,crossover,0.7881703635659192,1,0.0,11,5,11,0.8077430363496082,1,0.2857142857142857,11,0,17,9,11,6
QBX0DH1BNS,102,mutation,0.5545552605993557,0.01657088122605364,0.0,79,17,79,0.5676446324353586,0.027808051366535715,0.12398190045248869,79,0,18,12,79,6
8IPSZLBNI2,102,crossover,0.4410337815000267,0.06398467432950192,0.21282051282051279,8,3,8,0.43054902710313436,0.05580196848730622,0.10797120767795254,8,0,3,11,197,3
5XV56FOL3K,102,mutation,0.3437816590463336,0.11174968071519797,0.015379786566227238,25,5,25,0.34057683672836525,0.08685422210957633,0.10135670660636859,25,0,5,28,190,2
CLBV5ZMHRQ,102,mutation,0.6107178946636412,0.011989144316730524,0.12393162393162394,13,5,13,0.6337806181792816,0.020128416339289485,0.012195121951219523,13,0,16,12,13,6
9KOFUU3JSJ,102,crossover,0.37004600825185985,0.0706736909323116,0.005067701322353291,157,12,157,0.3864084721459706,0.02915557808473787,0.1412280701754386,157,0,12,13,157,2
YRZ5EIZTVM,102,crossover,0.3998285603228673,0.0595625798212005,0.006274131274131234,197,16,197,0.39321839445328055,0.009200354834621727,0.16819221967963388,197,0,16,15,197,2
021639UZY1,102,inicialization,0.6475971037299524,0.002697956577266923,0.054187192118226646,112,8,112,0.6895245498897156,0.017006716512482575,0.15555555555555556,112,1,8,4,168,7
8EBM4RLGF7,102,mutation,0.5502044060973053,0.01623563218390805,0.010638297872340385,30,7,30,0.546550057281231,0.030917078528281162,0.11575342465753424,30,0,17,17,30,5
5TBE5NNXY9,102,mutation,0.7473330957134208,0.000606641123882503,0.13333333333333341,19,7,19,0.7951929111308425,0.00640392007772568,0.16666666666666669,19,1,15,26,19,7
